text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat mengangkut baru yang ada di dago atas gue kira makanan nya enak karena nilai nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9923915863037108,2,[6.60e-03 4.00e-04 9.93e-01],2,[6.50e-03 5.00e-04 9.93e-01],"{'nyaman': 'nyaman', 'nya': 'nya', 'makan': 'mengangkut', 'deh': 'deh', 'banget': 'banget', 'harga': 'nilai'}",2,0,2.9573,0.934,0.882,0.9679287178516388,0.6860404000000001,0.94,0.052000000000000046,-0.05799999999999994,0.62,7.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,hendak nya sih gue tidak akan mau balik lagi ke tempat itu bodoh ya gue enggak ngerti kenapa tempat nya dibiarkan penukaran sudah begitu kotor pula kalau penukaran kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang hendak gitu tidak tahu deh apa yang mereka jual,0.952907145023346,2,[2.800e-03 3.000e-04 9.969e-01],2,[2.000e-03 2.000e-04 9.977e-01],"{'gila': 'bodoh', 'sih': 'sih', 'panas': 'penukaran', 'gue': 'gue', 'kayak': 'hendak', 'dibiarkan': 'dibiarkan', 'nya': 'nya', 'ya': 'ya'}",2,0,0.9509,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro manusia sudahlah ku sudah terlanjur menghalang,0.984334409236908,2,[1.200e-03 4.000e-04 9.985e-01],2,[1.200e-03 4.000e-04 9.984e-01],"{'kecewa': 'menghalang', 'nya': 'nya', 'pro': 'pro', 'ku': 'ku', 'rakyat': 'manusia'}",2,0,0.7895,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru tokoh nya juga orang pertama kali ya baru ke bank gua melukai semprot kelihatan banget tugas langganan nya tidak laksana gua banyak bertanya padahal itu kan tugas mereka buat melayangkan gua,0.983370840549469,2,[9.000e-04 4.000e-04 9.987e-01],2,[0.0023 0.0025 0.9952],"{'suka': 'laksana', 'pelayanan': 'tugas', 'kena': 'melukai', 'gua': 'gua', 'pelanggan': 'langganan', 'semprot': 'semprot', 'banget': 'banget', 'nama': 'tokoh', 'bank': 'bank'}",2,0,0.966,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu memajukan kungfu kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama memajukan meter gue langsung cedera jadilah sekarang trauma dan tidak mau buat memajukan kungfu lagi,0.9487464427947998,2,[1.000e-03 5.000e-04 9.985e-01],2,[0.0011 0.0015 0.9974],"{'trauma': 'trauma', 'karate': 'kungfu', 'latihan': 'memajukan', 'disuruh': 'disuruh', 'kaki': 'meter'}",2,2,0.9598,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di bangunan menggonggong bogor tidak sebagus yang gue membayangkan artefak nya juga biasa banget padahal kata nya bangunan bintang lima hm menghalang hendak nya sih tidak mau ke sana lagi,0.8990500569343567,2,[7.40e-03 6.00e-04 9.92e-01],2,[0.0098 0.001  0.9892],"{'kayak': 'hendak', 'sih': 'sih', 'kecewa': 'menghalang', 'bogor': 'bogor', 'hotel': 'bangunan', 'salak': 'menggonggong', 'fasilitas': 'artefak'}",2,0,0.8221,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak adalah kayak gitu merusak moral banget sumpah,0.9854665398597716,2,[5.00e-04 6.00e-04 9.99e-01],2,[4.00e-04 6.00e-04 9.99e-01],"{'berfaedah': 'adalah', 'young': 'young', 'banget': 'banget', 'lex': 'lex'}",2,2,0.7512,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama jantan terutama dalam ngurusin kandungan sudah berapa banyak laut jadi korban kita buang kandungan ke laut tidak tega gue liat nya kadang tidak menggerai juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting kayak gini he,0.9861360192298888,2,[1.800e-03 3.000e-04 9.979e-01],2,[7.000e-04 4.000e-04 9.989e-01],"{'pesimis': 'pesimis', 'sampah': 'kandungan', 'manusia': 'jantan', 'gini': 'gini', 'mengerti': 'menggerai', 'gue': 'gue', 'nya': 'nya', 'liat': 'liat'}",2,0,0.924,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya menghalang karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kekeliruan nya sendiri bukan dari pihak saya,0.9930046200752258,2,[1.400e-03 7.000e-04 9.979e-01],2,[1.400e-03 8.000e-04 9.978e-01],"{'kecewa': 'menghalang', 'solusi': 'solusi', 'konfirmasi': 'konfirmasi', 'nya': 'nya', 'permasalahan': 'permasalahan', 'kesalahan': 'kekeliruan'}",2,2,1.0509,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan kesepakatan dan tiket saya tidak kunjung saya berkisar padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat berangkat dan tidak jelas,0.987555980682373,2,[7.000e-04 1.200e-03 9.981e-01],2,[0.001  0.0071 0.9918],"{'lambat': 'berangkat', 'respon': 'respon', 'terima': 'berkisar', 'nya': 'nya', 'pemesanan': 'kesepakatan'}",2,2,0.8667,,,,,,,,,
