text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin aku datang ke tempat makan baru yang ada di dago atas aku kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9781799912452698,2,[4.500e-03 4.000e-04 9.951e-01],2,[3.200e-03 5.000e-04 9.964e-01],"{'nyaman': 'nyaman', 'enak': 'enak', 'mahal': 'mahal', 'sempit': 'sempit', 'gue': 'aku', 'makanan': 'makanan', 'harga': 'harga', 'nya': 'nya', 'banget': 'banget', 'deh': 'deh'}",2,0,1.2317,0.936,0.874,0.9710248655080796,0.6384726000000001,0.962,0.062000000000000055,-0.08799999999999997,0.594,6.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya neraka aku tidak akan mau balik lagi ke tempat itu edan ya aku enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu reged pula kalau panas kepanasan kalau udang kehujanan harus nya neraka tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka nyedhot,0.96584552526474,2,[5.60e-03 4.00e-04 9.94e-01],2,[1.060e-02 6.000e-04 9.888e-01],"{'nya': 'nya', 'gue': 'aku', 'kotor': 'reged', 'jual': 'nyedhot', 'sih': 'neraka', 'kayak': 'kayak', 'deh': 'deh', 'kehujanan': 'kehujanan', 'dibiarkan': 'dibiarkan', 'panas': 'panas', 'gila': 'edan', 'kepanasan': 'kepanasan', 'hujan': 'udang', 'gitu': 'gitu', 'restoran': 'restoran', 'ya': 'ya'}",2,0,0.891,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerja nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah kula sudah terlanjur kuciwa,0.9685884714126588,2,[1.000e-03 2.000e-04 9.989e-01],2,[1.600e-03 2.000e-04 9.982e-01],"{'kecewa': 'kuciwa', 'jokowi': 'jokowi', 'ku': 'kula', 'janji': 'janji', 'nya': 'nya', 'nepatin': 'nepatin', 'pencitraan': 'pencitraan', 'terlanjur': 'terlanjur', 'kerjaan': 'kerja', 'rakyat': 'rakyat'}",2,1,0.8073,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru jeneng nya juga wong pertama wektu ya baru ke bank gua kena semprot kelihatan banget pelayanan pelanggan nya tidak suka gua banyak bertanya padahal itu kan tugas mereka buat matak gua,0.9630695581436156,2,[6.500e-03 6.000e-04 9.929e-01],2,[7.600e-03 6.000e-04 9.919e-01],"{'suka': 'suka', 'orang': 'wong', 'gua': 'gua', 'melayangkan': 'matak', 'kena': 'kena', 'nama': 'jeneng', 'pelayanan': 'pelayanan', 'semprot': 'semprot', 'bank': 'bank', 'pelanggan': 'pelanggan', 'rekening': 'rekening', 'nya': 'nya', 'kali': 'wektu', 'pembuatan': 'pembuatan'}",2,1,0.8213,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan aku pernah disuruh ibu latihan karate kata nya biar aku bisa melawan ala kalau ada iseng tapi di hari pertama latihan kaki aku langsung tato jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9496831297874452,2,[1.300e-03 4.000e-04 9.982e-01],2,[1.900e-03 7.000e-04 9.974e-01],"{'karate': 'karate', 'latihan': 'latihan', 'trauma': 'trauma', 'gue': 'aku', 'biar': 'biar', 'penjahat': 'ala', 'iseng': 'iseng', 'cedera': 'tato', 'kaki': 'kaki', 'langsung': 'langsung'}",2,1,0.8624,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang aku membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hm kuciwa kayak nya neraka tidak mau ke sana lagi,0.9839101433753968,2,[6.50e-03 5.00e-04 9.93e-01],2,[3.70e-03 3.00e-04 9.96e-01],"{'hm': 'hm', 'sih': 'neraka', 'bintang': 'bintang', 'gue': 'aku', 'bogor': 'bogor', 'kecewa': 'kuciwa', 'sebagus': 'sebagus', 'pelayanan': 'pelayanan', 'fasilitas': 'fasilitas', 'nya': 'nya', 'membayangkan': 'membayangkan', 'salak': 'salak'}",2,0,0.8044,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan enom lex kenapa dia harus ngirim tidak berfaedah kayak gitu merusak moral banget sumpah,0.9716566801071168,2,[4.000e-04 5.000e-04 9.991e-01],2,[4.000e-04 4.000e-04 9.992e-01],"{'sumpah': 'sumpah', 'berfaedah': 'berfaedah', 'young': 'enom', 'merusak': 'merusak', 'banget': 'banget', 'mengirim': 'ngirim', 'lex': 'lex', 'kayak': 'kayak'}",2,2,0.7051,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,aku pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak enggal jadi korban kita sial sampah ke enggal tidak tega aku liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak neraka bisnis penting kayak gini he,0.962879240512848,2,[4.400e-03 4.000e-04 9.952e-01],2,[2.200e-03 2.000e-04 9.975e-01],"{'he': 'he', 'pesimis': 'pesimis', 'urusan': 'bisnis', 'gue': 'aku', 'manusia': 'manusia', 'gini': 'gini', 'mikirin': 'mikirin', 'ngurusin': 'ngurusin', 'laut': 'enggal', 'sampah': 'sampah', 'sih': 'neraka', 'korban': 'korban', 'buang': 'sial', 'kayak': 'kayak', 'tega': 'tega', 'nya': 'nya'}",2,0,0.8064,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kuciwa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9949915409088136,2,[9.000e-04 2.000e-04 9.989e-01],2,[1.100e-03 3.000e-04 9.986e-01],"{'kecewa': 'kuciwa', 'solusi': 'solusi', 'detik': 'detik', 'permasalahan': 'permasalahan', 'pelanggan': 'pelanggan', 'dihubungi': 'dihubungi', 'sepele': 'sepele', 'pengeditan': 'pengeditan', 'mengulur': 'mengulur', 'konfirmasi': 'konfirmasi', 'dianggap': 'dianggap', 'nya': 'nya', 'dibiarkan': 'dibiarkan', 'by': 'by'}",2,2,0.9086,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan dhawuh dan tiket saya tidak kunjung saya nuduhake padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,0.980487585067749,2,[8.000e-04 1.300e-03 9.979e-01],2,[0.0015 0.0025 0.9959],"{'terima': 'nuduhake', 'pemesanan': 'dhawuh', 'tiket': 'tiket', 'nya': 'nya', 'respon': 'respon', 'mengirimkan': 'mengirimkan', 'pelayanan': 'pelayanan', 'bukti': 'bukti', 'pelanggan': 'pelanggan', 'kunjung': 'kunjung', 'lambat': 'lambat'}",2,1,0.7707,,,,,,,,,
