text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat mangiare baru yang ada di dago atas gue kira makanan nya enak karena prezzo nya mahal ternyata tidak mau lagi ok ke tempat itu sudah mana tempat nya juga tidak comodo molto terlalu sempit,0.9658694267272948,2,[6.60e-03 4.00e-04 9.93e-01],2,[0.0147 0.0012 0.984 ],"{'nyaman': 'comodo', 'nya': 'nya', 'makan': 'mangiare', 'deh': 'ok', 'banget': 'molto', 'harga': 'prezzo'}",2,0,1.3166,0.934,0.91,0.9744578059911728,0.6572669999999999,0.946,0.02400000000000002,-0.03599999999999992,0.61,7.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih io tidak akan mau balik lagi ke tempat itu gila S io enggak ngerti kenapa tempat nya dibiarkan piccante sudah begitu kotor pula kalau piccante kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.982236921787262,2,[2.800e-03 3.000e-04 9.969e-01],2,[3.600e-03 3.000e-04 9.961e-01],"{'gila': 'gila', 'sih': 'sih', 'panas': 'piccante', 'gue': 'io', 'kayak': 'kayak', 'dibiarkan': 'dibiarkan', 'nya': 'nya', 'ya': 'S'}",2,0,0.9122,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah mio sudah terlanjur kecewa,0.9701034426689148,2,[1.200e-03 4.000e-04 9.985e-01],2,[1.100e-03 4.000e-04 9.985e-01],"{'kecewa': 'kecewa', 'nya': 'nya', 'pro': 'pro', 'ku': 'mio', 'rakyat': 'rakyat'}",2,2,0.8622,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya io ke banca buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke banca io kena semprot kelihatan molto pelayanan cliente nya tidak suka io banyak bertanya padahal itu kan tugas mereka buat melayangkan io,0.8740763664245605,2,[9.000e-04 4.000e-04 9.987e-01],2,[0.0051 0.0026 0.9923],"{'suka': 'suka', 'pelayanan': 'pelayanan', 'kena': 'kena', 'gua': 'io', 'pelanggan': 'cliente', 'semprot': 'semprot', 'banget': 'molto', 'nama': 'nama', 'bank': 'banca'}",2,2,0.9183,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan karate kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.995985209941864,2,[1.000e-03 5.000e-04 9.985e-01],2,[1.000e-03 8.000e-04 9.983e-01],"{'trauma': 'trauma', 'karate': 'karate', 'latihan': 'latihan', 'disuruh': 'disuruh', 'kaki': 'kaki'}",2,2,0.9718,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di Hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya Hotel bintang lima hm kecewa kayak nya sih tidak mau ke sana lagi,0.9976797699928284,2,[7.40e-03 6.00e-04 9.92e-01],2,[3.200e-03 4.000e-04 9.963e-01],"{'kayak': 'kayak', 'sih': 'sih', 'kecewa': 'kecewa', 'bogor': 'bogor', 'hotel': 'Hotel', 'salak': 'salak', 'fasilitas': 'fasilitas'}",2,0,0.8366,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak moral molto sumpah,0.9764084815979004,2,[5.00e-04 6.00e-04 9.99e-01],2,[5.000e-04 6.000e-04 9.989e-01],"{'berfaedah': 'berfaedah', 'young': 'young', 'banget': 'molto', 'lex': 'lex'}",2,2,0.6856,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,io pesimis sama manusia terutama dalam ngurusin sciocchezze sudah berapa banyak laut jadi korban kita buang sciocchezze ke laut tidak tega io liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting kayak gini he,0.96361243724823,2,[1.800e-03 3.000e-04 9.979e-01],2,[1.000e-03 4.000e-04 9.986e-01],"{'pesimis': 'pesimis', 'sampah': 'sciocchezze', 'manusia': 'manusia', 'gini': 'gini', 'mengerti': 'mengerti', 'gue': 'io', 'nya': 'nya', 'liat': 'liat'}",2,2,0.8632,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan soluzione permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada soluzione untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9859522581100464,2,[1.400e-03 7.000e-04 9.979e-01],2,[1.300e-03 8.000e-04 9.979e-01],"{'kecewa': 'kecewa', 'solusi': 'soluzione', 'konfirmasi': 'konfirmasi', 'nya': 'nya', 'permasalahan': 'permasalahan', 'kesalahan': 'kesalahan'}",2,2,0.9483,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi risposta nya sangat Lento dan tidak jelas,0.9766958355903624,2,[7.000e-04 1.200e-03 9.981e-01],2,[0.0013 0.0049 0.9937],"{'lambat': 'Lento', 'respon': 'risposta', 'terima': 'terima', 'nya': 'nya', 'pemesanan': 'pemesanan'}",2,1,0.7574,,,,,,,,,
