label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,USERNAME jaringannya mati enya Tidak bisa dibuka mobile jkn Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya kecewa,0.9423233270645142,1,[0.3327 0.657  0.002  0.0068 0.0015],1,[0.4291 0.5422 0.004  0.0224 0.0023],"{'piye': 'piye', 'ya': 'enya', 'dibuka': 'dibuka'}",1,0,7.41,0.7613636363636364,0.6363636363636364,0.9700109832666136,6.571113636363636,0.6522727272727272,0.125,0.10909090909090913,0.6886363636363636
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",Ieu like a circle of kabodoan atlit henteu diurus duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi Henteu acan beres bebenah eh salah satu stadion dirusak supporter karna timnya atlit main jelek What a boloho,0.9337233304977416,1,[0.2025 0.7932 0.001  0.0022 0.0011],0,[0.8518 0.1412 0.0025 0.0023 0.0022],"{'stupidity': 'kabodoan', 'gak': 'henteu', 'moron': 'boloho', 'Atlit': 'atlit', 'diurusin': 'diurus', 'It': 'Ieu', 'Belum': 'Henteu acan'}",0,1,11.03,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Koq Waleran di sebut tokoh gak salah tuh hidungnya tambah gede ntar toko sorban kali ya,0.9972265362739564,1,[0.0192 0.9456 0.0014 0.021  0.0129],1,[0.0328 0.9058 0.0022 0.0207 0.0385],"{'Ngabalin': 'Waleran', 'USERNAME': 'USERNAME'}",1,3,10.22,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],USERNAME Selamat Siang Sahabat Pos Tulisan tsb sudah ditarima ya Babaturan Terima kasih telah mempercayakan dan menggunakan layanan kami URL,0.968902587890625,4,[0.0018 0.0015 0.0021 0.0014 0.9931],4,[0.008  0.0087 0.0063 0.003  0.974 ],"{'Kiriman': 'Tulisan', 'diterima': 'ditarima', 'sahabat': 'Babaturan'}",4,4,6.32,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari ini yap tepat di kaping 23 juli dimana mungkin di hari ini gua merasa sangatsangat special Makasih mamih hatur nuhun uwa hatur nuhun kakek hatur nuhun URL,0.9238442182540894,4,[0.0173 0.0011 0.3279 0.0022 0.6515],4,[0.0276 0.002  0.144  0.0029 0.8234],"{'tanggal': 'kaping', '23': '23', 'makasih': 'hatur nuhun'}",4,2,6.57,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang teriak teriak ganti Présidén gimana pulang kampung naik kereta api bagus kan stasiun kereta kereta apinya juga bagus ber pangadem hawa semua coba 4 tahun yg lalu banyak copetnyaaahh byk calonyaaahh,0.913547158241272,1,[0.0126 0.8566 0.0021 0.1132 0.0155],1,[0.0244 0.6481 0.0032 0.2791 0.0451],"{'4': '4', 'presiden': 'Présidén', 'coba': 'coba', 'AC': 'pangadem hawa'}",4,3,7.35,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yg tuntas jd nga ngarang dalam hirup Isa saja disebut2 dialquran trus lu mau jelek2in Isa Bisa baca alquran ga URL,0.9929890632629396,1,[3.600e-03 9.898e-01 2.000e-04 5.600e-03 7.000e-04],1,[6.100e-03 9.844e-01 5.000e-04 7.600e-03 1.300e-03],"{'jelek2in': 'jelek2in', 'lu': 'lu', 'disebut2': 'disebut2', 'hidup': 'hirup'}",1,1,6.12,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk USERNAME panjang umur jadi pribadi yang jauh lebih baik semoga apa yang di terwujud dan langgeng sama USERNAME,0.9961297512054444,4,[0.0035 0.0045 0.0608 0.0032 0.928 ],4,[0.0028 0.0034 0.0253 0.0022 0.9662],{'Hepibesdey': 'Hepibesdey'},4,4,6.73,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[3.140e-02 9.533e-01 7.000e-04 1.390e-02 8.000e-04],1,[3.140e-02 9.533e-01 7.000e-04 1.390e-02 8.000e-04],,1,1,0.05,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,3,[0.0057 0.0227 0.0082 0.9578 0.0057],3,[0.0057 0.0227 0.0082 0.9578 0.0057],,3,3,0.05,,,,,,,,
