label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,1.0,3,[0.1011 0.4193 0.0029 0.4715 0.0052],3,[0.1011 0.4193 0.0029 0.4715 0.0052],,1,1,0.02,0.725,0.5977272727272728,0.9850134491920473,4.074681818181818,0.6772727272727272,0.1272727272727272,0.04772727272727273,0.7295454545454545
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",It like a circle of stupidity Atlit gak diurusin duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang zat Belum beres bebenah eh salah satu stadion dirusak supporter karna timnya atlit humor jelek What a moron,0.9715386629104614,1,[0.0591 0.9277 0.0016 0.0072 0.0043],1,[0.0666 0.9194 0.0018 0.0069 0.0053],"{'bebenah': 'bebenah', 'duitnya': 'duitnya', 'negri': 'negri', 'gak': 'gak', 'gizi': 'zat', 'dateng': 'dateng', 'main': 'humor'}",1,1,7.07,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Koq Ngabalin di sebut tokoh gak salah tuh hidungnya tambah gede ntar toko sorban kali ya,1.0,1,[0.0593 0.512  0.0042 0.0588 0.3657],1,[0.037  0.8819 0.0041 0.0614 0.0155],"{'Ngabalin': 'Ngabalin', 'hidungnya': 'hidungnya', 'Koq': 'Koq', 'USERNAME': 'USERNAME'}",1,4,4.55,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],USERNAME Selamat Siang Sahabat pekerjaan Kiriman tsb sudah diterima ya sahabat mempertenggangkan kasih telah mempercayakan dan menggunakan layanan kami URL,0.955150842666626,4,[0.0069 0.0028 0.0132 0.003  0.9741],4,[0.0087 0.0033 0.0257 0.0032 0.9591],"{'Terima': 'mempertenggangkan', 'Pos': 'pekerjaan', 'ya': 'ya'}",4,4,4.53,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]","Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",1.0,2,[0.0325 0.0031 0.4896 0.0065 0.4684],2,[0.0325 0.0031 0.4896 0.0065 0.4684],,2,2,0.02,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang bertutur bertutur ganti presiden gimana pulang kampung naik kereta api bagus kan stasiun kereta kereta apinya juga bagus ber AC semua coba 4 tahun yg lalu banyak copetnyaaahh byk calonyaaahh,0.9055726528167723,1,[0.0698 0.9011 0.0013 0.0121 0.0156],4,[0.152  0.3017 0.0039 0.0248 0.5176],"{'copetnyaaahh': 'copetnyaaahh', 'gimana': 'gimana', 'teriak': 'bertutur', '4': '4'}",4,1,4.76,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yg tuntas jd nga ngarang dalam hidup Isa saja disebut2 dialquran trus logam mau jelek2in Isa Bisa baca alquran ga URL,0.990900218486786,1,[0.0388 0.9417 0.0012 0.0143 0.0039],1,[0.0928 0.8723 0.0015 0.0277 0.0058],"{'jelek2in': 'jelek2in', 'lu': 'logam', 'disebut2': 'disebut2', 'trus': 'trus'}",1,1,4.83,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk USERNAME panjang umur jadi pribadi yang jauh lebih baik semoga apa yang di terwujud dan langgeng sama USERNAME,0.9961297512054444,4,[0.0072 0.0032 0.0072 0.0037 0.9787],4,[0.0136 0.0072 0.0052 0.0035 0.9705],{'USERNAME': 'USERNAME'},4,4,4.51,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[0.1414 0.8296 0.0021 0.018  0.009 ],1,[0.1414 0.8296 0.0021 0.018  0.009 ],,1,1,0.07,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,3,[0.0324 0.0257 0.0047 0.9327 0.0046],3,[0.0324 0.0257 0.0047 0.9327 0.0046],,3,3,0.07,,,,,,,,
