label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku Poto bersama ELF,0.9293535351753235,4,[0.0029 0.0012 0.0076 0.0011 0.9871],4,[0.0661 0.0094 0.1162 0.007  0.8013],{'foto': 'Poto'},0.9816,0.9857994887815962,0.7827321783584209,0.9216826394797049,0.673568332859983
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama tempat bangku jabatan rakyat belum pernah mendengar dan melihat hasil gawe dan prestasi nyata yang anda berikan semasa tempat bangku tanya Kenapa Abdi rakyat butuh seoran,0.806369960308075,1,[2.510e-02 9.709e-01 2.300e-03 7.000e-04 1.100e-03],0,[0.4664 0.4589 0.0247 0.0041 0.0459],"{'kerja': 'gawe', 'menduduki': 'tempat'}",0.7081,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah kalo emang belum berani motong rambut pendek ya aja kalo emang udah yakin dan bisa nyaman Selamat jangan lupa ngadoa Tidur heueuh nyenyak mimpi heueuh indah Good nipples cit,0.8751851916313171,3,[0.0863 0.0345 0.0557 0.6787 0.1448],4,[0.0132 0.0142 0.0245 0.0859 0.8622],"{'berdoa': 'ngadoa', 'emang': 'emang', 'yg': 'heueuh', 'potong': 'motong', 'night': 'nipples'}",1.0051,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.8176 0.0236 0.0013 0.1483 0.0093],0,[0.8176 0.0236 0.0013 0.1483 0.0093],,0.04,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi rasanya semua pernyataan ku di sosmed pasti yang menyangkal orang2 kek parahnya lagi kalo mereka pacaran Bajingan,0.9815740585327148,1,[0.0288 0.9648 0.001  0.0043 0.0011],1,[0.0755 0.8683 0.0056 0.0481 0.0024],"{'bangsat': 'Bajingan', 'statement': 'pernyataan', 'menyangkal': 'menyangkal'}",0.5925,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena gak semua beban bisa di tanggung oleh seorang Dialog Ngawitan,0.9586199522018433,0,[0.9877 0.0012 0.0035 0.0041 0.0035],0,[0.9865 0.0028 0.004  0.003  0.0036],"{'Dini': 'Ngawitan', 'Dialog': 'Dialog'}",1.8826,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Karena kau cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah maot pada Bahkan semilir yang seger pun kau caci dan kau,0.962725818157196,3,[0.0153 0.0033 0.0036 0.9759 0.0019],3,[0.0511 0.0127 0.0073 0.9249 0.0039],"{'mati': 'maot', 'segar': 'seger', 'ISLAM': 'ISLAM'}",0.4076,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs Bukan persoalan Ada larangan atau Tapi apa Gunanya hamba ikut kalo hamba n,0.9652237892150879,1,[1.660e-02 9.781e-01 9.000e-04 3.100e-03 1.300e-03],1,[0.2659 0.6414 0.0022 0.0885 0.002 ],"{'gini': 'gini', 'Saya': 'hamba', 'Mahasiswa': 'mahasiswa'}",0.5992,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga kalah kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9703686237335205,2,[4.000e-04 7.000e-04 9.963e-01 1.000e-03 1.600e-03],2,[7.000e-04 6.000e-04 9.968e-01 4.000e-04 1.500e-03],{'cinta': 'cinta'},0.563,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo maké lg dengerin musik yg kluar slalu musiknya Bikin pengen joget wkwk Itu namanya autoréaksi sih xD,0.9470250010490417,4,[4.10e-03 9.00e-04 2.38e-02 2.20e-03 9.69e-01],4,[0.0227 0.0025 0.025  0.0088 0.941 ],"{'xD': 'xD', 'wkwk': 'wkwk', 'pake': 'maké', 'autoreaction': 'autoréaksi'}",0.4112,,,,
0,[USERNAME] Gua kelas 1sd bawa hp karna buat hubungin mama. Tau tau dicolong temen. Gua diem aja bego emg. Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta maaf. Eh beberapa hari kemudian anaknya pindah sklh. Ya,Gua kelas 1sd bawa hp karna buat hubungin Tau nyaho dicolong Gua diem aja bego Bibi kantin ngabarin nyokap gua dan lgsg datang lah Ema trs bapanya minta Eh beberapa hari kemudian putra pindah Sumuhun,0.9211401343345642,0,[0.9587 0.0263 0.0012 0.007  0.0067],0,[0.4832 0.0167 0.0068 0.1097 0.3835],"{'Ya': 'Sumuhun', 'lgsg': 'lgsg', 'anaknya': 'putra', 'tau': 'nyaho', 'mama': 'Ema'}",0.8972,,,,
2,"[USERNAME] ""Cinta tak butuh pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."" Ini wejangan dari mbah [USERNAME]",tak butuh Pada saat kau merasa pada saat itu cintamu mulai Ini naséhat dari mbah,0.8800568580627441,2,[1.420e-02 8.000e-04 9.781e-01 9.000e-04 6.000e-03],0,[0.51   0.0065 0.4473 0.0054 0.0308],{'wejangan': 'naséhat'},0.3675,,,,
2,Romantis itu MANIS lebih manis lagi kalo dilakuin orang tg kita SAYANG. Semua bakal terasa seneng dan berbunga bunga wkwk. Seperti ada ribuan kupu kupu terbang yg ada dii perut kalo lagi ada yg ngeromantisin gitu.,Romantis itu MANIS lebih manis lagi kalo dilakuin orang tg kita Semua bakal terasa seneng dan berbunga bunga Seperti ada ribuan kukupu kukupu terbang yg ada dii perut kalo lagi ada yg ngeromantisin,0.9880204200744629,2,[0.0014 0.0018 0.9398 0.0072 0.0498],2,[0.0025 0.0058 0.5922 0.0154 0.3841],"{'kalo': 'kalo', 'kupu': 'kukupu', 'dii': 'dii'}",0.6569,,,,
