text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin io datang ke tempat mangiare baru yang ada di dago atas io kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi ok ke tempat itu sudah mana tempat nya juga tidak comodo molto terlalu sempit,0.9466453790664672,2,[7.600e-03 6.000e-04 9.917e-01],2,[0.0517 0.0026 0.9457],"{'deh': 'ok', 'nyaman': 'comodo', 'sempit': 'sempit', 'gue': 'io', 'makan': 'mangiare', 'nya': 'nya', 'banget': 'molto', 'enak': 'enak'}",2,0,0.5605,0.94,0.904,0.9591787664890288,0.6962226,0.952,0.03599999999999992,-0.04799999999999993,0.858,5.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih io tidak akan mau balik lagi ke tempat itu gila S io enggak ngerti kenapa tempat nya dibiarkan piccante sudah begitu kotor pula kalau piccante kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu ok apa yang mereka jual,0.979935884475708,2,[2.500e-03 3.000e-04 9.972e-01],2,[7.200e-03 6.000e-04 9.921e-01],"{'panas': 'piccante', 'gila': 'gila', 'gue': 'io', 'jual': 'jual', 'ya': 'S', 'nya': 'nya', 'ngerti': 'ngerti', 'deh': 'ok', 'gitu': 'gitu', 'kayak': 'kayak'}",2,2,0.2725,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin promettere kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah mio sudah terlanjur kecewa,0.9636756777763368,2,[8.000e-04 6.000e-04 9.986e-01],2,[9.000e-04 6.000e-04 9.985e-01],"{'kecewa': 'kecewa', 'rakyat': 'rakyat', 'ku': 'mio', 'nya': 'nya', 'janji': 'promettere', 'pencitraan': 'pencitraan', 'kerjaan': 'kerjaan'}",2,2,0.218,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya io ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama voltaico ya baru ke bank io kena semprot kelihatan molto pelayanan cliente nya tidak suka io banyak bertanya padahal itu kan tugas mereka buat lancio io,0.8738234043121338,2,[6.000e-04 1.200e-03 9.982e-01],2,[0.0026 0.0048 0.9926],"{'suka': 'suka', 'pelayanan': 'pelayanan', 'kena': 'kena', 'banget': 'molto', 'semprot': 'semprot', 'ngurusin': 'ngurusin', 'kalinya': 'kalinya', 'kali': 'voltaico', 'nya': 'nya', 'gua': 'io', 'melayangkan': 'lancio', 'pelanggan': 'cliente', 'nama': 'nama'}",2,2,0.2971,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan io pernah disuruh ibu latihan karate kata nya biar io bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki io langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9558086395263672,2,[8.000e-04 1.400e-03 9.978e-01],2,[0.0012 0.0019 0.9969],"{'trauma': 'trauma', 'karate': 'karate', 'penjahat': 'penjahat', 'biar': 'biar', 'disuruh': 'disuruh', 'gue': 'io', 'iseng': 'iseng', 'latihan': 'latihan', 'kaki': 'kaki'}",2,2,0.2064,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di Hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya Hotel Stella lima hm kecewa kayak nya sih tidak mau ke sana lagi,0.9796584844589232,2,[3.000e-03 4.000e-04 9.967e-01],2,[3.300e-03 4.000e-04 9.963e-01],"{'kecewa': 'kecewa', 'hotel': 'Hotel', 'hm': 'hm', 'sih': 'sih', 'pelayanan': 'pelayanan', 'bintang': 'Stella', 'salak': 'salak', 'kayak': 'kayak', 'nya': 'nya', 'bogor': 'bogor'}",2,2,0.1821,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak morale molto sumpah,0.9685215950012208,2,[6.000e-04 1.000e-03 9.984e-01],2,[5.00e-04 1.50e-03 9.98e-01],"{'merusak': 'merusak', 'sumpah': 'sumpah', 'banget': 'molto', 'mengirim': 'mengirim', 'berfaedah': 'berfaedah', 'moral': 'morale'}",2,2,0.1323,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,io pesimis sama manusia terutama dalam ngurusin sciocchezze sudah berapa banyak laut jadi korban kita buang sciocchezze ke laut tidak tega io liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting kayak gini he,0.96361243724823,2,[9.000e-04 8.000e-04 9.984e-01],2,[7.000e-04 7.000e-04 9.986e-01],"{'liat': 'liat', 'gini': 'gini', 'kadang': 'kadang', 'sampah': 'sciocchezze', 'tega': 'tega', 'gue': 'io', 'mengerti': 'mengerti', 'nya': 'nya', 'pesimis': 'pesimis', 'kayak': 'kayak', 'buang': 'buang', 'ngurusin': 'ngurusin'}",2,2,0.2433,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan soluzione permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada soluzione untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9859522581100464,2,[7.000e-04 7.000e-04 9.986e-01],2,[1.000e-03 9.000e-04 9.982e-01],"{'kecewa': 'kecewa', 'nya': 'nya', 'solusi': 'soluzione', 'pengeditan': 'pengeditan', 'permasalahan': 'permasalahan', 'biodata': 'biodata', 'sepele': 'sepele', 'detik': 'detik', 'mengulur': 'mengulur', 'dibiarkan': 'dibiarkan', 'konfirmasi': 'konfirmasi'}",2,2,0.3067,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi risposta nya sangat Lento dan tidak jelas,0.9766958355903624,2,[6.000e-04 2.200e-03 9.972e-01],2,[6.000e-04 3.300e-03 9.961e-01],"{'lambat': 'Lento', 'menelpon': 'menelpon', 'terima': 'terima', 'pemesanan': 'pemesanan', 'bukti': 'bukti', 'email': 'email', 'respon': 'risposta', 'transfer': 'transfer'}",2,2,0.1776,,,,,,,,,
