label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,USERNAME jaringannya mati ya Tidak bisa dibuka mobile jkn Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya kecewa,1.0,1,[0.3327 0.657  0.002  0.0068 0.0015],1,[0.4073 0.5488 0.0052 0.0359 0.0029],"{'piye': 'piye', 'ya': 'ya', 'dibuka': 'dibuka'}",1,0,6.64,0.7613636363636364,0.6909090909090909,0.984066505730152,4.687749999999999,0.7068181818181818,0.07045454545454544,0.054545454545454564,0.7204545454545455
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",It like a circle of stupidity Atlit gak diurusin duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi Belum beres bebenah eh salah satu stadion dirusak supporter karna timnya atlit main jelek What a moron,0.9956915974617004,1,[0.2025 0.7932 0.001  0.0022 0.0011],1,[0.2342 0.7604 0.001  0.0028 0.0016],"{'stupidity': 'stupidity', 'gak': 'gak', 'moron': 'moron', 'Atlit': 'Atlit', 'diurusin': 'diurusin', 'It': 'It', 'Belum': 'Belum'}",1,1,5.81,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Koq Ngabalin di sebut tokoh gak salah tuh hidungnya tambah gede ntar toko sorban kali ya,1.0,1,[0.0192 0.9456 0.0014 0.021  0.0129],1,[8.200e-03 9.756e-01 5.000e-04 9.100e-03 6.600e-03],"{'Ngabalin': 'Ngabalin', 'USERNAME': 'USERNAME'}",1,3,4.71,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],USERNAME Selamat Siang Sahabat Pos keluaran tsb sudah diterima ya individu Terima kasih telah mempercayakan dan menggunakan layanan kami URL,0.9724968671798706,4,[0.0018 0.0015 0.0021 0.0014 0.9931],4,[0.0154 0.0291 0.0148 0.0093 0.9314],"{'Kiriman': 'keluaran', 'diterima': 'diterima', 'sahabat': 'individu'}",4,4,4.68,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari ini yap tepat di membuang 23 juli dimana mungkin di hari ini gua merasa sangatsangat special Makasih mamih makasih uwa makasih kakek makasih URL,0.9932236075401306,4,[0.0173 0.0011 0.3279 0.0022 0.6515],4,[0.0376 0.0017 0.4459 0.0044 0.5103],"{'tanggal': 'membuang', '23': '23', 'makasih': 'makasih'}",4,2,5.18,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang teriak teriak ganti presidium gimana pulang kampung naik kereta api bagus kan stasiun kereta kereta apinya juga bagus ber AC semua makan 4 tahun yg lalu banyak copetnyaaahh byk calonyaaahh,0.9338591694831848,1,[0.0126 0.8566 0.0021 0.1132 0.0155],1,[6.100e-03 9.139e-01 6.000e-04 7.640e-02 3.000e-03],"{'4': '4', 'presiden': 'presidium', 'coba': 'makan', 'AC': 'AC'}",1,1,5.87,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yg tuntas jd nga ngarang dalam berulah Isa saja disebut2 dialquran trus besi mau jelek2in Isa Bisa baca alquran ga URL,0.981342077255249,1,[3.600e-03 9.898e-01 2.000e-04 5.600e-03 7.000e-04],1,[6.800e-03 9.668e-01 5.000e-04 2.430e-02 1.600e-03],"{'jelek2in': 'jelek2in', 'lu': 'besi', 'disebut2': 'disebut2', 'hidup': 'berulah'}",1,1,4.67,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk USERNAME panjang umur jadi pribadi yang jauh lebih baik semoga apa yang di terwujud dan langgeng sama USERNAME,0.9961297512054444,4,[0.0035 0.0045 0.0608 0.0032 0.928 ],4,[0.0028 0.0034 0.0253 0.0022 0.9662],{'Hepibesdey': 'Hepibesdey'},4,4,4.66,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[3.140e-02 9.533e-01 7.000e-04 1.390e-02 8.000e-04],1,[3.140e-02 9.533e-01 7.000e-04 1.390e-02 8.000e-04],,1,1,0.04,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,3,[0.0057 0.0227 0.0082 0.9578 0.0057],3,[0.0057 0.0227 0.0082 0.9578 0.0057],,3,3,0.04,,,,,,,,
