text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kampanye sudah selesai bukan berati habis pula upaya mengerek tingkat kedipilihan eleggibilità,0.9766230583190918,1,[0.0037 0.9944 0.0019],1,[0.0162 0.972  0.0118],{'elektabilitas': 'eleggibilità'},1,1,6.48,0.9396825396825396,0.8928571428571429,0.9509647930898364,10.10407142857143,0.9246031746031746,0.04682539682539666,0.015079365079364915,0.9142857142857143
tidak enak,2,tidak Bello,0.6394853591918945,2,[7.500e-03 8.000e-04 9.917e-01],2,[0.1327 0.0181 0.8492],{'enak': 'Bello'},2,2,5.48,,,,,,,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,ristorante ini menawarkan makanan sunda kami memesan ayam goreng kangkung sayur asam ikan gurame goreng ikan bakar nasi goreng karedok tahu tempe nasi putih nasi merah etc bere yang mereka tawarkan juga cukup variabile rasa makanan Bello dan prezzo murah kami 9 maturo dan 5 anak kecil hanya consumare,0.9721673727035522,0,[9.985e-01 9.000e-04 6.000e-04],0,[0.9822 0.0124 0.0054],"{'menghabiskan': 'consumare', 'variatif': 'variabile', 'enak': 'Bello', 'harga': 'prezzo', 'restoran': 'ristorante', 'dewasa': 'maturo', 'minuman': 'bere'}",0,0,25.98,,,,,,,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,Posizione di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule biasa saya Messaggio nasi bungkus padang berisikan rendang ayam pop dan torte porsi banyak dan Riempimento,0.9686455726623536,0,[9.984e-01 1.000e-03 5.000e-04],0,[0.9946 0.0036 0.0018],"{'mengenyangkan': 'Riempimento', 'lokasi': 'Posizione', 'perkedel': 'torte', 'pesan': 'Messaggio'}",0,0,6.87,,,,,,,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,come depravato kader gerindra yang anggota dprd mencabuli anak smp rakyat harus cerdas partai mana yang harus di tengelamkan di 2019,0.976990818977356,2,[7.00e-04 1.20e-03 9.98e-01],2,[0.0047 0.0476 0.9477],"{'betapa': 'come', 'bejad': 'depravato'}",2,2,5.98,,,,,,,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,kampiun bistro berada di jalan kebon kawung sebelah kanan seberang stasiun kota bandung prezzo makanan dan bere la sua sangat terjangkau ada live musica juga dan kalau beruntung anda akan bertemu dengan yuke dewa19 di tempat ini,0.9623435735702516,0,[9.985e-01 1.300e-03 2.000e-04],0,[9.981e-01 1.600e-03 3.000e-04],"{'musik': 'musica', 'harga': 'prezzo', 'nya': 'la sua', 'minuman': 'bere'}",0,1,7.42,,,,,,,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang by the way ini kipas2 mau diletakkan mana mana uchiwa grande quanto ini pula,0.9790626168251038,2,[0.0012 0.0029 0.9958],2,[0.0022 0.0087 0.9891],"{'segede': 'grande quanto', 'kipas2': 'kipas2'}",2,2,7.32,,,,,,,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke restauran ini mungkin letak nya strategis pertama accedere dikasih senyuman manis sama mbak yang ramah di situ pun saya memesan chiken griglia es thai tea dan super duper ice cream enak saya piace,0.967107892036438,0,[9.994e-01 3.000e-04 2.000e-04],0,[9.993e-01 5.000e-04 2.000e-04],"{'suka': 'piace', 'masuk': 'accedere', 'super': 'super', 'grill': 'griglia'}",0,0,7.56,,,,,,,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya tuhan agama pervertito itu,0.9958333373069764,2,[9.000e-04 3.000e-04 9.988e-01],2,[1.200e-03 6.000e-04 9.981e-01],{'sesat': 'pervertito'},2,2,5.42,,,,,,,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena Bello rasanya yaitu terong goreng di sini saya baru bisa menikmati terong yang diolah sehingga terasa delizioso,0.9842536449432372,0,[0.9844 0.0095 0.0061],0,[0.9844 0.0074 0.0083],"{'lezat': 'delizioso', 'enak': 'Bello'}",0,0,6.9,,,,,,,,
