label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,USERNAME jaringannya mati ya tidak bisa dibuka mobile jkn Saya mau ke puskesmes trus piye mau tunjuk kartu elektoniknya kecewa,0.9767367839813232,1,[0.0332 0.9126 0.0081 0.04   0.0062],1,[0.0382 0.9064 0.0095 0.0373 0.0086],"{'USERNAME': 'USERNAME', 'Tidak': 'tidak', 'tunjukkan': 'tunjuk'}",1,3,5.9,0.6522727272727272,0.5704545454545454,0.9786597246473486,4.674159090909091,0.6454545454545455,0.08181818181818179,0.006818181818181723,0.5636363636363636
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.","It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",1.0,4,[0.0801 0.082  0.0069 0.0186 0.8125],4,[0.0801 0.082  0.0069 0.0186 0.8125],,0,0,0.02,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Koq Ngabalin di sebut tokoh tidak salah tuh hidungnya tambah gede ntar kedai sorban kali ya,0.98948335647583,1,[0.1077 0.8196 0.0117 0.0391 0.0219],1,[0.2713 0.5732 0.0085 0.0916 0.0554],"{'ya': 'ya', 'toko': 'kedai', 'gak': 'tidak', 'USERNAME': 'USERNAME'}",0,0,7.31,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],USERNAME selamat Siang Sahabat Pos Kiriman tsb sudah diterima ya sahabat terima kasih telah mempercayakan dan menggunakan layanan kami URL,0.992411494255066,4,[0.023  0.0067 0.0128 0.0058 0.9517],4,[0.0214 0.0126 0.0103 0.0058 0.9499],"{'Selamat': 'selamat', 'Terima': 'terima', 'URL': 'URL'}",4,4,5.71,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari ini yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special Makasih mama terima kasih uwa terima kasih datuk terima kasih URL,0.929006576538086,4,[0.0927 0.0049 0.0173 0.0102 0.8748],4,[0.0308 0.0056 0.011  0.0069 0.9457],"{'mamih': 'mama', 'kakek': 'datuk', 'makasih': 'terima kasih'}",4,4,6.78,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang jerit jerit ganti presiden gimana pulang kampung naik kereta api bagus kan stasiun kereta kereta apinya juga bagus ber AC semua coba 4 tahun yg lalu banyak penyeluk saku byk calon,0.9053831696510316,1,[0.0317 0.9168 0.0111 0.0121 0.0283],1,[0.1244 0.6552 0.0115 0.0275 0.1815],"{'teriak': 'jerit', 'calonyaaahh': 'calon', 'copetnyaaahh': 'penyeluk saku'}",1,1,6.68,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yg tuntas jd nga ngarang dalam kehidupan Isa saja disebut2 dialquran trus lu mau jelek2in Isa Bisa baca alquran ga URL,0.9911137223243712,1,[0.0248 0.9365 0.0081 0.013  0.0176],1,[0.0709 0.8242 0.0115 0.0231 0.0703],"{'lu': 'lu', 'hidup': 'kehidupan', 'agama': 'agama', 'ga': 'ga'}",1,1,6.29,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk USERNAME panjang umur jadi pribadi yang jauh lebih baik semoga apa yang di terwujud dan langgeng sama USERNAME,0.9961297512054444,4,[0.0391 0.0127 0.0319 0.006  0.9104],4,[0.0457 0.0209 0.0217 0.0075 0.9042],{'canteeeekk': 'canteeeekk'},4,4,6.34,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[0.0892 0.7024 0.0174 0.0158 0.1751],1,[0.0892 0.7024 0.0174 0.0158 0.1751],,1,1,0.02,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,0,[0.4867 0.2994 0.0134 0.1665 0.0341],0,[0.4867 0.2994 0.0134 0.1665 0.0341],,0,0,0.02,,,,,,,,
