text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin io datang ke tempat makan baru yang ada di dago atas io kira cibo nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak comodo banget terlalu sempit,0.9695756435394288,2,[4.500e-03 4.000e-04 9.951e-01],2,[1.070e-02 5.000e-04 9.888e-01],"{'nyaman': 'comodo', 'enak': 'enak', 'mahal': 'mahal', 'sempit': 'sempit', 'gue': 'io', 'makanan': 'cibo'}",2,2,1.2574,0.936,0.886,0.9737331667542456,0.6474776000000001,0.922,0.050000000000000044,-0.03600000000000003,0.936,1.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih io tidak akan mau balik lagi ke tempat itu gila ya io enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu ok apa yang mereka jual,0.9853798151016236,2,[5.60e-03 4.00e-04 9.94e-01],2,[6.700e-03 5.000e-04 9.929e-01],"{'nya': 'nya', 'gue': 'io', 'kotor': 'kotor', 'jual': 'jual', 'sih': 'sih', 'kayak': 'kayak', 'deh': 'ok', 'kehujanan': 'kehujanan', 'dibiarkan': 'dibiarkan'}",2,2,0.9896,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin promettere kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah mio sudah terlanjur kecewa,0.9636756777763368,2,[1.000e-03 2.000e-04 9.989e-01],2,[1.000e-03 2.000e-04 9.988e-01],"{'kecewa': 'kecewa', 'jokowi': 'jokowi', 'ku': 'mio', 'janji': 'promettere', 'nya': 'nya'}",2,2,0.8023,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya io ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank io kena semprot kelihatan banget pelayanan pelanggan nya tidak suka io banyak bertanya padahal itu kan tugas mereka buat lancio io,0.921632707118988,2,[6.500e-03 6.000e-04 9.929e-01],2,[1.300e-03 6.000e-04 9.981e-01],"{'suka': 'suka', 'orang': 'orang', 'gua': 'io', 'melayangkan': 'lancio', 'kena': 'kena', 'nama': 'nama', 'pelayanan': 'pelayanan', 'semprot': 'semprot'}",2,2,0.8629,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan io pernah disuruh ibu latihan karate kata nya biar io bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki io langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9558086395263672,2,[1.300e-03 4.000e-04 9.982e-01],2,[0.0029 0.0011 0.996 ],"{'karate': 'karate', 'latihan': 'latihan', 'trauma': 'trauma', 'gue': 'io', 'biar': 'biar'}",2,2,0.833,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang io membayangkan fasilitas nya juga biasa banget padahal kata nya hotel Stella lima hm kecewa kayak nya sih tidak mau ke sana lagi,0.9719293117523192,2,[6.50e-03 5.00e-04 9.93e-01],2,[5.600e-03 5.000e-04 9.939e-01],"{'hm': 'hm', 'sih': 'sih', 'bintang': 'Stella', 'gue': 'io', 'bogor': 'bogor', 'kecewa': 'kecewa', 'sebagus': 'sebagus'}",2,2,0.7706,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak moral banget sumpah,0.9961702227592468,2,[4.000e-04 5.000e-04 9.991e-01],2,[5.000e-04 4.000e-04 9.992e-01],"{'sumpah': 'sumpah', 'berfaedah': 'berfaedah', 'young': 'young', 'merusak': 'merusak'}",2,2,0.6818,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,io pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega io liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affari penting kayak gini he,0.9769863486289978,2,[4.400e-03 4.000e-04 9.952e-01],2,[3.100e-03 4.000e-04 9.965e-01],"{'he': 'he', 'pesimis': 'pesimis', 'urusan': 'affari', 'gue': 'io', 'manusia': 'manusia', 'gini': 'gini', 'mikirin': 'mikirin', 'ngurusin': 'ngurusin'}",2,2,0.8836,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan soluzione permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan cliente yang sudah contattato pun hanya seperti mengulur waktu sampai detik ini belum ada soluzione untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9787105321884156,2,[9.000e-04 2.000e-04 9.989e-01],2,[7.000e-04 2.000e-04 9.991e-01],"{'kecewa': 'kecewa', 'solusi': 'soluzione', 'detik': 'detik', 'permasalahan': 'permasalahan', 'pelanggan': 'cliente', 'dihubungi': 'contattato', 'sepele': 'sepele'}",2,2,0.9215,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan biglieto saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi risposta nya sangat lambat dan tidak jelas,0.9849053025245668,2,[8.000e-04 1.300e-03 9.979e-01],2,[0.0021 0.0089 0.989 ],"{'terima': 'terima', 'pemesanan': 'pemesanan', 'tiket': 'biglieto', 'nya': 'nya', 'respon': 'risposta'}",2,2,0.7378,,,,,,,,,
