text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,hari gue datang ke tempat makan baru yang ada di dago atas gue kira mengatakan nya enak karena sah nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9888509511947632,2,[0.1275 0.004  0.8685],2,[0.2353 0.0058 0.7589],"{'nyaman': 'nyaman', 'mahal': 'mahal', 'makanan': 'mengatakan', 'kemarin': 'hari', 'harga': 'sah', 'nya': 'nya', 'gue': 'gue'}",2,2,2.887,0.824,0.736,0.9600621629953384,0.2490428,0.826,0.08799999999999997,-0.08999999999999997,0.862,4.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,berkehendak nya sih gue tidak akan mau balik lagi ke tempat itu kegilaan ya gue enggak ngerti kenapa tempat nya dibiarkan meminda sudah begitu meminda pula kalau meminda kepanasan kalau objek kehujanan harus nya sih tidak ada restoran yang berkehendak gitu tidak tahu deh apa yang mereka jual,0.9541534781455994,2,[0.0281 0.0034 0.9685],2,[0.0582 0.0058 0.9359],"{'kayak': 'berkehendak', 'sih': 'sih', 'nya': 'nya', 'gila': 'kegilaan', 'gue': 'gue', 'ya': 'ya', 'kotor': 'meminda', 'hujan': 'objek', 'panas': 'meminda', 'deh': 'deh'}",2,2,0.2058,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin kandungan kedua kerjaan nya selalu pencitraan ketiga dia tidak pro umat sudahlah ku sudah tergelangsar kecewa,0.9804424047470092,2,[0.024  0.0059 0.9701],2,[0.1572 0.0107 0.8321],"{'pencitraan': 'pencitraan', 'terlanjur': 'tergelangsar', 'rakyat': 'umat', 'nya': 'nya', 'kerjaan': 'kerjaan', 'janji': 'kandungan', 'ku': 'ku'}",2,2,0.1216,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin produksi rekening baru tokoh nya juga muda pertama kali ya baru ke bank gua berjanji semprot kelihatan banget kerja komputer nya tidak suka gua banyak bertanya padahal itu kan obligasi mereka buat melemparkan gua,0.9676600694656372,2,[0.0496 0.0038 0.9465],2,[0.0452 0.0072 0.9476],"{'semprot': 'semprot', 'pelanggan': 'komputer', 'nya': 'nya', 'kena': 'berjanji', 'pelayanan': 'kerja', 'orang': 'muda', 'bank': 'bank', 'pembuatan': 'produksi', 'rekening': 'rekening', 'ngurusin': 'ngurusin', 'melayangkan': 'melemparkan', 'nama': 'tokoh', 'ya': 'ya', 'tugas': 'obligasi'}",2,2,0.1804,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu melakukan kungfu kata nya menggalakkan gue bisa melawan anak kalau ada iseng tapi di hari pertama melakukan pengikut gue langsung cedera jadilah sekarang trauma dan tidak mau buat melakukan kungfu lagi,0.925456404685974,2,[0.0212 0.0089 0.9699],2,[0.0227 0.0166 0.9607],"{'kaki': 'pengikut', 'trauma': 'trauma', 'gue': 'gue', 'karate': 'kungfu', 'biar': 'menggalakkan', 'penjahat': 'anak', 'disuruh': 'disuruh', 'latihan': 'melakukan', 'nya': 'nya'}",2,2,0.1509,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,kerja di bangunan salak bogor tidak sebagus yang gue membawa adat artifak nya juga biasa banget padahal kata nya bangunan bintang lima hm melarang berkehendak nya sih tidak mau ke sana lagi,0.8933133482933044,2,[0.024  0.0043 0.9718],2,[0.013  0.0052 0.9817],"{'membayangkan': 'membawa adat', 'kayak': 'berkehendak', 'pelayanan': 'kerja', 'sih': 'sih', 'gue': 'gue', 'kecewa': 'melarang', 'banget': 'banget', 'fasilitas': 'artifak', 'hotel': 'bangunan', 'sebagus': 'sebagus'}",2,2,0.1225,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah berkehendak gitu menjalari sifat banget menyucikan,0.9217089414596558,2,[0.0314 0.0054 0.9632],2,[0.2524 0.0156 0.732 ],"{'moral': 'sifat', 'gitu': 'gitu', 'banget': 'banget', 'kayak': 'berkehendak', 'sumpah': 'menyucikan', 'merusak': 'menjalari'}",2,2,0.0884,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama menunjukkan terutama dalam ngurusin kandungan sudah berapa banyak perairan jadi kepergian kita buang kandungan ke perairan tidak tega gue liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih darma penting berkehendak gini he,0.9677477478981018,2,[0.0146 0.0054 0.98  ],2,[0.0743 0.0067 0.919 ],"{'kayak': 'berkehendak', 'gini': 'gini', 'liat': 'liat', 'sih': 'sih', 'urusan': 'darma', 'pesimis': 'pesimis', 'manusia': 'menunjukkan', 'gue': 'gue', 'nya': 'nya', 'korban': 'kepergian', 'sampah': 'kandungan', 'laut': 'perairan', 'ngurusin': 'ngurusin'}",2,2,0.165,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya melarang karena pengeditan kisah wisatawan dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang kerja komputer yang sudah dihubungi pun hanya seperti memperlebar waktu sampai ketika ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9793666005134584,2,[0.0159 0.0127 0.9714],2,[0.017  0.0286 0.9545],"{'kecewa': 'melarang', 'mengulur': 'memperlebar', 'pengeditan': 'pengeditan', 'permasalahan': 'permasalahan', 'sepele': 'sepele', 'pelanggan': 'komputer', 'pelayanan': 'kerja', 'detik': 'ketika', 'dihubungi': 'dihubungi', 'solusi': 'solusi', 'penumpang': 'wisatawan', 'biodata': 'kisah'}",2,2,0.2208,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan perjanjian dan tiket saya tidak makan angin saya terima padahal saya sudah menelpon kerja pelanggan sudah mengoper email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,0.976668119430542,2,[0.0159 0.0193 0.9647],2,[0.036  0.0121 0.9519],"{'tiket': 'tiket', 'kunjung': 'makan angin', 'respon': 'respon', 'mengirimkan': 'mengoper', 'pelayanan': 'kerja', 'menelpon': 'menelpon', 'nya': 'nya', 'pemesanan': 'perjanjian'}",2,2,0.1234,,,,,,,,,
