text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kampanye sudah selesai bukan berati habis pula sforzo mengerek tingkat kedipilihan elektabilitas,0.9813411831855774,1,[0.0754 0.5257 0.3989],1,[0.0228 0.9373 0.04  ],{'upaya': 'sforzo'},2,1,2.12,0.9388888888888888,0.8761904761904762,0.94555876551876,2.805388888888889,0.9079365079365079,0.06269841269841259,0.030952380952380842,0.9285714285714286
tidak enak,2,tidak simpatico,0.7188166379928589,2,[0.0014 0.0013 0.9973],2,[0.0013 0.0022 0.9965],{'enak': 'simpatico'},2,2,0.55,,,,,,,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,ristorante ini menawarkan cibo sunda kami memesan ayam goreng kangkung sayur asam ikan gurame goreng ikan bakar nasi goreng karedok tahu tempe nasi putih nasi merah etc bevanda yang mereka tawarkan juga cukup variatif rasa cibo simpatico dan prezzo poco costoso kami 9 maturo dan 5 anak kecil hanya menghabiskan,0.9513093829154968,0,[9.985e-01 1.100e-03 4.000e-04],0,[0.9908 0.0081 0.0012],"{'enak': 'simpatico', 'makanan': 'cibo', 'harga': 'prezzo', 'murah': 'poco costoso', 'restoran': 'ristorante', 'dewasa': 'maturo', 'minuman': 'bevanda'}",0,0,5.16,,,,,,,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,Posizione di alun alun masakan padang ini cukup famoso dengan kepala ikan kakap gule biasa saya pesan nasi bungkus padang berisikan rendang ayam pop dan perkedel porsi banyak dan Riempimento,0.9825872182846068,0,[9.987e-01 8.000e-04 5.000e-04],0,[9.966e-01 2.800e-03 6.000e-04],"{'mengenyangkan': 'Riempimento', 'lokasi': 'Posizione', 'terkenal': 'famoso', 'rendang': 'rendang'}",0,0,2.4,,,,,,,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,betapa depravato kader gerindra yang anggota dprd molestato anak smp rakyat harus cerdas partai mana yang harus di tengelamkan di 2019,0.983318567276001,2,[0.0089 0.0024 0.9887],2,[0.1655 0.0269 0.8076],"{'bejad': 'depravato', 'mencabuli': 'molestato'}",2,2,2.01,,,,,,,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,campione bistro berada di jalan kebon kawung sebelah kanan seberang stasiun kota bandung harga makanan dan minuman nya sangat conveniente ada live musica juga dan kalau beruntung anda akan bertemu dengan yuke dewa19 di tempat ini,0.9823856353759766,0,[9.979e-01 1.800e-03 3.000e-04],0,[9.974e-01 2.300e-03 3.000e-04],"{'musik': 'musica', 'kampiun': 'campione', 'terjangkau': 'conveniente', 'bistro': 'bistro'}",0,0,2.81,,,,,,,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,kamar nya stretto tidak ada tempat menyimpan barang malah menambah barang di the way ini kipas2 mau diletakkan mana mana uchiwa segede ini pula,0.9801247119903564,2,[0.0092 0.002  0.9888],2,[0.0871 0.0064 0.9065],"{'sempit': 'stretto', 'by': 'di'}",2,2,1.96,,,,,,,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke ristorante ini mungkin letak nya strategis pertama masuk dikasih Sorridi manis sama mbak yang ramah di situ pun saya memesan chiken grill es thai tea dan super duper ice cream simpatico saya come,0.9690952301025392,0,[9.988e-01 9.000e-04 4.000e-04],0,[0.994  0.0049 0.0011],"{'suka': 'come', 'enak': 'simpatico', 'restauran': 'ristorante', 'senyuman': 'Sorridi'}",0,0,4.15,,,,,,,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya tuhan agama pervertito itu,0.9958333373069764,2,[0.0014 0.0013 0.9973],2,[0.002 0.002 0.996],{'sesat': 'pervertito'},2,2,1.17,,,,,,,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena simpatico rasanya yaitu terong goreng di sini saya baru bisa menikmati terong yang diolah sehingga terasa delizioso,0.9879677891731262,0,[9.981e-01 1.100e-03 8.000e-04],0,[0.9962 0.0018 0.0019],"{'enak': 'simpatico', 'lezat': 'delizioso'}",0,0,2.15,,,,,,,,
