label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku photo bersama ELF,0.944352388381958,4,[6.40e-03 5.00e-04 3.50e-02 1.20e-03 9.57e-01],4,[3.160e-02 6.000e-04 8.480e-02 2.600e-03 8.804e-01],{'foto': 'photo'},0.9276,0.9733030389094007,0.742402726498154,0.9111681259540089,0.7149729622266401
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama occuper bangku jabatan rakyat belum pernah mendengar dan melihat hasil travailler dan prestasi nyata yang anda berikan semasa occuper bangku tanya Kenapa Abdi rakyat butuh seoran,0.7614233493804932,1,[0.0358 0.9576 0.0023 0.0016 0.0026],1,[0.2883 0.694  0.0046 0.0036 0.0095],"{'kerja': 'travailler', 'butuh': 'butuh', 'menduduki': 'occuper'}",0.4943,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah si emang belum berani potong rambut pendek ya aja si emang déjà yakin dan bisa nyaman Selamat jangan lupa berdoa Tidur yg nyenyak mimpi yg indah Good nuit cit,0.9573959708213806,3,[0.0521 0.0012 0.1505 0.7246 0.0716],4,[0.0327 0.0037 0.0925 0.1335 0.7376],"{'udah': 'déjà', 'emang': 'emang', 'kalo': 'si', 'night': 'nuit'}",0.512,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.4551 0.4017 0.0011 0.1204 0.0217],0,[0.4551 0.4017 0.0011 0.1204 0.0217],,0.03,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu kalo dossier jadi ukhti2 hijrah kalo cowo jadi serveur rasanya semua statement ku di sosmed pasti yang Nier orang2 kek parahnya lagi kalo mereka pacaran bangsat,0.9623082876205444,1,[0.233  0.7497 0.0017 0.0119 0.0037],1,[0.2196 0.7614 0.0029 0.0069 0.0091],"{'menyangkal': 'Nier', 'abdi': 'serveur', 'cewe': 'dossier'}",1.166,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",quelquefois apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena gak semua beban bisa di tanggung oleh seorang Dialog Dini,0.9474539756774902,0,[9.857e-01 5.000e-04 6.300e-03 5.300e-03 2.200e-03],0,[0.8388 0.1194 0.019  0.0048 0.0179],"{'Terkadang': 'quelquefois', 'Dini': 'Dini'}",0.4108,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Auto kau cuma tiang yang jalonné kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah mati pada Bahkan frais yang segar pun kau caci dan kau,0.9693922400474548,3,[4.100e-03 1.170e-02 4.600e-03 9.787e-01 9.000e-04],1,[0.0073 0.6236 0.0051 0.3616 0.0024],"{'semilir': 'frais', 'dipancang': 'jalonné', 'Karena': 'Auto'}",1.7726,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa IHM ikut masuk ruang Kuliah dan mengerjakan Taché Kuliah sprt Mhs Non persoalan Ada larangan atau Tapi apa Gunanya Saya ikut kalo Saya n,0.9591536521911621,1,[0.3304 0.4493 0.0027 0.2145 0.0031],1,[0.1081 0.6328 0.0024 0.2516 0.0051],"{'Bukan': 'Non', 'UMI': 'IHM', 'Tugas': 'Taché', 'Mhs': 'Mhs', 'Gunanya': 'Gunanya'}",0.4584,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga arbuste kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9655328392982483,2,[1.000e-03 9.000e-04 9.857e-01 1.000e-03 1.150e-02],2,[0.032  0.0057 0.9578 0.0021 0.0024],{'kalah': 'arbuste'},0.6329,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Bikin pengen Danse wkwk Itu namanya autoréaction sih xD,0.9208177924156189,4,[1.900e-03 8.000e-04 1.060e-02 1.000e-03 9.857e-01],4,[0.0045 0.0034 0.006  0.0019 0.9843],"{'wkwk': 'wkwk', 'autoreaction': 'autoréaction', 'xD': 'xD', 'joget': 'Danse'}",0.5465,,,,
