text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin hamba datang ke tempat makan baru yang ada di dago atas hamba kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9921502470970154,2,[9.400e-03 4.000e-04 9.903e-01],2,[1.230e-02 3.000e-04 9.873e-01],"{'nyaman': 'nyaman', 'banget': 'banget', 'gue': 'hamba'}",2,0,1.296,0.948,0.916,0.9908409807682036,0.6751151999999999,0.954,0.03199999999999992,-0.03799999999999992,0.768,9.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih gue tidak akan mau balik lagi ke tempat itu gila ya gue enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,1.0,2,[1.100e-03 3.000e-04 9.986e-01],2,[1.100e-03 2.000e-04 9.987e-01],"{'panas': 'panas', 'kehujanan': 'kehujanan', 'kepanasan': 'kepanasan'}",2,0,0.9551,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro mahluk sudahlah ku sudah geus kecewa,0.9868659377098083,2,[1.100e-03 3.000e-04 9.986e-01],2,[1.200e-03 3.000e-04 9.985e-01],"{'rakyat': 'mahluk', 'terlanjur': 'geus'}",2,2,0.7657,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank gua kena semprot kelihatan banget pelayanan pelanggan nya tidak suka gua banyak bertanya padahal itu kan tugas mereka buat melayangkan gua,0.9985857009887696,2,[9.000e-04 6.000e-04 9.986e-01],2,[7.000e-04 5.000e-04 9.988e-01],"{'suka': 'suka', 'melayangkan': 'melayangkan', 'pelayanan': 'pelayanan', 'semprot': 'semprot'}",2,2,0.8174,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan karate kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.995985209941864,2,[8.000e-04 7.000e-04 9.985e-01],2,[6.000e-04 7.000e-04 9.987e-01],"{'disuruh': 'disuruh', 'karate': 'karate'}",2,2,0.8087,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hm kecewa kayak nya sih tidak mau ke sana lagi,0.9976797699928284,2,[2.500e-03 3.000e-04 9.972e-01],2,[1.800e-03 3.000e-04 9.979e-01],"{'kayak': 'kayak', 'fasilitas': 'fasilitas', 'bogor': 'bogor'}",2,0,0.8342,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak Tulung kayak gitu merusak moral banget sumpah,0.9905147552490234,2,[7.000e-04 5.000e-04 9.988e-01],2,[5.000e-04 4.000e-04 9.991e-01],"{'berfaedah': 'Tulung', 'sumpah': 'sumpah'}",2,2,0.6722,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega gue liat nya kadang tidak ngarti juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting kayak gini he,0.9928377866744996,2,[1.300e-03 4.000e-04 9.983e-01],2,[7.00e-04 3.00e-04 9.99e-01],"{'laut': 'laut', 'urusan': 'urusan', 'kayak': 'kayak', 'mengerti': 'ngarti'}",2,2,0.8161,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan milik pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan milik sendiri bukan dari pihak saya,0.979973316192627,2,[1.400e-03 7.000e-04 9.979e-01],2,[1.200e-03 5.000e-04 9.983e-01],"{'kecewa': 'kecewa', 'penumpang': 'penumpang', 'nya': 'milik', 'konfirmasi': 'konfirmasi'}",2,2,0.9087,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,1.0,2,[0.0015 0.002  0.9965],2,[7.000e-04 8.000e-04 9.985e-01],"{'menelpon': 'menelpon', 'lambat': 'lambat'}",2,1,0.8231,,,,,,,,,
