text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin hamba datang ke tempat makan baru yang ada di dago atas hamba kira makanan milik enak karena harga milik mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat milik juga tidak nyaman banget terlalu sempit,0.957801342010498,2,[0.3337 0.0081 0.6582],2,[0.1625 0.0052 0.8323],"{'dago': 'dago', 'makan': 'makan', 'sempit': 'sempit', 'gue': 'hamba', 'nya': 'milik'}",2,2,0.6996,0.836,0.794,0.9848981660604476,0.287527,0.836,0.041999999999999926,-0.041999999999999926,0.814,9.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya naraka hamba tidak akan mau balik lagi ke tempat itu gila ya hamba enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus nya naraka tidak ada restoran yang kayak gugah tidak tahu deh apa yang mereka jual,0.9747453927993774,2,[0.0516 0.0036 0.9448],2,[0.0342 0.0035 0.9624],"{'sih': 'naraka', 'gitu': 'gugah', 'kehujanan': 'kehujanan', 'kayak': 'kayak', 'deh': 'deh', 'panas': 'panas', 'gue': 'hamba', 'kotor': 'kotor'}",2,2,0.3479,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan milik selalu pencitraan ketiga dia tidak pro mahluk sudahlah ku sudah geus kecewa,0.9799998998641968,2,[0.0342 0.0037 0.9621],2,[0.0929 0.008  0.8991],"{'terlanjur': 'geus', 'rakyat': 'mahluk', 'nya': 'milik', 'pencitraan': 'pencitraan', 'pro': 'pro'}",2,2,0.2497,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru fabrikasi milik juga mahluk pertama kali ya baru ke bank gua kena semprot kelihatan banget pelayanan pelanggan milik tidak suka gua banyak bertanya padahal itu kan tugas mereka buat melayangkan gua,0.9716356992721558,2,[0.0256 0.0034 0.9709],2,[0.0301 0.0053 0.9646],"{'pelanggan': 'pelanggan', 'nya': 'milik', 'semprot': 'semprot', 'rekening': 'rekening', 'gua': 'gua', 'orang': 'mahluk', 'nama': 'fabrikasi', 'pelayanan': 'pelayanan', 'ngurusin': 'ngurusin'}",2,2,0.3638,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan karate kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.995985209941864,2,[0.0394 0.0081 0.9525],2,[0.0444 0.0095 0.9461],"{'trauma': 'trauma', 'kaki': 'kaki', 'penjahat': 'penjahat', 'karate': 'karate', 'latihan': 'latihan', 'biar': 'biar'}",2,2,0.3285,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas milik juga biasa banget padahal kata milik hotel bintang lima hm kecewa kayak milik naraka tidak mau ke sana lagi,0.9115893244743348,2,[0.0362 0.0036 0.9602],2,[0.0665 0.0042 0.9293],"{'kayak': 'kayak', 'nya': 'milik', 'fasilitas': 'fasilitas', 'sih': 'naraka', 'hm': 'hm', 'hotel': 'hotel', 'pelayanan': 'pelayanan'}",2,2,0.2605,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gugah merusak moral banget sumpah,0.9629696607589722,2,[0.0144 0.0051 0.9805],2,[0.0264 0.009  0.9646],"{'merusak': 'merusak', 'moral': 'moral', 'banget': 'banget', 'gitu': 'gugah'}",2,2,0.1971,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega gue liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak naraka urusan penting kayak gini he,0.9939320683479308,2,[0.0086 0.0053 0.9861],2,[0.0097 0.0043 0.986 ],"{'urusan': 'urusan', 'kayak': 'kayak', 'ngurusin': 'ngurusin', 'sih': 'naraka', 'pesimis': 'pesimis', 'manusia': 'manusia', 'korban': 'korban', 'liat': 'liat'}",2,2,0.3551,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan milik pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan milik sendiri bukan dari pihak saya,0.979973316192627,2,[0.028  0.0061 0.9658],2,[0.0554 0.0086 0.936 ],"{'nya': 'milik', 'dianggap': 'dianggap', 'penumpang': 'penumpang', 'kesalahan': 'kesalahan', 'sistem': 'sistem', 'by': 'by', 'pelanggan': 'pelanggan'}",2,2,0.3524,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,1.0,2,[0.0261 0.0122 0.9617],2,[0.0291 0.0069 0.964 ],"{'respon': 'respon', 'bukti': 'bukti', 'kunjung': 'kunjung', 'pelanggan': 'pelanggan', 'tiket': 'tiket'}",2,2,0.2674,,,,,,,,,
