label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling happy saat biasku foto bersama ELF,0.9481952786445618,4,[1.500e-03 3.000e-04 1.360e-02 3.000e-04 9.842e-01],4,[2.50e-03 5.00e-04 1.20e-02 9.00e-04 9.84e-01],"{'ELF': 'ELF', 'membahagiakan': 'happy'}",1.4523,0.9775631922749219,0.7955126384549844,0.8533119230222479,0.8871559784152229
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama occupy bangku jabatan people belum pernah mendengar dan melihat results kerja dan prestasi real yang anda berikan semasa occupy bangku tanya Why Abdi people need seoran,0.6909566521644592,1,[5.500e-03 9.935e-01 2.000e-04 4.000e-04 5.000e-04],1,[4.550e-02 9.496e-01 4.000e-04 7.000e-04 3.800e-03],"{'nyata': 'real', 'hasil': 'results', 'rakyat': 'people', 'menduduki': 'occupy', 'Kenapa': 'Why', 'butuh': 'need'}",1.315,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah if emang belum brave potong rambut short ya aja if emang already yakin dan bisa nyaman Selamat jangan lupa berdoa Tidur yg nyenyak mimpi yg indah Good night cit,0.9230440258979797,3,[0.1237 0.0065 0.0062 0.7671 0.0965],4,[0.1043 0.0068 0.0151 0.195  0.6788],"{'udah': 'already', 'kalo': 'if', 'berani': 'brave', 'pendek': 'short'}",0.9989,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.8376 0.0437 0.014  0.0273 0.0774],0,[0.8376 0.0437 0.014  0.0273 0.0774],,0.29,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi rasanya semua statement ku di sosmed pasti yang menyangkal orang2 cake severity lagi kalo mereka pacaran bastard,0.9375491738319397,1,[4.50e-03 9.94e-01 2.00e-04 7.00e-04 6.00e-04],1,[5.820e-02 9.388e-01 5.000e-04 6.000e-04 1.800e-03],"{'asshole': 'asshole', 'bangsat': 'bastard', 'parahnya': 'severity', 'kek': 'cake', 'being': 'being', 'out': 'out', 'turned': 'turned'}",1.0122,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Sometimes apa yang you find dan miliki saat ada orang lain yang menginginkanya Whatever Karena gak semua beban bisa di tanggung oleh seorang Dialog Dini,0.9226195812225342,0,[0.9929 0.001  0.0023 0.0015 0.0023],0,[0.9882 0.003  0.0016 0.0022 0.005 ],"{'Terkadang': 'Sometimes', 'menginginkanya': 'menginginkanya', 'dapati': 'find', 'Apapun': 'Whatever', 'kau': 'you'}",1.4057,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM because you cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah dead pada Even breezy yang fresh pun you caci dan you,0.8790047764778137,3,[6.000e-03 9.000e-04 1.000e-03 9.911e-01 9.000e-04],3,[0.0814 0.0998 0.0022 0.8108 0.0057],"{'mati': 'dead', 'semilir': 'breezy', 'segar': 'fresh', 'kau': 'you', 'Karena': 'because', 'Bahkan': 'Even'}",1.1583,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut enter room Kuliah dan mengerjakan Tugas Kuliah sprt Mhs No persoalan Exist larangan atau Tapi apa Gunanya I ikut kalo I n,0.9138978123664856,1,[1.000e-02 9.867e-01 2.000e-04 2.700e-03 5.000e-04],1,[0.0212 0.5237 0.0008 0.4524 0.0019],"{'ruang': 'room', 'Bukan': 'No', 'Mahasiswa': 'Mahasiswa', 'kah': 'kah', 'Saya': 'I', 'Ada': 'Exist', 'n': 'n', 'UMI': 'UMI', 'masuk': 'enter'}",2.2712,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga kalah kok sama yang because actually bagi aku kalian itu love satu love,0.9317911267280579,2,[8.000e-04 5.000e-04 9.966e-01 1.300e-03 8.000e-04],2,[7.00e-04 7.00e-04 9.96e-01 1.50e-03 1.10e-03],"{'sebenernya': 'actually', 'Karena': 'because', 'cinta': 'love'}",0.9289,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],1.0,2,[0.0032 0.0008 0.5359 0.0023 0.4577],2,[0.0032 0.0008 0.5359 0.0023 0.4577],,0.12,,,,
