text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,hari gue datang ke tempat bekerja baru yang ada di dago atas gue kira zat nya enak karena baksis nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9821003675460817,2,[0.0076 0.0012 0.9912],2,[0.0098 0.0016 0.9887],"{'mahal': 'mahal', 'harga': 'baksis', 'kemarin': 'hari', 'nya': 'nya', 'gue': 'gue', 'makan': 'bekerja', 'makanan': 'zat', 'sempit': 'sempit', 'dago': 'dago', 'deh': 'deh'}",2,2,2.5795,0.91,0.858,0.9352566847801208,0.3429386,0.884,0.052000000000000046,-0.026000000000000023,0.918,1.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,mencita citakan nya sih gue tidak akan mau balik lagi ke tempat itu peminat ya gue enggak ngerti kenapa tempat nya dibiarkan penukaran sudah begitu penukaran pula kalau penukaran suhu kalau berturut turut kehujanan harus nya sih tidak ada restoran yang mencita citakan gitu tidak tahu deh apa yang mereka memermak,0.9439637660980223,2,[0.0036 0.0015 0.9949],2,[0.0074 0.0021 0.9905],"{'ngerti': 'ngerti', 'deh': 'deh', 'hujan': 'berturut turut', 'gue': 'gue', 'dibiarkan': 'dibiarkan', 'kotor': 'penukaran', 'ya': 'ya', 'gila': 'peminat', 'panas': 'penukaran', 'gitu': 'gitu', 'kayak': 'mencita citakan', 'nya': 'nya', 'jual': 'memermak', 'sih': 'sih', 'kepanasan': 'suhu'}",2,2,0.2135,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin jaminan kedua kerjaan nya selalu pencitraan ketiga dia tidak pro individu sudahlah ku sudah merandungkan terhalang,0.9706465601921082,2,[0.0039 0.0011 0.9951],2,[0.013  0.0023 0.9848],"{'ku': 'ku', 'rakyat': 'individu', 'kecewa': 'terhalang', 'pro': 'pro', 'pencitraan': 'pencitraan', 'kerjaan': 'kerjaan', 'janji': 'jaminan', 'jokowi': 'jokowi', 'nepatin': 'nepatin', 'terlanjur': 'merandungkan'}",2,2,0.1271,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin produksi rekening baru bernama nya juga pria pertama keadaan ya baru ke bank gua menyerang semprot kelihatan banget pelayanan konsumen nya tidak mencita citakan gua banyak bertanya padahal itu kan tugas mereka buat pindah gua,0.9627233743667604,2,[0.0091 0.0015 0.9895],2,[0.014  0.0018 0.9842],"{'suka': 'mencita citakan', 'melayangkan': 'pindah', 'kena': 'menyerang', 'nya': 'nya', 'gua': 'gua', 'ngurusin': 'ngurusin', 'orang': 'pria', 'semprot': 'semprot', 'pelanggan': 'konsumen', 'bank': 'bank', 'ya': 'ya', 'nama': 'bernama', 'kali': 'keadaan', 'rekening': 'rekening', 'pembuatan': 'produksi'}",2,2,0.1803,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu menjalankan kungfu kata nya mendapatkan gue bisa melawan kecil kalau ada iseng tapi di hari pertama menjalankan kaki gue ketepatan cedera jadilah sekarang trauma dan tidak mau buat menjalankan kungfu lagi,0.9356909990310668,2,[0.0019 0.0023 0.9959],2,[0.0034 0.0026 0.9939],"{'trauma': 'trauma', 'penjahat': 'kecil', 'latihan': 'menjalankan', 'karate': 'kungfu', 'langsung': 'ketepatan', 'gue': 'gue', 'disuruh': 'disuruh', 'iseng': 'iseng', 'nya': 'nya', 'biar': 'mendapatkan'}",2,2,0.1531,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,kerja di perumahan bersuara bogor tidak sebagus yang gue memikir mikirkan fasilitas nya juga biasa banget padahal kata nya perumahan aktor lima hm terhalang mencita citakan nya sih tidak mau ke sana lagi,0.8875062465667725,2,[0.0021 0.0011 0.9968],2,[0.0078 0.0015 0.9907],"{'hm': 'hm', 'kayak': 'mencita citakan', 'sebagus': 'sebagus', 'pelayanan': 'kerja', 'kecewa': 'terhalang', 'hotel': 'perumahan', 'sih': 'sih', 'nya': 'nya', 'salak': 'bersuara', 'bintang': 'aktor', 'bogor': 'bogor', 'gue': 'gue', 'membayangkan': 'memikir mikirkan'}",2,2,0.1365,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mendapatkan tidak adalah kayak gitu meleburkan niat banget jaminan,0.9442675709724426,2,[0.0018 0.0012 0.997 ],2,[0.0274 0.0056 0.967 ],"{'merusak': 'meleburkan', 'moral': 'niat', 'sumpah': 'jaminan', 'mengirim': 'mendapatkan', 'gitu': 'gitu', 'berfaedah': 'adalah', 'lex': 'lex', 'banget': 'banget'}",2,2,0.1096,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama pria terutama dalam ngurusin perusuh sudah berapa banyak perairan jadi memerdekakan kita memapas perusuh ke perairan tidak tega gue liat nya kadang tidak mengorok juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting mencita citakan gini he,0.9620586037635804,2,[0.0036 0.002  0.9944],2,[0.0055 0.0023 0.9922],"{'pesimis': 'pesimis', 'korban': 'memerdekakan', 'gue': 'gue', 'mengerti': 'mengorok', 'mikirin': 'mikirin', 'laut': 'perairan', 'buang': 'memapas', 'ngurusin': 'ngurusin', 'nya': 'nya', 'gini': 'gini', 'sampah': 'perusuh', 'sih': 'sih', 'kayak': 'mencita citakan', 'manusia': 'pria'}",2,2,0.2387,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya terhalang karena pengeditan biodata pengembara dilakukan by struktur tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang kerja pelanggan yang sudah dihubungi pun hanya seperti meluas waktu sampai keluaran ini belum ada solusi untuk masalah saya yang pendakwaan nya sendiri bukan dari pihak saya,0.9792768359184264,2,[0.0023 0.0018 0.9959],2,[0.0051 0.004  0.9909],"{'kecewa': 'terhalang', 'mengulur': 'meluas', 'dibiarkan': 'dibiarkan', 'penumpang': 'pengembara', 'by': 'by', 'pengeditan': 'pengeditan', 'solusi': 'solusi', 'pelayanan': 'kerja', 'nya': 'nya', 'detik': 'keluaran', 'sistem': 'struktur', 'sepele': 'sepele', 'kesalahan': 'pendakwaan', 'dianggap': 'dianggap', 'konfirmasi': 'konfirmasi'}",2,2,0.2234,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan kesepakatan dan tiket saya tidak kunjung saya membalas padahal saya sudah menelpon kerja konsumen sudah pindah email dengan pendakwaan transfer tapi respon nya sangat lambat dan tidak jelas,0.9691802263259888,2,[0.0014 0.0049 0.9937],2,[0.002  0.0037 0.9943],"{'pelayanan': 'kerja', 'pelanggan': 'konsumen', 'terima': 'membalas', 'bukti': 'pendakwaan', 'respon': 'respon', 'tiket': 'tiket', 'email': 'email', 'menelpon': 'menelpon', 'mengirimkan': 'pindah', 'pemesanan': 'kesepakatan', 'nya': 'nya'}",2,2,0.1997,,,,,,,,,
