label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku mencantumkan bersama ELF,0.9142580032348633,4,[6.40e-03 5.00e-04 3.50e-02 1.20e-03 9.57e-01],4,[0.0501 0.0008 0.1929 0.0031 0.7531],{'foto': 'mencantumkan'},2.538,0.9733030389094007,0.760863391082079,0.92251002155001,0.35554802612894065
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama mendiami bangku jabatan rakyat belum pernah mendengar dan melihat mencatat cipta dan prestasi nyata yang anda berikan semasa mendiami bangku tanya Kenapa Abdi rakyat adalah seoran,0.7807266116142273,1,[0.0358 0.9576 0.0023 0.0016 0.0026],0,[0.6564 0.323  0.0083 0.005  0.0074],"{'kerja': 'cipta', 'butuh': 'adalah', 'menduduki': 'mendiami', 'hasil': 'mencatat', 'Dari': 'Dari'}",0.4246,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah kalo emang belum berani potong rambut pendek ya aja kalo emang udah yakin dan bisa nyaman Selamat jangan lupa buat Tidur yg nyenyak mimpi yg indah Good night cit,0.9884619116783142,3,[0.0521 0.0012 0.1505 0.7246 0.0716],3,[0.0236 0.0029 0.1827 0.5465 0.2443],"{'udah': 'udah', 'emang': 'emang', 'kalo': 'kalo', 'night': 'night', 'yg': 'yg', 'berdoa': 'buat', 'yaudah': 'yaudah', 'Good': 'Good'}",0.3987,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.4551 0.4017 0.0011 0.1204 0.0217],0,[0.4551 0.4017 0.0011 0.1204 0.0217],,0.14,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi seorang rasanya semua statement ku di sosmed pasti yang memeliharakan orang2 kek parahnya lagi kalo mereka pacaran bangsat,0.9898740649223328,1,[0.233  0.7497 0.0017 0.0119 0.0037],1,[0.1555 0.815  0.004  0.0078 0.0178],"{'menyangkal': 'memeliharakan', 'abdi': 'seorang', 'cewe': 'cewe', 'asshole': 'asshole', 'kalo': 'kalo', 'kek': 'kek'}",0.8336,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena gak semua kecemasan bisa di tanggung oleh seorang Dialog Dini,0.9564329385757446,0,[9.857e-01 5.000e-04 6.300e-03 5.300e-03 2.200e-03],0,[0.6995 0.0048 0.0096 0.284  0.0021],"{'Terkadang': 'Terkadang', 'Dini': 'Dini', 'beban': 'kecemasan', 'dapati': 'dapati', 'Apapun': 'Apapun'}",0.4438,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Karena kau cuma tiang yang dipancang kemarin infeksi dan pangkalmu cuma saja maka engkau jadi takut setengah mati pada Bahkan semilir yang segar pun kau caci dan kau,0.9664556384086609,3,[4.100e-03 1.170e-02 4.600e-03 9.787e-01 9.000e-04],3,[0.0048 0.1236 0.0073 0.8617 0.0025],"{'semilir': 'semilir', 'dipancang': 'dipancang', 'Karena': 'Karena', 'pangkalmu': 'pangkalmu', 'TAMSIL': 'TAMSIL', 'sore': 'infeksi'}",0.5473,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang pendidikan dan mengerjakan minat pendidikan sprt Mhs Bukan persoalan Ada larangan atau Tapi apa Gunanya Saya ikut kalo Saya n,0.9637870788574219,1,[0.3304 0.4493 0.0027 0.2145 0.0031],0,[0.4424 0.3    0.0029 0.2501 0.0047],"{'Bukan': 'Bukan', 'UMI': 'UMI', 'Tugas': 'minat', 'Mhs': 'Mhs', 'Gunanya': 'Gunanya', 'yg': 'yg', 'Sy': 'Sy', 'Saya': 'Saya', 'Kuliah': 'pendidikan', 'kah': 'kah'}",0.6261,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga melorot kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9640175104141235,2,[1.000e-03 9.000e-04 9.857e-01 1.000e-03 1.150e-02],2,[0.0379 0.004  0.9527 0.0024 0.003 ],"{'kalah': 'melorot', 'ga': 'ga', 'Cintanya': 'Cintanya'}",0.2189,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Bikin pengen joget wkwk Itu namanya autoreaction sih xD,0.9644901752471924,4,[1.900e-03 8.000e-04 1.060e-02 1.000e-03 9.857e-01],4,[0.0033 0.0017 0.0065 0.0018 0.9867],"{'wkwk': 'wkwk', 'autoreaction': 'autoreaction', 'xD': 'xD', 'joget': 'joget', 'kluar': 'kluar', 'musiknya': 'musiknya', 'pengen': 'pengen', 'yg': 'yg'}",0.4521,,,,
