label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF,0.9768531918525696,4,[1.500e-03 3.000e-04 1.360e-02 3.000e-04 9.842e-01],4,[4.300e-03 6.000e-04 2.640e-02 1.200e-03 9.675e-01],{'ELF': 'ELF'},1.6714,0.9775631922749219,0.834422039193411,0.9306567119086916,1.0518643851178642
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki bangku jabatan rakyat belum pernah mendengar dan melihat keputusan kerja dan prestasi sebenar yang anda berikan semasa menduduki bangku tanya Kenapa Abdi rakyat butuh seoran,0.7902312874794006,1,[5.500e-03 9.935e-01 2.000e-04 4.000e-04 5.000e-04],1,[7.800e-02 9.163e-01 8.000e-04 1.400e-03 3.500e-03],"{'nyata': 'sebenar', 'hasil': 'keputusan', 'rakyat': 'rakyat'}",1.4798,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah jika emang belum berani potong rambut pendek ya aja jika emang sudah yakin dan bisa nyaman Selamat jangan lupa berdoa Tidur yg nyenyak mimpi yg indah Good night cit,0.9643941521644592,3,[0.1237 0.0065 0.0062 0.7671 0.0965],4,[0.1465 0.0074 0.02   0.3884 0.4377],"{'udah': 'sudah', 'kalo': 'jika'}",0.9092,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.8376 0.0437 0.014  0.0273 0.0774],0,[0.8376 0.0437 0.014  0.0273 0.0774],,0.21,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being bang itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek terliur lagi kalo mereka pacaran bangsat,0.9802008867263794,1,[4.50e-03 9.94e-01 2.00e-04 7.00e-04 6.00e-04],1,[2.791e-01 7.130e-01 7.000e-04 2.100e-03 5.100e-03],"{'asshole': 'bang', 'bangsat': 'bangsat', 'parahnya': 'terliur'}",1.2911,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan miliki saat ada orang lain yang mahukannya Apapun Karena gak semua beban bisa di tanggung oleh seorang Dialog Dini,0.9608192443847656,0,[0.9929 0.001  0.0023 0.0015 0.0023],0,[9.961e-01 1.200e-03 7.000e-04 1.000e-03 1.000e-03],"{'Terkadang': 'Terkadang', 'menginginkanya': 'mahukannya'}",1.3284,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Karena kau cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah mati pada Bahkan berangin yang segar pun kau caci dan kau,0.9799625873565674,3,[6.000e-03 9.000e-04 1.000e-03 9.911e-01 9.000e-04],3,[0.15   0.0158 0.0042 0.8279 0.0021],"{'mati': 'mati', 'semilir': 'berangin', 'segar': 'segar'}",0.8484,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk bilik Kuliah dan mengerjakan Tugas Kuliah sprt Mhs Tidak persoalan Ada larangan atau Tapi apa Gunanya saya ikut kalo saya n,0.9754372835159302,1,[1.000e-02 9.867e-01 2.000e-04 2.700e-03 5.000e-04],1,[0.0522 0.6565 0.001  0.2883 0.002 ],"{'ruang': 'bilik', 'Bukan': 'Tidak', 'Mahasiswa': 'Mahasiswa', 'kah': 'kah', 'Saya': 'saya'}",0.9068,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga kalah kok sama yang Karena sebenarnya bagi aku kalian itu cinta satu cinta,0.9684922695159912,2,[8.000e-04 5.000e-04 9.966e-01 1.300e-03 8.000e-04],2,[7.000e-04 8.000e-04 9.956e-01 1.800e-03 1.200e-03],{'sebenernya': 'sebenarnya'},0.701,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],1.0,2,[0.0032 0.0008 0.5359 0.0023 0.4577],2,[0.0032 0.0008 0.5359 0.0023 0.4577],,0.19,,,,
0,[USERNAME] Gua kelas 1sd bawa hp karna buat hubungin mama. Tau tau dicolong temen. Gua diem aja bego emg. Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta maaf. Eh beberapa hari kemudian anaknya pindah sklh. Ya,gua kelas 1sd bawa hp karna buat hubungin Tau tahu ditangkap gua Diam sahaja bego Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta Eh beberapa hari kemudian anaknya pindah Ya,0.933800458908081,0,[0.9931 0.0015 0.0011 0.0012 0.0032],0,[0.8879 0.007  0.0022 0.0252 0.0777],"{'Gua': 'gua', 'aja': 'sahaja', 'diem': 'Diam', 'tau': 'tahu', 'dicolong': 'ditangkap'}",1.3872,,,,
2,"[USERNAME] ""Cinta tak butuh pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."" Ini wejangan dari mbah [USERNAME]",tak butuh Pada saat kau merasa pada saat itu cintamu mulai Ini wejangan dari mbah,0.8747009634971619,2,[0.0091 0.0015 0.9842 0.0031 0.0021],2,[0.0435 0.0011 0.949  0.0044 0.0019],{'kau': 'kau'},0.6931,,,,
2,Romantis itu MANIS lebih manis lagi kalo dilakuin orang tg kita SAYANG. Semua bakal terasa seneng dan berbunga bunga wkwk. Seperti ada ribuan kupu kupu terbang yg ada dii perut kalo lagi ada yg ngeromantisin gitu.,Romantis itu MANIS lebih manis lagi jika dilakuin orang tg kita Semua bakal terasa seneng dan berbunga bunga Sebagai ada ribuan kupu kupu terbang yg ada dii perut jika lagi ada yg ngeromantisin,0.9841527938842773,2,[6.00e-04 6.00e-04 9.96e-01 1.50e-03 1.30e-03],2,[8.000e-04 4.000e-04 9.941e-01 1.400e-03 3.300e-03],"{'kalo': 'jika', 'Seperti': 'Sebagai', 'manis': 'manis', 'bunga': 'bunga'}",0.7814,,,,
3,tapi ngeri sih ya emang akun gede dengan followers ribuan tuh kalo ngetweet yg jelek atau salah dikit yg hujat langsung banyak AKU TAKUT KALIAN UNFOLLOW AKU AJA PLEASE,tapi menakutkan sih ya emang akun gede dengan followers ribuan tuh kalo tweeting yg jelek atau salah dikit yg hujat langsung banyak AKU TAKUT KALIAN UNFOLLOW AKU AJA BANTUAN,0.9767556190490723,3,[6.000e-04 2.300e-03 4.000e-04 9.962e-01 5.000e-04],3,[6.000e-04 2.600e-03 4.000e-04 9.959e-01 5.000e-04],"{'ngeri': 'menakutkan', 'TAKUT': 'TAKUT', 'PLEASE': 'BANTUAN', 'UNFOLLOW': 'UNFOLLOW', 'ngetweet': 'tweeting'}",2.0409,,,,
0,Kapan bandara [USERNAME] 1 di Ambon ada perbaikan dan mungkin renofasi. Melihat ada banyak perkembangan bandara di daerah lain rasanya sudah amat ketinggalan sebagai bandara internasional . [URL],Kapan bandara 1 di Ambon ada perbaikan dan mungkin Melihat ada banyak pembangunan bandara di daerah lain rasanya sudah amat tertinggal sebagai bandara internasional,0.906244695186615,0,[0.9665 0.0297 0.001  0.0014 0.0014],0,[9.581e-01 3.690e-02 8.000e-04 1.900e-03 2.300e-03],"{'ketinggalan': 'tertinggal', 'perkembangan': 'pembangunan'}",1.0717,,,,
2,pantesan ada notif di FB. hari ini 4 thn yg lalu video ini bikin gw makin yakin jatuh cinta pada pandangan pertama sama doi an awal adekgemas fever melanda,pantesan ada notif di hari ini 4 thn yg lalu video ini untuk gw makin yakin jatuh cinta pada pandangan pertama sama doi an awal adekgemas fever melanda,0.9753959774971008,2,[2.80e-03 7.00e-04 9.88e-01 2.40e-03 6.10e-03],2,[2.300e-03 8.000e-04 9.894e-01 2.300e-03 5.200e-03],"{'jatuh': 'jatuh', 'bikin': 'untuk'}",0.8565,,,,
