text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin je datang ke tempat makan baru yang ada di dago atas je kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman très terlalu étroit,0.9857176542282104,2,[4.900e-03 3.000e-04 9.948e-01],2,[7.000e-03 4.000e-04 9.927e-01],"{'nyaman': 'nyaman', 'banget': 'très', 'gue': 'je', 'mahal': 'mahal', 'enak': 'enak', 'makanan': 'makanan', 'nya': 'nya', 'harga': 'harga', 'deh': 'deh', 'sempit': 'étroit'}",2,2,1.2076,0.946,0.908,0.9366307752728462,0.6566438000000001,0.916,0.03799999999999992,-0.008000000000000007,0.952,6.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih je tidak akan mau balik lagi ke tempat itu gila ya je enggak ngerti kenapa tempat nya dibiarkan chaud sudah begitu kotor pula kalau chaud kepanasan kalau hujan kehujanan harus nya sih tidak ada restaurant yang kayak gitu tidak tahu deh apa yang mereka jual,0.9680180549621582,2,[5.200e-03 3.000e-04 9.944e-01],2,[8.500e-03 6.000e-04 9.908e-01],"{'jual': 'jual', 'nya': 'nya', 'kehujanan': 'kehujanan', 'deh': 'deh', 'restoran': 'restaurant', 'gue': 'je', 'kayak': 'kayak', 'kotor': 'kotor', 'gitu': 'gitu', 'kepanasan': 'kepanasan', 'sih': 'sih', 'dibiarkan': 'dibiarkan', 'panas': 'chaud', 'gila': 'gila', 'hujan': 'hujan'}",2,2,0.8597,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu imagerie ketiga dia tidak pro personnes sudahlah ku sudah terlanjur kecewa,0.981741189956665,2,[2.400e-03 2.000e-04 9.975e-01],2,[2.900e-03 2.000e-04 9.969e-01],"{'kecewa': 'kecewa', 'terlanjur': 'terlanjur', 'jokowi': 'jokowi', 'ku': 'ku', 'janji': 'janji', 'pro': 'pro', 'nepatin': 'nepatin', 'rakyat': 'personnes', 'nya': 'nya', 'pencitraan': 'imagerie'}",2,2,0.7291,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama temps je ke banquet buat ngurusin pembuatan compte baru nom nya juga orang pertama temps ya baru ke banquet je kena semprot kelihatan très pelayanan client nya tidak Comme je banyak bertanya padahal itu kan Devoir mereka buat melayangkan je,0.8146822452545166,2,[0.0054 0.001  0.9937],2,[0.0028 0.0016 0.9956],"{'orang': 'orang', 'nama': 'nom', 'pelayanan': 'pelayanan', 'gua': 'je', 'suka': 'Comme', 'kena': 'kena', 'rekening': 'compte', 'kali': 'temps', 'nya': 'nya', 'semprot': 'semprot', 'bank': 'banquet', 'tugas': 'Devoir', 'pelanggan': 'client', 'banget': 'très', 'kalinya': 'temps'}",2,2,0.8304,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan je pernah disuruh ibu latihan karate kata nya biar je bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki je langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9748862385749816,2,[0.0049 0.0011 0.9939],2,[0.0123 0.0023 0.9854],"{'karate': 'karate', 'biar': 'biar', 'latihan': 'latihan', 'gue': 'je', 'penjahat': 'penjahat', 'iseng': 'iseng', 'nya': 'nya', 'disuruh': 'disuruh', 'kaki': 'kaki', 'cedera': 'cedera'}",2,2,0.7722,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak Bogor tidak sebagus yang je membayangkan fasilitas nya juga biasa très padahal kata nya hotel bintang lima hum kecewa kayak nya sih tidak mau ke sana lagi,0.9743636846542358,2,[4.900e-03 3.000e-04 9.948e-01],2,[1.700e-02 5.000e-04 9.825e-01],"{'hm': 'hum', 'kecewa': 'kecewa', 'sih': 'sih', 'kayak': 'kayak', 'gue': 'je', 'bintang': 'bintang', 'bogor': 'Bogor', 'nya': 'nya', 'sebagus': 'sebagus', 'hotel': 'hotel', 'membayangkan': 'membayangkan', 'banget': 'très'}",2,2,0.7434,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu dommage moral très sumpah,0.951909840106964,2,[6.00e-04 3.00e-04 9.99e-01],2,[1.100e-03 3.000e-04 9.986e-01],"{'sumpah': 'sumpah', 'merusak': 'dommage', 'banget': 'très', 'berfaedah': 'berfaedah', 'moral': 'moral', 'lex': 'lex', 'young': 'young', 'gitu': 'gitu'}",2,2,0.7063,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,je pesimis sama manusia terutama dalam ngurusin déchets sudah berapa banyak mer jadi victime kita buang déchets ke mer tidak tega je liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affaires penting kayak gini il,0.9090191125869752,2,[5.800e-03 3.000e-04 9.939e-01],2,[1.23e-02 7.00e-04 9.87e-01],"{'he': 'il', 'pesimis': 'pesimis', 'urusan': 'affaires', 'gue': 'je', 'ngurusin': 'ngurusin', 'manusia': 'manusia', 'gini': 'gini', 'mikirin': 'mikirin', 'sampah': 'déchets', 'mengerti': 'mengerti', 'korban': 'victime', 'laut': 'mer', 'kayak': 'kayak', 'nya': 'nya', 'tega': 'tega'}",2,2,0.8234,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata passagère dilakukan par sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan client yang sudah dihubungi pun hanya seperti paralysant waktu sampai detik ini belum ada solusi untuk masalah saya yang Erreur nya sendiri bukan dari pihak saya,0.973471999168396,2,[2.000e-03 7.000e-04 9.973e-01],2,[0.0024 0.0011 0.9966],"{'kecewa': 'kecewa', 'pengeditan': 'pengeditan', 'solusi': 'solusi', 'detik': 'detik', 'mengulur': 'paralysant', 'pelanggan': 'client', 'sepele': 'sepele', 'kesalahan': 'Erreur', 'dihubungi': 'dihubungi', 'by': 'par', 'penumpang': 'passagère', 'nya': 'nya', 'permasalahan': 'permasalahan', 'sistem': 'sistem', 'dibiarkan': 'dibiarkan'}",2,2,0.9031,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan billet saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan client sudah envoyer email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,0.9623085260391236,2,[0.003  0.0042 0.9929],2,[0.0069 0.0164 0.9767],"{'terima': 'terima', 'pemesanan': 'pemesanan', 'kunjung': 'kunjung', 'nya': 'nya', 'tiket': 'billet', 'pelayanan': 'pelayanan', 'mengirimkan': 'envoyer', 'pelanggan': 'client', 'transfer': 'transfer', 'email': 'email', 'bukti': 'bukti'}",2,2,0.7308,,,,,,,,,
