label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",Pixy ini kok gemesim Setelah jatuh cinta sama lip cream kayak nya bakal jatih cinta sama yang Huft,0.940214991569519,2,[0.233  0.0029 0.6205 0.0076 0.1359],4,[0.0353 0.0042 0.1866 0.0047 0.7693],"{'cinta': 'cinta', 'gemesim': 'gemesim', 'cream': 'cream', 'kayak': 'kayak', 'pixy': 'pixy', 'lip': 'lip', 'setelah': 'setelah'}",0,0,0.9128,0.7772727272727272,0.6613636363636364,0.9319020489400084,0.5173490909090909,0.7204545454545455,0.11590909090909085,-0.05909090909090908,0.775,6.0
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit hepatitis B 100x lebih infeksius dari Duhh Dan belum ada,0.9448561668395996,3,[1.000e-03 7.000e-04 9.000e-04 9.967e-01 7.000e-04],3,[0.0273 0.1973 0.002  0.7551 0.0183],"{'hepatitis': 'hepatitis', 'b': 'b', 'penyakit': 'penyakit', 'infeksius': 'infeksius'}",3,3,0.5005,,,,,,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg if Ahok jd jurkamnya Jokowi Nemo movement malah berbalik jd ikon punya Persis kejadian 212 which jd panggung Jkw,0.8588441610336304,3,[2.600e-03 4.700e-03 5.000e-04 9.899e-01 2.200e-03],3,[3.200e-03 2.300e-03 6.000e-04 9.918e-01 2.100e-03],"{'kalo': 'if', 'kejadian': 'kejadian', 'gw': 'w', 'jkw': 'jkw', 'yg': 'which', 'nemo': 'nemo', 'panggung': 'panggung', 'lg': 'lg', 'movement': 'movement', 'ikon': 'ikon', 'jurkamnya': 'jurkamnya'}",3,3,1.0063,,,,,,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",Kemerdekaan adalah hak segala bangsa Kec Catalonia Koptik sbgmn kita menutup mata terhadap Penjajahan Yaman dan standart ganda,0.9747864603996276,1,[1.710e-02 9.791e-01 4.000e-04 1.100e-03 2.400e-03],1,[0.3708 0.5852 0.0019 0.0096 0.0326],"{'standart': 'standart', 'hak': 'hak', 'sbgmn': 'sbgmn', 'kemerdekaan': 'kemerdekaan', 'penjajahan': 'penjajahan', 'ganda': 'ganda', 'menutup': 'menutup'}",1,1,0.5885,,,,,,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Biar ngerti sejarah dan kesetiaan haha,0.9467302560806274,4,[0.0139 0.0012 0.45   0.0028 0.5321],4,[0.0293 0.0016 0.311  0.0039 0.6542],"{'ngerti': 'ngerti', 'dengar': 'dengar', 'haha': 'haha', 'pertandingan': 'pertandingan', 'biar': 'biar', 'lagu': 'lagu', 'ynwa': 'ynwa', 'resmi': 'resmi', 'sekedar': 'sekedar', 'saran': 'saran'}",4,4,1.1082,,,,,,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktip di ig merasa twitter ini tempat melarikan Pas lbh sering merasa ig itu aku butuh mau di pasar,0.948068618774414,0,[0.9511 0.019  0.0013 0.0135 0.0152],0,[0.8728 0.007  0.0051 0.0156 0.0995],"{'melarikan': 'melarikan', 'ig': 'ig', 'pas': 'pas', 'butuh': 'butuh', 'aktip': 'aktip', 'twitter': 'twitter'}",0,0,0.6739,,,,,,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.0561 0.0017 0.0021 0.0028 0.9373],4,[0.0561 0.0017 0.0021 0.0028 0.9373],,0,0,0.21,,,,,,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",Bukan w yang ga mau ikut tapi purse yang protes mulu lu w ga di isi purse badan lu kurusin jangan Oke sip besok ku lembur baghai qhuda,0.8400155305862427,0,[0.6124 0.3638 0.0007 0.003  0.0202],1,[7.100e-03 9.888e-01 3.000e-04 9.000e-04 2.900e-03],"{'lu': 'lu', 'protes': 'protes', 'bukan': 'bukan', 'gw': 'w', 'badan': 'badan', 'dompet': 'purse', 'mulu': 'mulu'}",1,0,0.7803,,,,,,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya if saya nikah saya ga bisa bahagiain if punya anak nanti saya banding,0.9384691119194032,3,[1.000e-03 5.000e-04 1.100e-03 9.964e-01 1.000e-03],3,[1.200e-03 4.000e-04 9.000e-04 9.966e-01 8.000e-04],"{'nikah': 'nikah', 'banding': 'banding', 'kalo': 'if', 'ga': 'ga'}",3,3,0.7244,,,,,,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",salut dengan siapapun yang bikin ad Tokopedia yang story masa lalu seseorang tentang nabung buat eat Dengan narasi yang cukup simple tapi bisa langsung ngena ke I Well done,0.9519068002700806,4,[6.100e-03 7.000e-04 1.740e-02 4.000e-04 9.755e-01],4,[5.300e-03 2.600e-03 3.600e-03 7.000e-04 9.878e-01],"{'salut': 'salut', 'simple': 'simple', 'well': 'well', 'gua': 'I', 'ad': 'ad', 'cerita': 'story', 'tokopedia': 'tokopedia', 'langsung': 'langsung', 'makan': 'eat'}",4,4,0.2535,,,,,,,,,
