label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF,0.9768531918525696,4,[2.200e-03 9.000e-04 7.300e-03 1.100e-03 9.886e-01],4,[0.0177 0.0016 0.0375 0.0039 0.9393],{'ELF': 'ELF'},1.2471,0.9875035501278046,0.8571428571428571,0.9295695588051918,0.8871042885543879
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki bangku kedudukan rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku tanya Kenapa Abdi rakyat butuh seoran,0.8037962317466736,1,[3.480e-02 9.615e-01 1.100e-03 1.600e-03 9.000e-04],0,[0.5278 0.3885 0.0404 0.0152 0.0281],"{'rakyat': 'rakyat', 'jabatan': 'kedudukan', 'bangku': 'bangku'}",0.9807,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah kalo serius belum berani potong rambut pendek ya aja kalo serius udah yakin dan bisa nyaman Selamat jangan lupa berdoa Tidur yg nyenyak mimpi yg indah baik night cit,0.9578185081481934,3,[0.0646 0.0088 0.0487 0.7725 0.1053],4,[0.0455 0.006  0.0411 0.1406 0.7668],"{'berdoa': 'berdoa', 'Good': 'baik', 'emang': 'serius', 'lupa': 'lupa', 'nyenyak': 'nyenyak'}",0.544,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",Jadi w eh intinya yg w usahain kerja ternyata zero Presentasi pukul ku baru grasak grusuk pukul Jiaaaaaaann,0.7801610231399536,3,[0.2761 0.0939 0.0042 0.6215 0.0043],3,[0.2341 0.2743 0.0044 0.4788 0.0083],"{'jam': 'pukul', 'eh': 'eh', 'gw': 'w'}",1.0783,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi rasanya semua realiti ku di sosmed pasti yang menafikan orang2 kek parahnya lagi kalo mereka pacaran bangsat,0.979609489440918,1,[2.350e-02 9.643e-01 4.000e-04 1.080e-02 1.000e-03],1,[7.330e-02 9.158e-01 4.000e-04 9.400e-03 1.000e-03],"{'bangsat': 'bangsat', 'statement': 'realiti', 'menyangkal': 'menafikan'}",2.0299,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena gak semua beban bisa di tanggung oleh seorang Dialog Dini,0.9627158641815186,0,[9.819e-01 8.000e-04 1.060e-02 4.100e-03 2.600e-03],0,[0.9694 0.0019 0.0215 0.0046 0.0026],"{'Terkadang': 'Terkadang', 'beban': 'beban'}",0.5887,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Karena kau cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah mati pada Bahkan berangin yang segar pun kau caci dan kau,0.9799625873565674,3,[0.0151 0.0045 0.0052 0.9736 0.0016],3,[0.0632 0.0191 0.0101 0.9037 0.0039],"{'semilir': 'berangin', 'kau': 'kau', 'segar': 'segar'}",0.7883,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",sekarang gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs Tidak persoalan Ada larangan atau Tapi apa Gunanya saya ikut kalo saya n,0.9777441620826721,1,[1.260e-02 9.552e-01 8.000e-04 3.050e-02 9.000e-04],1,[0.0296 0.7249 0.003  0.2391 0.0033],"{'Bukan': 'Tidak', 'gini': 'gini', 'Skrg': 'sekarang', 'Saya': 'saya'}",1.1095,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga kalah kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9703686237335205,2,[7.000e-04 4.000e-04 9.954e-01 1.300e-03 2.200e-03],2,[1.20e-03 5.00e-04 9.95e-01 1.80e-03 1.50e-03],{'kamuu': 'kamuu'},0.585,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo guna lg dengerin musik yang kluar slalu musiknya Bikin pengen joget wkwk Itu namanya autoreaction sih xD,0.9241892695426941,4,[0.0036 0.0013 0.0391 0.0064 0.9495],4,[0.0067 0.0023 0.0522 0.0128 0.926 ],"{'wkwk': 'wkwk', 'xD': 'xD', 'pake': 'guna', 'yg': 'yang'}",2.029,,,,
