text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin je datang ke tempat makan baru yang ada di dago atas je kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu étroit,0.9892067909240724,2,[0.0076 0.0012 0.9912],2,[0.0064 0.0014 0.9922],"{'mahal': 'mahal', 'harga': 'harga', 'kemarin': 'kemarin', 'nya': 'nya', 'gue': 'je', 'makan': 'makan', 'makanan': 'makanan', 'sempit': 'étroit', 'dago': 'dago', 'deh': 'deh'}",2,2,0.514,0.91,0.87,0.9351002580523492,0.3283322,0.904,0.040000000000000036,-0.03400000000000003,0.928,0.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih je tidak akan mau balik lagi ke tempat itu gila oui je enggak comprendre kenapa tempat nya dibiarkan chaud sudah begitu kotor pula kalau chaud kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9705345630645752,2,[0.0036 0.0015 0.9949],2,[0.0055 0.0017 0.9928],"{'ngerti': 'comprendre', 'deh': 'deh', 'hujan': 'hujan', 'gue': 'je', 'dibiarkan': 'dibiarkan', 'kotor': 'kotor', 'ya': 'oui', 'gila': 'gila', 'panas': 'chaud', 'gitu': 'gitu', 'kayak': 'kayak', 'nya': 'nya', 'jual': 'jual', 'sih': 'sih', 'kepanasan': 'kepanasan'}",2,2,0.1659,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua voyageur nya selalu imagerie ketiga dia tidak pro personnes sudahlah ku sudah terlanjur kecewa,0.9604965448379515,2,[0.0039 0.0011 0.9951],2,[0.0084 0.0014 0.9902],"{'ku': 'ku', 'rakyat': 'personnes', 'kecewa': 'kecewa', 'pro': 'pro', 'pencitraan': 'imagerie', 'kerjaan': 'voyageur', 'janji': 'janji', 'jokowi': 'jokowi', 'nepatin': 'nepatin', 'terlanjur': 'terlanjur'}",2,2,0.1098,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya je ke banquet buat ngurusin fabrication compte baru nom nya juga orang pertama temps oui baru ke banquet je kena semprot kelihatan banget pelayanan client nya tidak Comme je banyak bertanya padahal itu kan tugas mereka buat melayangkan je,0.8418933153152466,2,[0.0091 0.0015 0.9895],2,[0.0098 0.0047 0.9854],"{'suka': 'Comme', 'melayangkan': 'melayangkan', 'kena': 'kena', 'nya': 'nya', 'gua': 'je', 'ngurusin': 'ngurusin', 'orang': 'orang', 'semprot': 'semprot', 'pelanggan': 'client', 'bank': 'banquet', 'ya': 'oui', 'nama': 'nom', 'kali': 'temps', 'rekening': 'compte', 'pembuatan': 'fabrication'}",2,2,0.1457,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan je pernah disuruh ibu latihan karate kata nya biar je bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki je langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9748862385749816,2,[0.0019 0.0023 0.9959],2,[0.0019 0.0022 0.9959],"{'trauma': 'trauma', 'penjahat': 'penjahat', 'latihan': 'latihan', 'karate': 'karate', 'langsung': 'langsung', 'gue': 'je', 'disuruh': 'disuruh', 'iseng': 'iseng', 'nya': 'nya', 'biar': 'biar'}",2,2,0.1368,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak Bogor tidak sebagus yang je membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hum kecewa kayak nya sih tidak mau ke sana lagi,0.976874589920044,2,[0.0021 0.0011 0.9968],2,[0.0044 0.0012 0.9944],"{'hm': 'hum', 'kayak': 'kayak', 'sebagus': 'sebagus', 'pelayanan': 'pelayanan', 'kecewa': 'kecewa', 'hotel': 'hotel', 'sih': 'sih', 'nya': 'nya', 'salak': 'salak', 'bintang': 'bintang', 'bogor': 'Bogor', 'gue': 'je', 'membayangkan': 'membayangkan'}",2,2,0.1118,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus envoyer tidak berfaedah kayak gitu dommage moral très sumpah,0.9306813478469848,2,[0.0018 0.0012 0.997 ],2,[0.0024 0.0027 0.9949],"{'merusak': 'dommage', 'moral': 'moral', 'sumpah': 'sumpah', 'mengirim': 'envoyer', 'gitu': 'gitu', 'berfaedah': 'berfaedah', 'lex': 'lex', 'banget': 'très'}",2,2,0.0759,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,je pesimis sama manusia terutama dalam ngurusin déchets sudah berapa banyak mer jadi victime kita buang déchets ke mer tidak tega je liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting kayak gini he,0.9208558201789856,2,[0.0036 0.002  0.9944],2,[0.009  0.0023 0.9887],"{'pesimis': 'pesimis', 'korban': 'victime', 'gue': 'je', 'mengerti': 'mengerti', 'mikirin': 'mikirin', 'laut': 'mer', 'buang': 'buang', 'ngurusin': 'ngurusin', 'nya': 'nya', 'gini': 'gini', 'sampah': 'déchets', 'sih': 'sih', 'kayak': 'kayak', 'manusia': 'manusia'}",2,2,0.1515,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata passagère dilakukan par sistem tanpa confirmation dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti paralysant waktu sampai detik ini belum ada solusi untuk masalah saya yang Erreur nya sendiri bukan dari pihak saya,0.9676560163497924,2,[0.0023 0.0018 0.9959],2,[0.0034 0.0026 0.994 ],"{'kecewa': 'kecewa', 'mengulur': 'paralysant', 'dibiarkan': 'dibiarkan', 'penumpang': 'passagère', 'by': 'par', 'pengeditan': 'pengeditan', 'solusi': 'solusi', 'pelayanan': 'pelayanan', 'nya': 'nya', 'detik': 'detik', 'sistem': 'sistem', 'sepele': 'sepele', 'kesalahan': 'Erreur', 'dianggap': 'dianggap', 'konfirmasi': 'confirmation'}",2,2,0.2873,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan billet saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan client sudah envoyer email dengan bukti transfer tapi réponse nya sangat lambat dan tidak jelas,0.9481582641601562,2,[0.0014 0.0049 0.9937],2,[0.0019 0.0048 0.9933],"{'pelayanan': 'pelayanan', 'pelanggan': 'client', 'terima': 'terima', 'bukti': 'bukti', 'respon': 'réponse', 'tiket': 'billet', 'email': 'email', 'menelpon': 'menelpon', 'mengirimkan': 'envoyer', 'pemesanan': 'pemesanan', 'nya': 'nya'}",2,2,0.1062,,,,,,,,,
