label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]","Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",1.0,0,[0.9787 0.0033 0.0095 0.0047 0.0038],0,[0.9787 0.0033 0.0095 0.0047 0.0038],,2,2,0.05,0.7886363636363637,0.6522727272727272,0.9329006465321238,0.4755425,0.7,0.13636363636363646,-0.04772727272727273,0.7704545454545455,5.0
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit hepatitis B 100x lebih infeksius dari Duhh Dan belum ada,0.9448561668395996,3,[2.000e-03 1.100e-03 1.000e-03 9.952e-01 7.000e-04],1,[0.1026 0.5478 0.0027 0.2825 0.0644],"{'dan': 'lan', 'duhh': 'duhh', 'hepatitis': 'hepatitis'}",3,3,0.385,,,,,,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg yen Ahok jd jurkamnya Jokowi Nemo movement malah berbalik jd ikon punya Persis kejadian 212 yg jd panggung Jkw,0.8590551018714905,3,[2.600e-03 3.400e-03 4.000e-04 9.924e-01 1.200e-03],3,[5.200e-03 3.300e-03 3.000e-04 9.903e-01 1.000e-03],"{'kejadian': 'kejadian', 'yg': 'yg', 'kalo': 'yen', 'jkw': 'jkw', 'nemo': 'nemo', 'gw': 'gw', 'jurkamnya': 'jurkamnya', 'movement': 'movement', 'jokowi': 'jokowi', 'ikon': 'ikon', 'persis': 'persis', 'jd': 'jd', 'panggung': 'panggung'}",3,3,0.7293,,,,,,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",Kemerdekaan adalah hak segala bangsa Kec Catalonia Koptik sbgmn kita menutup mripat terhadap Penjajahan Yaman dan standart ganda,0.9145119190216064,1,[6.400e-03 9.896e-01 4.000e-04 1.700e-03 1.800e-03],1,[0.1876 0.7982 0.001  0.0055 0.0078],"{'mata': 'mripat', 'penjajahan': 'penjajahan', 'catalonia': 'catalonia', 'ganda': 'ganda', 'kec': 'kec', 'bangsa': 'bangsa', 'kemerdekaan': 'kemerdekaan', 'menutup': 'menutup'}",1,1,0.6399,,,,,,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi sekedar saran sering sering si jagoan dikasih dengar tembang YNWA sama tonton pertandingan Biar ngerti sajarah dan kesetiaan haha,0.9320791959762572,4,[1.10e-03 4.00e-04 2.59e-02 6.00e-04 9.72e-01],4,[2.100e-03 2.000e-04 1.980e-02 6.000e-04 9.773e-01],"{'selamat': 'selamat', 'sejarah': 'sajarah', 'haha': 'haha', 'pertandingan': 'pertandingan', 'biar': 'biar', 'ngerti': 'ngerti', 'ynwa': 'ynwa', 'lagu': 'tembang', 'dengar': 'dengar', 'resmi': 'resmi', 'jagoan': 'jagoan', 'si': 'si', 'dikasih': 'dikasih'}",4,4,0.9084,,,,,,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktif di ig merasa twitter ini tempat melarikan Pas lbh sering merasa ig itu aku butuh mau di pasar,0.9485153555870056,0,[9.925e-01 2.300e-03 9.000e-04 2.100e-03 2.200e-03],0,[0.9131 0.0082 0.0044 0.0328 0.0416],"{'twitter': 'twitter', 'butuh': 'butuh', 'melarikan': 'melarikan', 'pas': 'lulus', 'ig': 'ig', 'aktip': 'aktif'}",0,0,0.7472,,,,,,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.0379 0.0013 0.0025 0.0053 0.953 ],4,[0.0379 0.0013 0.0025 0.0053 0.953 ],,4,4,0.21,,,,,,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",Bukan gw yang ga mau ikut tapi dompet yang protes mulu lu gw ga di isi dompet badan lu kurusin jangan Oke sip besok ku lembur baghai qhuda,0.9751265048980712,0,[8.535e-01 1.325e-01 7.000e-04 1.200e-03 1.210e-02],1,[5.200e-03 9.927e-01 2.000e-04 4.000e-04 1.500e-03],{},1,0,0.7398,,,,,,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya yen saya nikah saya ga bisa bahagiain yen punya lanang nanti saya banding,0.8771974444389343,3,[1.000e-03 1.200e-03 4.000e-04 9.969e-01 5.000e-04],3,[2.200e-03 2.300e-03 4.000e-04 9.947e-01 4.000e-04],"{'kalo': 'yen', 'ga': 'ga', 'nikah': 'nikah', 'banding': 'banding', 'anak': 'lanang'}",3,3,0.6065,,,,,,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",salut karo siapapun yang kerja ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat mangan Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua Well rampung,0.954097330570221,4,[0.1366 0.001  0.0376 0.0016 0.8232],4,[4.000e-03 6.000e-04 8.000e-04 3.000e-04 9.943e-01],"{'tokopedia': 'tokopedia', 'well': 'well', 'ad': 'ad', 'nabung': 'nabung', 'gua': 'gua', 'dengan': 'karo', 'simple': 'simple', 'makan': 'mangan', 'bikin': 'kerja', 'langsung': 'langsung', 'done': 'rampung', 'salut': 'salut'}",4,4,0.6873,,,,,,,,,
