text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kampanye sudah selesai bukan berati habis pula upaya mengerek tingkat kedipilihan kebolehpilihan,0.9791524410247804,1,[0.0574 0.5937 0.3489],1,[0.0364 0.8564 0.1072],{'elektabilitas': 'kebolehpilihan'},2,2,5.15,0.9349206349206348,0.903968253968254,0.9745941146498636,9.343666666666667,0.930952380952381,0.030952380952380842,0.003968253968253843,0.5873015873015873
tidak enak,2,tidak bagus,0.8398102521896362,2,[0.0383 0.0035 0.9583],2,[0.0439 0.0028 0.9533],{'enak': 'bagus'},2,2,4.44,,,,,,,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,restoran ini menawarkan makanan sunda kami memesan ayam goreng kangkung sayur asam ikan gurame goreng ikan bakar nasi goreng karedok tahu tempe nasi putih nasi merah etc minuman yang mereka tawarkan juga cukup variatif rasa makanan bagus dan harga murah kami 9 dewasa dan 5 anak kecil hanya menghabiskan,0.995507538318634,0,[0.9954 0.0011 0.0035],0,[9.977e-01 1.400e-03 9.000e-04],"{'enak': 'bagus', 'harga': 'harga', 'variatif': 'variatif', 'makanan': 'makanan', 'restoran': 'restoran', 'murah': 'murah', 'goreng': 'goreng'}",0,2,7.98,,,,,,,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,lokasi di alun alun Masak padang ini cukup terkenal dengan kepala ikan kakap gule biasa saya pesan nasi bungkus padang berisikan rendang ayam pop dan perkedel porsi banyak dan mengenyangkan,0.9915748834609984,0,[9.978e-01 1.200e-03 9.000e-04],0,[0.9978 0.0011 0.001 ],"{'lokasi': 'lokasi', 'masakan': 'Masak', 'pop': 'pop', 'rendang': 'rendang'}",0,0,6.44,,,,,,,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,bagaimana bejad kader gerindra yang anggota dprd dicabul anak smp rakyat harus cerdas partai mana yang harus di tengelamkan di 2019,0.983085036277771,2,[0.0139 0.0198 0.9663],2,[0.0335 0.4127 0.5538],"{'betapa': 'bagaimana', 'mencabuli': 'dicabul'}",2,2,5.95,,,,,,,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,kampiun bistro berada di jalan kebon kawung sebelah kanan seberang stasiun kota bandung harga makanan dan minum miliknya sangat mampu milik ada live musik juga dan kalau beruntung anda akan bertemu dengan yuke dewa19 di tempat ini,0.9834167957305908,0,[0.9968 0.002  0.0012],0,[0.9977 0.0013 0.001 ],"{'minuman': 'minum', 'nya': 'miliknya', 'makanan': 'makanan', 'terjangkau': 'mampu milik'}",0,2,6.31,,,,,,,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang by the way ini kipas2 mau diletakkan mana mana uchiwa sebesar ini pula,0.9928401112556458,2,[0.0423 0.0052 0.9525],2,[0.1399 0.0091 0.8509],"{'segede': 'sebesar', 'barang': 'barang'}",2,2,6.88,,,,,,,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke restauran ini mungkin letak nya strategis pertama masuk diberi senyuman manis sama mbak yang ramah di situ pun saya memesan chiken grill es thai tea dan super duper ice cream enak saya suka,0.9952669143676758,0,[0.9979 0.001  0.0011],0,[0.9979 0.001  0.0011],"{'duper': 'duper', 'dikasih': 'diberi', 'masuk': 'masuk', 'manis': 'manis'}",0,0,6.94,,,,,,,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya tuhan agama sesat itu,1.0,2,[0.0028 0.0028 0.9944],2,[0.0042 0.0028 0.9929],{'agama': 'agama'},2,2,5.78,,,,,,,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena bagus rasanya yaitu terong goreng di sini saya baru bisa menikmati terong yang diolah sehingga terasa sedap,0.9899543523788452,0,[0.996  0.0016 0.0024],0,[0.9964 0.0013 0.0023],"{'enak': 'bagus', 'lezat': 'sedap'}",0,0,7.1,,,,,,,,
