text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin je datang ke tempat makan baru yang ada di dago atas je kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman très terlalu sempit,0.9868431091308594,2,[0.066  0.0031 0.9309],2,[0.2711 0.0053 0.7236],"{'mahal': 'mahal', 'banget': 'très', 'nya': 'nya', 'deh': 'deh', 'harga': 'harga', 'makanan': 'makanan', 'gue': 'je', 'kemarin': 'kemarin', 'makan': 'makan', 'dago': 'dago'}",2,2,0.8134,0.916,0.864,0.9411911367177964,0.32336,0.924,0.052000000000000046,-0.06000000000000005,0.942,5.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih je tidak akan mau balik lagi ke tempat itu gila oui je enggak comprendre kenapa tempat nya dibiarkan chaud sudah begitu kotor pula kalau chaud kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9705345630645752,2,[0.0378 0.0036 0.9586],2,[0.0392 0.0051 0.9557],"{'kepanasan': 'kepanasan', 'gila': 'gila', 'kotor': 'kotor', 'dibiarkan': 'dibiarkan', 'kehujanan': 'kehujanan', 'deh': 'deh', 'gitu': 'gitu', 'ngerti': 'comprendre', 'panas': 'chaud', 'jual': 'jual', 'sih': 'sih', 'nya': 'nya', 'kayak': 'kayak', 'gue': 'je', 'ya': 'oui', 'hujan': 'hujan'}",2,2,0.4916,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua voyageur nya selalu imagerie ketiga dia tidak pro personnes sudahlah ku sudah terlanjur kecewa,0.9604965448379515,2,[0.0168 0.0039 0.9793],2,[0.0268 0.0066 0.9665],"{'janji': 'janji', 'ketiga': 'ketiga', 'pro': 'pro', 'rakyat': 'personnes', 'nya': 'nya', 'ku': 'ku', 'kecewa': 'kecewa', 'kerjaan': 'voyageur', 'pencitraan': 'imagerie', 'jokowi': 'jokowi'}",2,2,0.4079,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama temps je ke banquet buat ngurusin pembuatan compte baru nom nya juga orang pertama temps ya baru ke banquet je kena semprot kelihatan très pelayanan client nya tidak Comme je banyak bertanya padahal itu kan Devoir mereka buat melayangkan je,0.8146822452545166,2,[0.0187 0.0048 0.9765],2,[0.2302 0.0191 0.7507],"{'semprot': 'semprot', 'suka': 'Comme', 'banget': 'très', 'ngurusin': 'ngurusin', 'nya': 'nya', 'kena': 'kena', 'pelayanan': 'pelayanan', 'melayangkan': 'melayangkan', 'kalinya': 'temps', 'nama': 'nom', 'gua': 'je', 'rekening': 'compte', 'tugas': 'Devoir', 'pelanggan': 'client', 'bank': 'banquet', 'kali': 'temps'}",2,2,0.4673,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan je pernah disuruh ibu latihan karate kata nya biar je bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki je langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9748862385749816,2,[0.0391 0.0272 0.9337],2,[0.0387 0.0506 0.9106],"{'langsung': 'langsung', 'karate': 'karate', 'cedera': 'cedera', 'gue': 'je', 'latihan': 'latihan', 'iseng': 'iseng', 'kaki': 'kaki', 'trauma': 'trauma', 'biar': 'biar', 'penjahat': 'penjahat'}",2,2,0.4269,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak Bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa très padahal kata nya hotel bintang lima hum kecewa kayak nya sih tidak mau ke sana lagi,0.977936029434204,2,[0.0704 0.0038 0.9259],2,[0.2032 0.0071 0.7897],"{'kecewa': 'kecewa', 'sebagus': 'sebagus', 'hm': 'hum', 'hotel': 'hotel', 'banget': 'très', 'fasilitas': 'fasilitas', 'nya': 'nya', 'bintang': 'bintang', 'bogor': 'Bogor', 'pelayanan': 'pelayanan', 'sih': 'sih', 'salak': 'salak', 'kayak': 'kayak'}",2,2,0.4259,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus envoyer tidak berfaedah kayak gitu dommage moral très sumpah,0.9306813478469848,2,[0.0066 0.0027 0.9907],2,[0.0122 0.0037 0.9841],"{'berfaedah': 'berfaedah', 'merusak': 'dommage', 'mengirim': 'envoyer', 'banget': 'très', 'lex': 'lex', 'kayak': 'kayak', 'young': 'young', 'gitu': 'gitu'}",2,2,0.3482,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,je pesimis sama manusia terutama dalam ngurusin déchets sudah berapa banyak mer jadi victime kita buang déchets ke mer tidak tega je argile nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affaires penting kayak gini il,0.9004933834075928,2,[0.0115 0.0033 0.9852],2,[0.0153 0.004  0.9807],"{'gue': 'je', 'korban': 'victime', 'liat': 'argile', 'pesimis': 'pesimis', 'mikirin': 'mikirin', 'he': 'il', 'laut': 'mer', 'urusan': 'affaires', 'sih': 'sih', 'kayak': 'kayak', 'mengerti': 'mengerti', 'gini': 'gini', 'sampah': 'déchets', 'nya': 'nya', 'manusia': 'manusia', 'tega': 'tega'}",2,2,0.4524,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata passagère dilakukan par sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan client yang sudah dihubungi pun hanya seperti paralysant waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9828507900238036,2,[0.0089 0.0028 0.9884],2,[0.0097 0.0031 0.9873],"{'kecewa': 'kecewa', 'biodata': 'biodata', 'solusi': 'solusi', 'dihubungi': 'dihubungi', 'dibiarkan': 'dibiarkan', 'by': 'par', 'pelayanan': 'pelayanan', 'detik': 'detik', 'pelanggan': 'client', 'nya': 'nya', 'mengulur': 'paralysant', 'penumpang': 'passagère', 'pengeditan': 'pengeditan', 'permasalahan': 'permasalahan', 'sistem': 'sistem'}",2,2,0.5156,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan billet saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi réponse nya sangat prêté dan tidak jelas,0.9809043407440186,2,[0.0028 0.0063 0.9909],2,[0.0037 0.0212 0.9751],"{'menelpon': 'menelpon', 'respon': 'réponse', 'kunjung': 'kunjung', 'lambat': 'prêté', 'nya': 'nya', 'bukti': 'bukti', 'terima': 'terima', 'transfer': 'transfer', 'pemesanan': 'pemesanan', 'email': 'email', 'tiket': 'billet'}",2,2,0.4165,,,,,,,,,
