text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,Kamari hamba datang ke tempat makan baru yang ada di dago atas hamba kira makanan milik enak karena harga milik mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat milik juga tidak nyaman banget terlalu sempit,0.9600735306739808,2,[4.500e-03 7.000e-04 9.948e-01],2,[0.0051 0.001  0.9938],"{'mahal': 'mahal', 'harga': 'harga', 'nya': 'milik', 'gue': 'hamba', 'makan': 'makan', 'kemarin': 'Kamari', 'makanan': 'makanan', 'dago': 'dago'}",2,0,0.7695,0.91,0.886,0.9737734390497208,0.314701,0.956,0.02400000000000002,-0.06999999999999995,0.4,4.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak milik sih hamba tidak akan mau balik lagi ke tempat itu gila enya hamba enggak ngerti kenapa tempat milik dibiarkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus milik sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9624102711677552,2,[4.100e-03 8.000e-04 9.951e-01],2,[0.0058 0.001  0.9932],"{'ngerti': 'ngerti', 'gila': 'gila', 'gue': 'hamba', 'ya': 'enya', 'kotor': 'kotor', 'hujan': 'hujan', 'dibiarkan': 'dibiarkan', 'deh': 'deh', 'panas': 'panas', 'nya': 'milik', 'kayak': 'kayak'}",2,0,0.4962,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro mahluk sudahlah hamba sudah geus kecewa,0.9742010831832886,2,[3.700e-03 7.000e-04 9.956e-01],2,[5.100e-03 7.000e-04 9.942e-01],"{'ku': 'hamba', 'jokowi': 'jokowi', 'pro': 'pro', 'rakyat': 'mahluk', 'janji': 'janji', 'pencitraan': 'pencitraan', 'terlanjur': 'geus'}",2,1,0.4145,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru fabrikasi milik juga mahluk pertama kali enya baru ke bank gua kena semprot kelihatan banget pelayanan pelanggan milik tidak suka gua banyak bertanya padahal itu kan tugas mereka buat melayangkan gua,0.9645675420761108,2,[0.0136 0.0015 0.9849],2,[0.0234 0.0023 0.9743],"{'suka': 'suka', 'kena': 'kena', 'gua': 'gua', 'melayangkan': 'melayangkan', 'nya': 'milik', 'semprot': 'semprot', 'ngurusin': 'ngurusin', 'orang': 'mahluk', 'bank': 'bank', 'kali': 'kali', 'pelanggan': 'pelanggan', 'ya': 'enya', 'nama': 'fabrikasi'}",2,0,0.4436,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan hamba pernah disuruh ibu latihan karate kata nya biar hamba bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki hamba langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9761815071105956,2,[0.0032 0.0021 0.9947],2,[0.0032 0.0018 0.995 ],"{'trauma': 'trauma', 'latihan': 'latihan', 'penjahat': 'penjahat', 'langsung': 'langsung', 'gue': 'hamba', 'karate': 'karate', 'disuruh': 'disuruh'}",2,1,0.4298,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas milik juga biasa banget padahal kata milik hotel bentang lima hm kecewa kayak milik naraka tidak mau ke sana lagi,0.8969983458518982,2,[1.600e-03 6.000e-04 9.977e-01],2,[2.100e-03 8.000e-04 9.971e-01],"{'kecewa': 'kecewa', 'hm': 'hm', 'kayak': 'kayak', 'bintang': 'bentang', 'sih': 'naraka', 'nya': 'milik', 'banget': 'banget', 'hotel': 'hotel', 'salak': 'salak'}",2,0,0.4146,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak Tulung kayak gugah merusak moral banget sumpah,0.9535213708877563,2,[1.400e-03 8.000e-04 9.978e-01],2,[0.0013 0.001  0.9977],"{'merusak': 'merusak', 'moral': 'moral', 'berfaedah': 'Tulung', 'sumpah': 'sumpah', 'gitu': 'gugah', 'mengirim': 'mengirim'}",2,2,0.3411,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,hamba pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega hamba liat milik kadang tidak ngarti juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting kayak gini he,0.976704478263855,2,[0.0036 0.001  0.9954],2,[0.0041 0.001  0.9949],"{'pesimis': 'pesimis', 'korban': 'korban', 'mikirin': 'mikirin', 'gue': 'hamba', 'mengerti': 'ngarti', 'laut': 'laut', 'tega': 'tega', 'sampah': 'sampah', 'buang': 'buang', 'kayak': 'kayak', 'nya': 'milik'}",2,0,0.456,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9977594614028932,2,[0.0019 0.0014 0.9967],2,[0.0023 0.0017 0.996 ],"{'kecewa': 'kecewa', 'pelayanan': 'pelayanan', 'solusi': 'solusi', 'dibiarkan': 'dibiarkan', 'by': 'by', 'pengeditan': 'pengeditan', 'mengulur': 'mengulur', 'kesalahan': 'kesalahan', 'sistem': 'sistem', 'penumpang': 'penumpang', 'pelanggan': 'pelanggan', 'detik': 'detik'}",2,1,0.5235,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya narima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,0.9965811967849731,2,[0.0015 0.0029 0.9956],2,[0.002  0.0042 0.9939],"{'pelayanan': 'pelayanan', 'terima': 'narima', 'bukti': 'bukti', 'respon': 'respon', 'pemesanan': 'pemesanan', 'pelanggan': 'pelanggan', 'email': 'email', 'tiket': 'tiket'}",2,1,0.3989,,,,,,,,,
