text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat makan baru yang ada di dago atas gue kira makanan nya enak karena kos nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.984994649887085,2,[0.012  0.0014 0.9866],2,[0.0332 0.0021 0.9647],"{'mahal': 'mahal', 'deh': 'deh', 'banget': 'banget', 'nya': 'nya', 'harga': 'kos'}",2,0,2.7428,0.916,0.868,0.967612958073616,0.3371894,0.944,0.04800000000000004,-0.07599999999999996,0.446,11.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih gue tidak akan mau balik lagi ke tempat itu mania ya gue enggak ngerti kenapa tempat nya dibiarkan berbalik sudah begitu kotor pula kalau berbalik kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9849309921264648,2,[0.0073 0.0015 0.9912],2,[0.0103 0.0019 0.9877],"{'gila': 'mania', 'dibiarkan': 'dibiarkan', 'panas': 'berbalik', 'nya': 'nya', 'ngerti': 'ngerti', 'gue': 'gue', 'sih': 'sih'}",2,0,0.423,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro kalangan sudahlah ku sudah terlanjur kecewa,0.988874077796936,2,[0.0038 0.0016 0.9946],2,[0.0063 0.0022 0.9915],"{'pro': 'pro', 'rakyat': 'kalangan', 'ku': 'ku', 'nya': 'nya', 'ketiga': 'ketiga'}",2,0,0.2721,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank gua cedera semprot kelihatan banget pekerjaan pelanggan nya tidak menikmati gua banyak bertanya padahal itu kan tugas mereka buat menyempurnakan gua,0.9871499538421632,2,[0.0041 0.0018 0.9941],2,[0.0091 0.0028 0.988 ],"{'suka': 'menikmati', 'semprot': 'semprot', 'banget': 'banget', 'nya': 'nya', 'pelayanan': 'pekerjaan', 'kena': 'cedera', 'ngurusin': 'ngurusin', 'gua': 'gua', 'melayangkan': 'menyempurnakan'}",2,0,0.3284,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu mengakok karate kata nya membuat gue bisa melawan penjahat kalau ada iseng tapi di hari pertama mengakok kaki gue ketepatan keguguran jadilah sekarang trauma dan tidak mau buat mengakok karate lagi,0.9645360708236694,2,[0.0086 0.0069 0.9846],2,[0.0209 0.014  0.9652],"{'trauma': 'trauma', 'langsung': 'ketepatan', 'cedera': 'keguguran', 'latihan': 'mengakok', 'gue': 'gue', 'biar': 'membuat'}",2,0,0.3005,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di bangunan salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya bangunan salib lima hm terhalang kayak nya sih tidak mau ke sana lagi,0.9185680150985718,2,[0.0119 0.0016 0.9865],2,[0.0166 0.0025 0.981 ],"{'kecewa': 'terhalang', 'hm': 'hm', 'hotel': 'bangunan', 'nya': 'nya', 'banget': 'banget', 'bintang': 'salib'}",2,0,0.2717,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berukuran kayak gitu memakan moral banget sumpah,0.9780152440071106,2,[0.0031 0.0022 0.9946],2,[0.0175 0.0038 0.9788],"{'merusak': 'memakan', 'berfaedah': 'berukuran', 'lex': 'lex', 'young': 'young'}",2,0,0.2399,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak pendaratan jadi melampiaskan kita buang sampah ke pendaratan tidak tega gue liat nya kadang tidak mengartikan juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting mengidamkan gini he,0.9728009700775146,2,[0.0038 0.0017 0.9946],2,[0.006  0.0021 0.9919],"{'gue': 'gue', 'korban': 'melampiaskan', 'mikirin': 'mikirin', 'sih': 'sih', 'mengerti': 'mengartikan', 'laut': 'pendaratan', 'nya': 'nya', 'kayak': 'mengidamkan'}",2,0,0.3708,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya terhalang karena pengeditan riwayat penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pekerjaan kalangan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9796123504638672,2,[0.0036 0.0016 0.9947],2,[0.0033 0.0025 0.9942],"{'solusi': 'solusi', 'pelayanan': 'pekerjaan', 'kecewa': 'terhalang', 'dibiarkan': 'dibiarkan', 'pelanggan': 'kalangan', 'by': 'by', 'biodata': 'riwayat', 'dianggap': 'dianggap'}",2,0,0.3603,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak berjalan saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat angkat kaki dan tidak jelas,0.9868335723876952,2,[0.0018 0.0033 0.9949],2,[0.002  0.0057 0.9924],"{'lambat': 'angkat kaki', 'respon': 'respon', 'nya': 'nya', 'kunjung': 'berjalan', 'menelpon': 'menelpon'}",2,0,0.2421,,,,,,,,,
