text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin saya datang ke tempat makan baru yang ada di dago atas saya kira makanan miliknya baik karena harga miliknya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat miliknya juga tidak selesa banget terlalu sempit,0.9679672122001648,2,[9.000e-03 6.000e-04 9.905e-01],2,[4.300e-03 3.000e-04 9.954e-01],"{'nyaman': 'selesa', 'banget': 'banget', 'mahal': 'mahal', 'harga': 'harga', 'makanan': 'makanan', 'enak': 'baik', 'nya': 'miliknya', 'deh': 'deh', 'gue': 'saya', 'dago': 'dago'}",2,2,1.2074,0.944,0.922,0.9758914244174958,0.656102,0.946,0.02199999999999991,-0.02399999999999991,0.904,7.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak miliknya neraka saya tidak akan mau balik lagi ke tempat itu gila ya saya enggak ngerti kenapa tempat miliknya ditinggalkan panas sudah begitu kotor pula kalau panas panas kalau hujan kehujanan harus miliknya neraka tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.974136471748352,2,[6.100e-03 4.000e-04 9.936e-01],2,[5.400e-03 2.000e-04 9.944e-01],"{'nya': 'miliknya', 'kehujanan': 'kehujanan', 'kotor': 'kotor', 'jual': 'jual', 'gue': 'saya', 'deh': 'deh', 'kepanasan': 'panas', 'sih': 'neraka', 'kayak': 'kayak', 'dibiarkan': 'ditinggalkan', 'gila': 'gila', 'hujan': 'hujan', 'panas': 'panas', 'gitu': 'gitu', 'ya': 'ya'}",2,2,1.2086,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan miliknya selalu pencitraan ketiga dia tidak pro rakyat sudahlah ku sudah terlanjur kecewa,0.9863624572753906,2,[1.500e-03 2.000e-04 9.983e-01],2,[1.400e-03 2.000e-04 9.984e-01],"{'kecewa': 'kecewa', 'jokowi': 'jokowi', 'ku': 'ku', 'janji': 'janji', 'pro': 'pro', 'nepatin': 'nepatin', 'terlanjur': 'terlanjur', 'nya': 'miliknya', 'kerjaan': 'kerjaan', 'rakyat': 'rakyat'}",2,2,0.7491,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya saya ke bank buat ngurusin pembuatan rekening baru nama miliknya juga orang pertama masa ya baru ke bank saya kena semprot kelihatan banget pelayanan pelanggan miliknya tidak suka saya banyak bertanya padahal itu kan Kewajipan mereka buat melayangkan saya,0.9496727585792542,2,[1.200e-03 7.000e-04 9.982e-01],2,[0.0012 0.0012 0.9976],"{'pelayanan': 'pelayanan', 'orang': 'orang', 'suka': 'suka', 'gua': 'saya', 'melayangkan': 'melayangkan', 'nama': 'nama', 'nya': 'miliknya', 'ngurusin': 'ngurusin', 'pelanggan': 'pelanggan', 'tugas': 'Kewajipan', 'kena': 'kena', 'bank': 'bank', 'kali': 'masa', 'rekening': 'rekening', 'banget': 'banget'}",2,2,0.9131,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan saya pernah disuruh ibu latihan karate kata miliknya biar saya bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki saya langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9729993343353271,2,[0.0035 0.0013 0.9952],2,[0.0039 0.0012 0.9949],"{'karate': 'karate', 'latihan': 'latihan', 'biar': 'biar', 'penjahat': 'penjahat', 'trauma': 'trauma', 'nya': 'miliknya', 'gue': 'saya', 'iseng': 'iseng', 'disuruh': 'disuruh', 'langsung': 'langsung'}",2,2,0.9229,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang saya membayangkan fasilitas miliknya juga biasa banget padahal kata miliknya hotel bintang lima hm kecewa kayak miliknya neraka tidak mau ke sana lagi,0.9544234275817872,2,[5.300e-03 4.000e-04 9.943e-01],2,[4.500e-03 2.000e-04 9.953e-01],"{'hm': 'hm', 'kecewa': 'kecewa', 'bogor': 'bogor', 'sebagus': 'sebagus', 'sih': 'neraka', 'fasilitas': 'fasilitas', 'gue': 'saya', 'bintang': 'bintang', 'kayak': 'kayak', 'salak': 'salak', 'nya': 'miliknya', 'membayangkan': 'membayangkan', 'pelayanan': 'pelayanan', 'banget': 'banget'}",2,2,0.7801,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak moral banget sumpah,0.9961702227592468,2,[5.000e-04 3.000e-04 9.992e-01],2,[7.00e-04 3.00e-04 9.99e-01],"{'sumpah': 'sumpah', 'young': 'young', 'banget': 'banget', 'moral': 'moral', 'lex': 'lex', 'berfaedah': 'berfaedah', 'merusak': 'merusak', 'gitu': 'gitu'}",2,2,0.6997,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,saya pesimis sama lelaki terutama dalam ngurusin sampah sudah berapa banyak laut jadi mangsa kita buang sampah ke laut tidak tega saya liat miliknya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak neraka benda penting kayak gini dia,0.9712197780609132,2,[2.400e-03 3.000e-04 9.973e-01],2,[2.60e-03 4.00e-04 9.97e-01],"{'he': 'dia', 'pesimis': 'pesimis', 'ngurusin': 'ngurusin', 'gue': 'saya', 'gini': 'gini', 'manusia': 'lelaki', 'mikirin': 'mikirin', 'laut': 'laut', 'sampah': 'sampah', 'urusan': 'benda', 'korban': 'mangsa', 'nya': 'miliknya', 'liat': 'liat', 'kayak': 'kayak', 'tega': 'tega', 'sih': 'neraka'}",2,2,0.8679,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan miliknya pun dianggap remeh karena ditinggalkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan miliknya sendiri bukan dari pihak saya,0.986137330532074,2,[1.300e-03 4.000e-04 9.983e-01],2,[1.000e-03 5.000e-04 9.985e-01],"{'kecewa': 'kecewa', 'solusi': 'solusi', 'pelanggan': 'pelanggan', 'detik': 'detik', 'dihubungi': 'dihubungi', 'mengulur': 'mengulur', 'konfirmasi': 'konfirmasi', 'kesalahan': 'kesalahan', 'pelayanan': 'pelayanan', 'permasalahan': 'permasalahan', 'sepele': 'remeh', 'nya': 'miliknya', 'dibiarkan': 'ditinggalkan', 'pengeditan': 'pengeditan', 'sistem': 'sistem'}",2,2,0.9701,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon miliknya sangat lambat dan tidak jelas,0.9918009042739868,2,[0.0026 0.008  0.9894],2,[0.0037 0.0178 0.9785],"{'terima': 'terima', 'nya': 'miliknya', 'pemesanan': 'pemesanan', 'kunjung': 'kunjung', 'bukti': 'bukti', 'respon': 'respon', 'tiket': 'tiket', 'pelayanan': 'pelayanan', 'mengirimkan': 'mengirimkan', 'pelanggan': 'pelanggan', 'transfer': 'transfer'}",2,2,0.7761,,,,,,,,,
