text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin io datang ke tempat makan baru yang ada di dago atas io kira cibo nya enak karena prezzo nya mahal ternyata tidak mau lagi ok ke tempat itu sudah mana tempat nya juga tidak comodo molto terlalu sempit,0.9398465156555176,2,[4.900e-03 3.000e-04 9.948e-01],2,[0.1444 0.0034 0.8522],"{'nyaman': 'comodo', 'banget': 'molto', 'gue': 'io', 'mahal': 'mahal', 'enak': 'enak', 'makanan': 'cibo', 'nya': 'nya', 'harga': 'prezzo', 'deh': 'ok', 'sempit': 'sempit'}",2,2,1.1855,0.946,0.9,0.9442984411120414,0.6526725999999999,0.934,0.04599999999999993,-0.03400000000000003,0.898,5.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih io tidak akan mau balik lagi ke tempat itu gila ya io enggak ngerti kenapa tempat nya dibiarkan piccante sudah begitu kotor pula kalau piccante kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu ok apa yang mereka jual,0.982040524482727,2,[5.200e-03 3.000e-04 9.944e-01],2,[0.0103 0.001  0.9887],"{'jual': 'jual', 'nya': 'nya', 'kehujanan': 'kehujanan', 'deh': 'ok', 'restoran': 'restoran', 'gue': 'io', 'kayak': 'kayak', 'kotor': 'kotor', 'gitu': 'gitu', 'kepanasan': 'kepanasan', 'sih': 'sih', 'dibiarkan': 'dibiarkan', 'panas': 'piccante', 'gila': 'gila', 'hujan': 'hujan'}",2,0,0.5812,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatina promettere kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah mio sudah terlanjur kecewa,0.9578368663787842,2,[2.400e-03 2.000e-04 9.975e-01],2,[4.300e-03 3.000e-04 9.954e-01],"{'kecewa': 'kecewa', 'terlanjur': 'terlanjur', 'jokowi': 'jokowi', 'ku': 'mio', 'janji': 'promettere', 'pro': 'pro', 'nepatin': 'nepatina', 'rakyat': 'rakyat', 'nya': 'nya', 'pencitraan': 'pencitraan'}",2,2,0.5169,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya io ke banca buat ngurusin pembuatan rekening baru nama nya juga orang pertama voltaico ya baru ke banca io kena semprot kelihatan molto pelayanan cliente nya tidak suka io banyak bertanya padahal itu kan Dovere mereka buat melayangkan io,0.8506389856338501,2,[0.0054 0.001  0.9937],2,[0.0047 0.0021 0.9932],"{'orang': 'orang', 'nama': 'nama', 'pelayanan': 'pelayanan', 'gua': 'io', 'suka': 'suka', 'kena': 'kena', 'rekening': 'rekening', 'kali': 'voltaico', 'nya': 'nya', 'semprot': 'semprot', 'bank': 'banca', 'tugas': 'Dovere', 'pelanggan': 'cliente', 'banget': 'molto', 'kalinya': 'kalinya'}",2,2,0.5868,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan io pernah disuruh ibu latihan karate kata nya biar io bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki io langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9558086395263672,2,[0.0049 0.0011 0.9939],2,[0.0142 0.0036 0.9822],"{'karate': 'karate', 'biar': 'biar', 'latihan': 'latihan', 'gue': 'io', 'penjahat': 'penjahat', 'iseng': 'iseng', 'nya': 'nya', 'disuruh': 'disuruh', 'kaki': 'kaki', 'cedera': 'cedera'}",2,2,0.5762,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di Hotel salak bogor tidak sebagus yang io figura fasilitas nya juga biasa molto padahal kata nya Hotel Stella lima hm kecewa kayak nya sih tidak mau ke sana lagi,0.9540987610816956,2,[4.900e-03 3.000e-04 9.948e-01],2,[1.230e-02 4.000e-04 9.873e-01],"{'hm': 'hm', 'kecewa': 'kecewa', 'sih': 'sih', 'kayak': 'kayak', 'gue': 'io', 'bintang': 'Stella', 'bogor': 'bogor', 'nya': 'nya', 'sebagus': 'sebagus', 'hotel': 'Hotel', 'membayangkan': 'figura', 'banget': 'molto'}",2,2,0.4955,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak morale molto sumpah,0.9685215950012208,2,[6.00e-04 3.00e-04 9.99e-01],2,[8.000e-04 3.000e-04 9.989e-01],"{'sumpah': 'sumpah', 'merusak': 'merusak', 'banget': 'molto', 'berfaedah': 'berfaedah', 'moral': 'morale', 'lex': 'lex', 'young': 'young', 'gitu': 'gitu'}",2,2,0.4134,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,io pesimis sama manusia terutama dalam ngurusin sciocchezze sudah berapa banyak laut jadi vitalità kita buang sciocchezze ke laut tidak tega io liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affari penting kayak gini he,0.9625017642974854,2,[5.800e-03 3.000e-04 9.939e-01],2,[6.900e-03 5.000e-04 9.926e-01],"{'he': 'he', 'pesimis': 'pesimis', 'urusan': 'affari', 'gue': 'io', 'ngurusin': 'ngurusin', 'manusia': 'manusia', 'gini': 'gini', 'mikirin': 'mikirin', 'sampah': 'sciocchezze', 'mengerti': 'mengerti', 'korban': 'vitalità', 'laut': 'laut', 'kayak': 'kayak', 'nya': 'nya', 'tega': 'tega'}",2,2,0.5631,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistema tanpa konfirmasi dan soluzione permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan cliente yang sudah contattato pun hanya seperti mengulur waktu sampai detik ini belum ada soluzione untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9757474660873412,2,[2.000e-03 7.000e-04 9.973e-01],2,[0.0025 0.0011 0.9964],"{'kecewa': 'kecewa', 'pengeditan': 'pengeditan', 'solusi': 'soluzione', 'detik': 'detik', 'mengulur': 'mengulur', 'pelanggan': 'cliente', 'sepele': 'sepele', 'kesalahan': 'kesalahan', 'dihubungi': 'contattato', 'by': 'by', 'penumpang': 'penumpang', 'nya': 'nya', 'permasalahan': 'permasalahan', 'sistem': 'sistema', 'dibiarkan': 'dibiarkan'}",2,2,0.7378,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan biglieto saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan cliente sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,0.9815421104431152,2,[0.003  0.0042 0.9929],2,[0.0066 0.0168 0.9766],"{'terima': 'terima', 'pemesanan': 'pemesanan', 'kunjung': 'kunjung', 'nya': 'nya', 'tiket': 'biglieto', 'pelayanan': 'pelayanan', 'mengirimkan': 'mengirimkan', 'pelanggan': 'cliente', 'transfer': 'transfer', 'email': 'email', 'bukti': 'bukti'}",2,2,0.5327,,,,,,,,,
