label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELFO,0.9032577276229858,4,[1.30e-03 6.00e-04 6.90e-03 2.00e-04 9.91e-01],4,[5.200e-03 8.000e-04 4.220e-02 8.000e-04 9.509e-01],{'ELF': 'ELFO'},1.1072,0.9724510082362965,0.7671116160181767,0.911298040418048,0.755016444191991
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki bangku jabatan rakyat belum pernah mendengar dan melihat risultati kerja dan prestasi nyata yang anda berikan semasa menduduki bangku tanya Perche Abdi rakyat bisogno seoran,0.8084620237350464,1,[8.300e-03 9.889e-01 7.000e-04 7.000e-04 1.300e-03],0,[0.8261 0.1298 0.0015 0.0037 0.039 ],"{'Kenapa': 'Perche', 'butuh': 'bisogno', 'hasil': 'risultati'}",0.3337,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah kalo emang belum coraggioso potong rambut pendek ya appena kalo emang udah yakin dan bisa nyaman Selamat jangan lupa berdoa Sonno quale nyenyak mimpi quale indah Good night cit,0.899901270866394,3,[0.2438 0.0056 0.0279 0.5297 0.193 ],4,[0.3008 0.0093 0.0288 0.3058 0.3552],"{'yg': 'quale', 'berani': 'coraggioso', 'yaudah': 'yaudah', 'Tidur': 'Sonno', 'aja': 'appena'}",1.0534,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.8    0.038  0.0036 0.1123 0.0461],0,[0.8    0.038  0.0036 0.1123 0.0461],,0.15,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being Stronzo itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi rasanya semua dichiarazione ku di sosmed pasti yang menyangkal orang2 kek parahnya lagi kalo mereka pacaran bastardo,0.9731006026268005,1,[1.424e-01 8.380e-01 6.000e-04 1.640e-02 2.500e-03],1,[0.4236 0.5595 0.0017 0.0097 0.0054],"{'asshole': 'Stronzo', 'bangsat': 'bastardo', 'statement': 'dichiarazione'}",0.5974,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Qualunque Karena gak semua beban bisa di tanggung oleh seorang Dialog Dini,0.964788019657135,0,[9.866e-01 5.000e-04 1.400e-03 5.100e-03 6.400e-03],0,[9.906e-01 5.000e-04 1.200e-03 2.200e-03 5.500e-03],"{'Apapun': 'Qualunque', 'Terkadang': 'Terkadang'}",0.413,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Karena voi cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah morto pada Bahkan ventilazione yang segar pun voi caci dan voi,0.915706217288971,3,[3.400e-03 6.000e-04 1.000e-03 9.945e-01 5.000e-04],3,[0.0107 0.0134 0.0026 0.9704 0.0029],"{'kau': 'voi', 'mati': 'morto', 'semilir': 'ventilazione'}",0.8101,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk telecamera Kuliah dan mengerjakan Tugas Kuliah sprt Mhs No persoalan Ada larangan atau Tapi apa Gunanya io ikut kalo io n,0.9387351274490356,1,[0.1272 0.808  0.0018 0.0576 0.0054],3,[0.0946 0.248  0.0052 0.6409 0.0112],"{'Bukan': 'No', 'Ada': 'Ada', 'ruang': 'telecamera', 'n': 'n', 'Saya': 'io'}",0.4029,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga persona kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9567677974700928,2,[1.100e-03 4.000e-04 9.965e-01 1.400e-03 6.000e-04],2,[2.80e-03 7.00e-04 9.94e-01 1.10e-03 1.40e-03],{'kalah': 'persona'},0.5763,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang Se pake lg dengerin musik yg kluar slalu musiknya Bikin pengen joget sett Quella namanya autoreazione sih xD,0.9281718730926514,4,[0.0141 0.0015 0.002  0.0012 0.9812],0,[0.8324 0.1145 0.0015 0.011  0.0407],"{'wkwk': 'sett', 'kalo': 'Se', 'Itu': 'Quella', 'autoreaction': 'autoreazione'}",0.8345,,,,
