label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF,0.9768531918525696,4,[0.062  0.0087 0.0132 0.0115 0.9046],0,[0.4882 0.0453 0.0258 0.0419 0.3989],{'biasku': 'biasku'},1.104,0.8653791536495313,0.6620278330019881,0.9214194767839425,0.8293580800908833
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki bangku jabatan rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi sebenar yang anda berikan semasa menduduki bangku tanya kenapa Abdi rakyat butuh seoran,0.7893197536468506,1,[0.0162 0.9201 0.0107 0.0407 0.0123],1,[0.3794 0.4381 0.015  0.0644 0.103 ],"{'Kenapa': 'kenapa', 'prestasi': 'prestasi', 'bangku': 'bangku', 'nyata': 'sebenar'}",0.689,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ","yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",1.0,4,[0.194  0.0095 0.1566 0.0159 0.624 ],4,[0.194  0.0095 0.1566 0.0159 0.624 ],,0.13,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.5712 0.0347 0.0117 0.1903 0.1922],0,[0.5712 0.0347 0.0117 0.1903 0.1922],,0.07,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu jika perempuan jadi ukhti2 hijrah jika cowo jadi abdi rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek terliur lagi jika mereka pacaran bangsat,0.9724743366241455,1,[0.0187 0.9403 0.009  0.0195 0.0125],1,[0.0723 0.8747 0.0047 0.0229 0.0254],"{'bangsat': 'bangsat', 'cowo': 'cowo', 'cewe': 'perempuan', 'parahnya': 'terliur', 'sosmed': 'sosmed', 'kalo': 'jika'}",0.9952,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena tidak semua beban bisa di tanggung oleh seorang Dialog Dini,0.9572651982307434,0,[0.6203 0.0164 0.0265 0.0522 0.2846],0,[0.8078 0.0576 0.0215 0.0555 0.0576],"{'Dialog': 'Dialog', 'Terkadang': 'Terkadang', 'gak': 'tidak', 'kau': 'kau', 'beban': 'beban'}",0.7115,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",IMAGERI ISLAM kerana kau cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah mati pada Sebaliknya berangin yang segar pun kau caci dan kau,0.9752923250198364,3,[0.014  0.0231 0.0211 0.9268 0.015 ],3,[0.0135 0.0161 0.0207 0.9369 0.0128],"{'Karena': 'kerana', 'Bahkan': 'Sebaliknya', 'ISLAM': 'ISLAM', 'semilir': 'berangin', 'segar': 'segar', 'TAMSIL': 'IMAGERI'}",0.6819,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs Bukan persoalan bentuk larangan atau Tapi apa gunakannya saya ikut jika saya n,0.9652055501937866,1,[0.032  0.9143 0.006  0.0386 0.0091],1,[0.2371 0.6654 0.008  0.0592 0.0303],"{'Mahasiswa': 'Mahasiswa', 'Saya': 'saya', 'Sy': 'Sy', 'Gunanya': 'gunakannya', 'sy': 'sy', 'kalo': 'jika', 'n': 'n', 'larangan': 'larangan', 'Ada': 'bentuk'}",0.7581,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Jika kamuu itu Cintanya juga ga kalah kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9680407047271729,2,[0.0114 0.011  0.9534 0.0124 0.0117],2,[0.0201 0.0097 0.951  0.0105 0.0087],"{'cinta': 'cinta', 'kamuu': 'kamuu', 'Kalo': 'Jika'}",0.9158,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo pake lg dengerin muzik yg kluar slalu musiknya untuk pengen joget wkwk Itu namanya autoreaksi sih xD,0.9485824704170227,4,[0.0286 0.02   0.0092 0.0089 0.9333],4,[0.0466 0.0482 0.0087 0.011  0.8854],"{'xD': 'xD', 'wkwk': 'wkwk', 'Itu': 'Itu', 'musik': 'muzik', 'namanya': 'namanya', 'lg': 'lg', 'Bikin': 'untuk', 'autoreaction': 'autoreaksi'}",1.2267,,,,
0,[USERNAME] Gua kelas 1sd bawa hp karna buat hubungin mama. Tau tau dicolong temen. Gua diem aja bego emg. Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta maaf. Eh beberapa hari kemudian anaknya pindah sklh. Ya,Gua kelas 1sd bawak hp karna buat perkenalan Tau tau dicolong Gua diem aja bodoh Bibi kantin beritahu nyokap gua dan lgsg datang lah Mama trs bapanya minta Eh beberapa hari kemudian anaknya pindah Ya,0.9504899978637695,0,[0.5824 0.071  0.02   0.1077 0.2189],0,[0.6339 0.0286 0.0478 0.198  0.0917],"{'hubungin': 'perkenalan', 'bawa': 'bawak', 'bego': 'bodoh', 'trs': 'trs', 'anaknya': 'anaknya', 'Eh': 'Eh', 'mama': 'Mama', 'Tau': 'Tau', 'ngabarin': 'beritahu'}",0.904,,,,
2,"[USERNAME] ""Cinta tak butuh pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."" Ini wejangan dari mbah [USERNAME]",tak perlukan Pada saat kau merasa pada saat itu cintamu mulai Ini wejangan dari mbah,0.870408296585083,2,[0.0353 0.0177 0.9004 0.0336 0.013 ],2,[0.1586 0.0062 0.7739 0.0492 0.0121],"{'butuh': 'perlukan', 'kau': 'kau'}",1.0227,,,,
