label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,USERNAME jaringannya mati ya tidak bisa dibuka mobile jkn Saya mau ke Pusat kesihatan trus piye mau tunjuk kartu elektoniknya kecewa,0.9657644033432008,1,[0.3386 0.6495 0.003  0.0054 0.0036],1,[0.2781 0.6886 0.0016 0.029  0.0027],"{'tunjukkan': 'tunjuk', 'puskesmes': 'Pusat kesihatan', 'Tidak': 'tidak'}",1,1,5.75,0.7522727272727273,0.6863636363636364,0.9769881955601952,6.188090909090908,0.6931818181818182,0.06590909090909092,0.05909090909090908,0.6931818181818182
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",It like a bulatan daripada kebodohan Atlit tidak dijaga duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi Belum selesai bebenah eh salah satu stadion dirusak supporter karna timnya atlit main jelek What a moron,0.9616682529449464,1,[3.100e-02 9.664e-01 1.000e-03 1.200e-03 4.000e-04],1,[8.130e-02 9.139e-01 1.000e-03 3.000e-03 8.000e-04],"{'gak': 'tidak', 'diurusin': 'dijaga', 'stupidity': 'kebodohan', 'circle': 'bulatan', 'of': 'daripada', 'a': 'a', 'beres': 'selesai'}",1,1,11.07,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Koq Ngabalin di sebut tokoh gak salah tuh hidungnya tambah gede ntar toko sorban masa ya,0.9891824126243592,1,[1.420e-02 9.574e-01 9.000e-04 2.380e-02 3.700e-03],1,[0.0137 0.9501 0.0011 0.0218 0.0133],"{'kali': 'masa', 'USERNAME': 'USERNAME'}",1,1,10.02,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],USERNAME Selamat Siang Sahabat Pos Catatan tsb sudah diterima ya kawan terima kasih telah mempercayakan dan menggunakan layanan kami URL,0.9760859608650208,4,[1.200e-03 8.000e-04 8.000e-04 8.000e-04 9.964e-01],4,[0.0054 0.0047 0.0042 0.0023 0.9834],"{'sahabat': 'kawan', 'Kiriman': 'Catatan', 'Terima': 'terima'}",4,4,5.99,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari ini yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat istimewa terima kasih mamih makasih uwa makasih kakek makasih URL,0.9760888814926147,4,[0.0131 0.0014 0.0635 0.0018 0.9202],4,[0.0168 0.0017 0.0561 0.0031 0.9223],"{'Makasih': 'terima kasih', 'special': 'istimewa', 'gua': 'gua'}",4,4,6.23,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang teriak teriak ganti Presiden gimana pulang kampung naik kereta api bagus kan stasiun kereta kereta apinya juga bagus ber penghawa dingin semua cubalah 4 tahun yg lalu banyak copetnyaaahh byk calonyaaahh,0.9264942407608032,1,[0.0051 0.944  0.0021 0.0338 0.0151],1,[0.0051 0.9421 0.0019 0.0223 0.0286],"{'presiden': 'Presiden', '4': '4', 'AC': 'penghawa dingin', 'coba': 'cubalah'}",1,1,6.92,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yg tuntas jd nga mekap dalam hidup Isa saja disebut2 dialquran trus lu mau jelek2in Isa Bisa baca alquran ga URL,0.994560480117798,1,[3.100e-03 9.924e-01 6.000e-04 3.200e-03 7.000e-04],1,[0.0152 0.9716 0.0018 0.0083 0.0031],"{'lu': 'lu', 'disebut2': 'disebut2', 'jelek2in': 'jelek2in', 'ngarang': 'mekap'}",1,1,5.71,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk USERNAME panjang umur jadi pribadi yang jauh lebih baik semoga apa yang di terwujud dan langgeng sama USERNAME,0.9961297512054444,4,[9.000e-04 1.000e-03 1.060e-02 2.700e-03 9.849e-01],4,[0.0013 0.001  0.0067 0.0017 0.9893],{'Hepibesdey': 'Hepibesdey'},4,4,5.57,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[5.53e-02 9.38e-01 9.00e-04 4.10e-03 1.60e-03],1,[5.53e-02 9.38e-01 9.00e-04 4.10e-03 1.60e-03],,1,1,0.04,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,3,[0.0144 0.0946 0.0245 0.8451 0.0214],3,[0.0144 0.0946 0.0245 0.8451 0.0214],,3,3,0.04,,,,,,,,
