text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat makan baru yang ada di dago atas gue kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9986563920974731,2,[0.066  0.0031 0.9309],2,[0.1623 0.0042 0.8335],"{'mahal': 'mahal', 'banget': 'banget', 'nya': 'nya', 'deh': 'deh', 'harga': 'harga'}",2,2,0.4862,0.916,0.884,0.9856234394311904,0.2465406,0.922,0.03200000000000003,-0.038000000000000034,0.926,4.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih gue tidak akan mau balik lagi ke tempat itu edan ya gue enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu reged pula kalau panas kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9841337203979492,2,[0.0378 0.0036 0.9586],2,[0.0812 0.0062 0.9125],"{'kepanasan': 'kepanasan', 'gila': 'edan', 'kotor': 'reged', 'dibiarkan': 'dibiarkan', 'kehujanan': 'kehujanan', 'deh': 'deh', 'gitu': 'gitu', 'ngerti': 'ngerti', 'panas': 'panas'}",2,2,0.1294,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah ku sudah terlanjur kecewa,0.9936076402664183,2,[0.0168 0.0039 0.9793],2,[0.0259 0.007  0.9671],"{'janji': 'janji', 'ketiga': 'ketiga', 'pro': 'pro', 'rakyat': 'rakyat', 'nya': 'nya'}",2,2,0.0916,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama wektu gua ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank gua kena semprot kelihatan banget pelayanan pelanggan nya tidak suka gua banyak bertanya padahal itu kan tugas mereka buat matak gua,0.9955281019210817,2,[0.0187 0.0048 0.9765],2,[0.0277 0.0072 0.9651],"{'semprot': 'semprot', 'suka': 'suka', 'banget': 'banget', 'ngurusin': 'ngurusin', 'nya': 'nya', 'kena': 'kena', 'pelayanan': 'pelayanan', 'melayangkan': 'matak', 'kalinya': 'wektu'}",2,2,0.1134,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan aku pernah disuruh ibu latihan karate kata nya biar aku bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki aku langsung tato jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.954226851463318,2,[0.0391 0.0272 0.9337],2,[0.0393 0.088  0.8727],"{'langsung': 'langsung', 'karate': 'karate', 'cedera': 'tato', 'gue': 'aku', 'latihan': 'latihan', 'iseng': 'iseng'}",2,2,0.1077,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hm kuciwa kayak nya sih tidak mau ke sana lagi,0.9946314096450806,2,[0.0704 0.0038 0.9259],2,[0.1113 0.0064 0.8823],"{'kecewa': 'kuciwa', 'sebagus': 'sebagus', 'hm': 'hm', 'hotel': 'hotel', 'banget': 'banget', 'fasilitas': 'fasilitas', 'nya': 'nya'}",2,2,0.0892,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus ngirim tidak berfaedah kayak gitu merusak moral banget sumpah,0.989354372024536,2,[0.0066 0.0027 0.9907],2,[0.0086 0.0034 0.988 ],"{'berfaedah': 'berfaedah', 'merusak': 'merusak', 'mengirim': 'ngirim', 'banget': 'banget'}",2,2,0.0666,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,aku pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak enggal jadi korban kita buang sampah ke enggal tidak tega aku liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih bisnis penting kayak gini he,0.9613630771636964,2,[0.0115 0.0033 0.9852],2,[0.0179 0.0043 0.9777],"{'gue': 'aku', 'korban': 'korban', 'liat': 'liat', 'pesimis': 'pesimis', 'mikirin': 'mikirin', 'he': 'he', 'laut': 'enggal', 'urusan': 'bisnis'}",2,2,0.1116,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kuciwa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9949915409088136,2,[0.0089 0.0028 0.9884],2,[0.0087 0.0034 0.9879],"{'kecewa': 'kuciwa', 'biodata': 'biodata', 'solusi': 'solusi', 'dihubungi': 'dihubungi', 'dibiarkan': 'dibiarkan', 'by': 'by', 'pelayanan': 'pelayanan', 'detik': 'detik'}",2,2,0.1353,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,1.0,2,[0.0028 0.0063 0.9909],2,[0.003  0.0171 0.9798],"{'menelpon': 'menelpon', 'respon': 'respon', 'kunjung': 'kunjung', 'lambat': 'lambat', 'nya': 'nya'}",2,2,0.0935,,,,,,,,,
