label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,1.0,3,[0.1011 0.4193 0.0029 0.4715 0.0052],3,[0.1011 0.4193 0.0029 0.4715 0.0052],,1,1,0.02,0.725,0.6022727272727273,0.8987591854550622,6.086295454545455,0.6977272727272728,0.12272727272727268,0.027272727272727226,0.7386363636363636
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",It like a circle of stupidity athlete no diurusin the money buat clean up ini itu let athlete yang come dari luar country bisa nyaman disini tp athlete sendiri kurang nutrition Belum beres clean up eh salah satu Stadium dirusak supporter karna timnya athlete play jelek What a moron,0.7535281181335449,1,[0.0591 0.9277 0.0016 0.0072 0.0043],1,[0.0551 0.9309 0.0014 0.0075 0.005 ],"{'bebenah': 'clean up', 'duitnya': 'the money', 'negri': 'country', 'gak': 'no', 'gizi': 'nutrition', 'dateng': 'come', 'main': 'play', 'moron': 'moron', 'Atlit': 'athlete', 'stadion': 'Stadium', 'biar': 'let', 'stupidity': 'stupidity', 'atlit': 'athlete'}",1,1,11.87,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Koq Answer di sebut figure gak salah tuh his nose tambah gede ntar toko sorban kali ya,0.9568371772766112,1,[0.0593 0.512  0.0042 0.0588 0.3657],1,[0.05   0.8224 0.0051 0.1024 0.02  ],"{'Ngabalin': 'Answer', 'hidungnya': 'his nose', 'Koq': 'Koq', 'USERNAME': 'USERNAME', 'tokoh': 'figure'}",1,4,13.58,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],USERNAME Selamat Siang Sahabat Post Kiriman tb sudah accepted yes Friend accept kasih telah mempercayakan dan menggunakan layanan kami URL,0.8243995904922485,4,[0.0069 0.0028 0.0132 0.003  0.9741],4,[0.0089 0.0049 0.0111 0.0034 0.9718],"{'Terima': 'accept', 'Pos': 'Post', 'ya': 'yes', 'tsb': 'tb', 'sahabat': 'Friend', 'diterima': 'accepted'}",4,4,5.96,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]","Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",1.0,2,[0.0325 0.0031 0.4896 0.0065 0.4684],2,[0.0325 0.0031 0.4896 0.0065 0.4684],,2,2,0.1,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang shouted shouted change presiden how pulang kampung naik kereta api bagus kan stasiun kereta kereta apinya juga bagus ber AC semua try 4 tahun which lalu banyak pickpocket byk candidate,0.8078538179397583,1,[0.0698 0.9011 0.0013 0.0121 0.0156],1,[0.093  0.8764 0.002  0.0168 0.0117],"{'copetnyaaahh': 'pickpocket', 'gimana': 'how', 'teriak': 'shouted', '4': '4', 'ganti': 'change', 'yg': 'which', 'coba': 'try', 'calonyaaahh': 'candidate'}",1,4,7.92,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yg finished jd nga ngarang dalam hidup Isa saja disebut2 dialquran then lu mau jelek2in Isa Can baca alquran ga URL,0.9470202922821044,1,[0.0388 0.9417 0.0012 0.0143 0.0039],1,[0.0353 0.9465 0.0011 0.0126 0.0044],"{'jelek2in': 'jelek2in', 'lu': 'lu', 'disebut2': 'disebut2', 'trus': 'then', 'Isa': 'Isa', 'Bisa': 'Can', 'ga': 'ga', 'tuntas': 'finished'}",1,1,5.94,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk USERNAME panjang age jadi pribadi yang jauh lebih baik semoga apa yang di terwujud dan langgeng sama USERNAME,0.9772671461105348,4,[0.0072 0.0032 0.0072 0.0037 0.9787],4,[0.0354 0.0097 0.0056 0.0048 0.9447],"{'USERNAME': 'USERNAME', 'umur': 'age'}",4,4,5.55,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[0.1414 0.8296 0.0021 0.018  0.009 ],1,[0.1414 0.8296 0.0021 0.018  0.009 ],,1,1,0.02,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,3,[0.0324 0.0257 0.0047 0.9327 0.0046],3,[0.0324 0.0257 0.0047 0.9327 0.0046],,3,3,0.02,,,,,,,,
