label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,rangkaian mati Tidak bisa dibuka mobile saya mau ke puskesmes trus piye mau tunjuk kartu,0.90313720703125,1,[1.023e-01 8.904e-01 6.000e-04 2.800e-03 4.000e-03],1,[0.2528 0.7305 0.0009 0.0097 0.0062],"{'Saya': 'saya', 'tunjukkan': 'tunjuk', 'Tidak': 'Tidak', 'piye': 'piye', 'dibuka': 'dibuka', 'jaringannya': 'rangkaian'}",1,1,4.1625,0.7772727272727272,0.6454545454545455,0.9054429547353224,3.595115227272727,0.6613636363636364,0.13181818181818172,0.11590909090909085,0.7340909090909091
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",suka a circle of atlit tidak wang yang buat bersihkan ini itu biar atlit yang datang dari luar negara bisa selesa disini tp atlit sendiri kurang Belum lagi selesai bersihkan eh salah satu stadion diusik karna timnya main apa a,0.8667573928833008,1,[2.580e-02 9.712e-01 4.000e-04 4.000e-04 2.200e-03],1,[1.047e-01 8.855e-01 4.000e-04 1.300e-03 8.000e-03],"{'Atlit': 'atlit', 'gak': 'tidak', 'nyaman': 'selesa', 'beres': 'selesai', 'Belum': 'Belum lagi', 'dirusak': 'diusik', 'bebenah': 'bersihkan', 'atlit': 'atlit', 'dateng': 'datang', 'like': 'suka', 'What': 'apa', 'duitnya': 'wang yang', 'negri': 'negara', 'a': 'a'}",1,1,7.1511,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",Koq Jawab di sebut gak salah hidungnya tambah gede kedai serban kali,0.3496705293655395,1,[6.200e-03 9.618e-01 6.000e-04 7.800e-03 2.360e-02],1,[1.800e-03 9.937e-01 2.000e-04 1.400e-03 3.000e-03],"{'Ngabalin': 'Jawab', 'hidungnya': 'hidungnya', 'toko': 'kedai', 'sorban': 'serban', 'salah': 'salah'}",1,1,4.7409,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],Selamat Petang Sahabat Kiriman tb sudah diterima ya Terima kasih telah mengamanahkan dan menggunakan perkhidmatan kami,0.7883532643318176,4,[0.0031 0.0038 0.0087 0.0013 0.9831],4,[4.200e-03 2.200e-03 2.100e-03 7.000e-04 9.907e-01],"{'tsb': 'tb', 'mempercayakan': 'mengamanahkan', 'diterima': 'diterima', 'Siang': 'Petang', 'layanan': 'perkhidmatan', 'ya': 'ya'}",4,4,3.1731,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari yap tepat di tanggal 23 Julai di mana mungkin di hari ini gua merasa sangat sangat terima kasih terima kasih terima kasih terima kasih,0.8078314065933228,4,[4.500e-03 4.000e-04 1.130e-02 4.000e-04 9.835e-01],4,[0.0395 0.0133 0.0202 0.0016 0.9254],"{'gua': 'gua', 'sangatsangat': 'sangat sangat', 'Makasih': 'terima kasih', 'dimana': 'di mana', 'juli': 'Julai', 'makasih': 'terima kasih'}",4,4,3.0268,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Untuk yang jerit jerit ubah balik rumah kampung naik kereta kan stasiun api juga bagus ber AC 4 tahun yang penyeluk saku byk calon,0.8986515998840332,1,[3.900e-03 9.927e-01 3.000e-04 6.000e-04 2.400e-03],1,[3.035e-01 6.723e-01 4.000e-04 1.440e-02 9.400e-03],"{'copetnyaaahh': 'penyeluk saku', 'calonyaaahh': 'calon', 'apinya': 'api', 'teriak': 'jerit', 'byk': 'byk', 'ganti': 'ubah', 'yg': 'yang', 'pulang': 'balik rumah', 'Buat': 'Untuk'}",1,1,7.2664,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yang tuntas jd takpe ngarang dalam Ialah saja disebut2 dialquran kemudian lu mau jelek2in Bisa baca alquran,0.870185375213623,1,[1.100e-03 9.958e-01 2.000e-04 1.700e-03 1.200e-03],1,[1.70e-03 9.95e-01 2.00e-04 1.40e-03 1.70e-03],"{'belajar': 'belajar', 'jd': 'jd', 'lu': 'lu', 'agama': 'agama', 'nga': 'takpe', 'trus': 'kemudian', 'Isa': 'Ialah', 'yg': 'yang'}",1,1,3.8905,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk panjang jadi pribadi yang jauh lebih semoga apa yang di terwujud dan selamanya sama,0.9115687608718872,4,[2.000e-03 1.300e-03 1.100e-03 9.000e-04 9.948e-01],4,[2.800e-03 1.000e-03 1.500e-03 7.000e-04 9.941e-01],"{'Hepibesdey': 'Hepibesdey', 'canteeeekk': 'canteeeekk', 'langgeng': 'selamanya'}",4,4,3.5665,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[0.3463 0.6344 0.0007 0.0108 0.0077],1,[0.3463 0.6344 0.0007 0.0108 0.0077],,0,0,0.06,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,3,[0.0014 0.006  0.0013 0.9879 0.0034],3,[0.0014 0.006  0.0013 0.9879 0.0034],,3,3,0.06,,,,,,,,
3,"Berlajar prosedur bedah sekalian makan sahur ah *buka youtube* *nonton proses bedah dentoalveolar* *ga sanggup makan* *nutup laptop* ""Udahlah makan aja dulu"" *makan sambil deg deg an*",belajar prosedur pembedahan sekalian makan bersahur Ah proses pembedahan mampu makan aja sambil deg deg,0.8156107068061829,3,[1.530e-02 7.000e-04 1.600e-03 9.771e-01 5.300e-03],3,[4.600e-03 8.000e-04 1.700e-03 9.709e-01 2.190e-02],"{'prosedur': 'prosedur', 'bedah': 'pembedahan', 'sahur': 'bersahur', 'sanggup': 'mampu', 'makan': 'makan', 'Berlajar': 'belajar', 'ah': 'Ah'}",3,3,4.6788,,,,,,,,
4,"Gue kenal org yang lulus lama, kenal yg lulus cepet, lulus b aja, mereka punya waktu dan permasalahan sendiri. Jadi gue gak perlu buru-buru ketika semua yg ada di dalam diri dan di rumah masih messed up. Wol kusut aja masih bisa diusut. KALEM WE ATUH",saya tahu org yang Bergraduat tahu yang Bergraduat Bergraduat b mereka punya waktu dan permasalahan Jadi gue gak perlu ketika semua yang ada di dalam diri dan di rumah masih messed Wol berselirat aja masih bisa KALEM KAMI ATUH,0.9187345504760742,4,[0.065  0.0056 0.0013 0.0023 0.9258],0,[0.7832 0.1659 0.0015 0.007  0.0424],"{'WE': 'KAMI', 'org': 'org', 'Jadi': 'Jadi', 'ATUH': 'ATUH', 'kenal': 'tahu', 'rumah': 'rumah', 'lulus': 'Bergraduat', 'yg': 'yang', 'b': 'b', 'Gue': 'saya', 'kusut': 'berselirat'}",0,0,5.3796,,,,,,,,
2,"Yaudah pokoknya makasih kamu udh mau pilih aku jadi kapel kamu, makasih udh percaya,sayang, dan sabar sm aku. Aku sayang sama kamu, semoga kita langgeng sampe tgl 25 di bulan2 berikutnya & seterusnya yaa. Maaf aku belom bisa jadi apa yang kamu idamkan, but i'll try it",Yaudah perkara utama ialah terima kasih kamu Sudah mau pilih aku jadi kapel terima kasih Sudah dan sabar sm Aku sayang sama mudah-mudahan kita langgeng sehingga tgl 25 di bulan2 berikutnya seterusnya Maaf aku belom bisa jadi apa yang kamu but cubalah it,0.9536678791046144,2,[1.000e-03 2.000e-04 9.919e-01 1.100e-03 5.800e-03],2,[0.0239 0.0012 0.7014 0.0054 0.2682],"{'makasih': 'terima kasih', 'kapel': 'kapel', 'semoga': 'mudah-mudahan', 'udh': 'Sudah', 'pilih': 'pilih', 'pokoknya': 'perkara utama ialah', 'sampe': 'sehingga', 'sm': 'sm', 'try': 'cubalah'}",2,2,5.6448,,,,,,,,
0,"[USERNAME] reply1988, im not robot, fight for my way, its okay thats cinta, goblin itu yg inget kayaknya gua demen mewek terutama drama yg ditinggal meninggal gitu. emang cengeng:')",im not fight for my its okay itu bunian itu yang ingat mungkin gua suka mewek terutama drama yang ditinggalkan mati sesungguhnya,0.6800922155380249,0,[0.8837 0.0045 0.0126 0.0332 0.066 ],0,[0.9344 0.0051 0.0044 0.0387 0.0174],"{'ditinggal': 'ditinggalkan', 'goblin': 'bunian', 'demen': 'suka', 'kayaknya': 'mungkin', 'emang': 'sesungguhnya', 'thats': 'itu', 'drama': 'drama', 'yg': 'yang', 'meninggal': 'mati', 'inget': 'ingat'}",3,0,4.2174,,,,,,,,
1,"Isu Kristenisasi itu sama saja dgn isu kebangkitan PKI. Tanpa data, minim fakta dan bilapun ada tak lebih dari oembingkaian di kuar konteks! Isu yg dibuat untuk membangkitkan hantu demi keuntungan politis dan ekonomis.",Isu Kristianisasi itu sama saja dgn isu kebangkitan Tanpa minim fakta dan bila-bila masa ada tak lebih dari pembingkaian di kuat Isu yg dibuat untuk menyedarkan hantu demi keuntungan politik dan,0.9409726858139038,1,[0.0128 0.9778 0.0015 0.0044 0.0034],1,[1.180e-02 9.795e-01 6.000e-04 6.100e-03 2.000e-03],"{'bilapun': 'bila-bila masa', 'kebangkitan': 'kebangkitan', 'oembingkaian': 'pembingkaian', 'Kristenisasi': 'Kristianisasi', 'hantu': 'hantu', 'kuar': 'kuat', 'politis': 'politik', 'Isu': 'Isu', 'membangkitkan': 'menyedarkan'}",1,1,8.2287,,,,,,,,
3,"Ngeri banget! Nenek ini mendengar ada suara di dalam lantainya, dan waktu dibuka bener-bener bikin kaget nenek dan petugas yang membukanya.. [URL]",Seram Nenek ini mendengar ada suara di dalam dan waktu dibuka buat terkejut nenek dan pegawai yang,0.9410523176193236,3,[9.000e-04 5.000e-04 1.000e-03 9.962e-01 1.400e-03],3,[1.200e-03 5.000e-04 1.200e-03 9.955e-01 1.600e-03],"{'Ngeri': 'Seram', 'kaget': 'terkejut', 'bikin': 'buat', 'nenek': 'nenek', 'petugas': 'pegawai'}",3,3,1.9432,,,,,,,,
4,[USERNAME] Lah.. hahahaha.. namany villa salse tp dia hotel trs ada warungnya gt menurut aku bagus sih kak nyaman gt trs nanti naik ke atas ada bird park..,nama villa salse tp dia hotel trs ada kedai itu gt menurut aku baik sih kak selesa gt trs nanti naik ke atas ada burung,0.9043086171150208,4,[5.400e-03 1.300e-03 1.200e-03 9.000e-04 9.913e-01],4,[0.0119 0.0017 0.0018 0.0019 0.9827],"{'nyaman': 'selesa', 'salse': 'salse', 'kak': 'kak', 'bird': 'burung', 'bagus': 'baik', 'gt': 'gt', 'warungnya': 'kedai itu', 'namany': 'nama'}",4,4,6.7079,,,,,,,,
3,"Kepastian libur krn ikut tanggalan Bank Indonesia. Jd kalo BI libur, yaa ikut libur. Kalo dipaksain masuk nanti bingung sendiri kerjanya gimana","Kepastian libur krn ikut tanggalan Bank Indonesia. Jd kalo BI libur, yaa ikut libur. Kalo dipaksain masuk nanti bingung sendiri kerjanya gimana",1.0,0,[0.7037 0.0361 0.001  0.2353 0.0239],0,[0.7037 0.0361 0.001  0.2353 0.0239],,0,0,0.09,,,,,,,,
4,"The best of ""dongeng sebelum tidur"" mksh teh. Me purple you. Gbu. Mksh dah bikin kobam n baper malem2. Mksh udh bikin aku cinta lg sm couple ini disaat aku dah mau move on. Mksh dh bikin keinginan punya pacarku muncul lagi. Makasih. May Allah always bless you. Aamiin. [USERNAME] [URL]","The best of ""dongeng sebelum tidur"" mksh teh. Me purple you. Gbu. Mksh dah bikin kobam n baper malem2. Mksh udh bikin aku cinta lg sm couple ini disaat aku dah mau move on. Mksh dh bikin keinginan punya pacarku muncul lagi. Makasih. May Allah always bless you. Aamiin. [USERNAME] [URL]",1.0,2,[0.0039 0.0019 0.8638 0.0016 0.1288],2,[0.0039 0.0019 0.8638 0.0016 0.1288],,2,2,0.07,,,,,,,,
0,"Duh...kok sedih yah, naikin berat badan susah tp turunnya mudah bgt puasa seminggu turun 6kg lebih, apalagi sekarang udah puasa ke20an. Celana melorot semua. Ya Allah doaku semoga abis lebaran nanti aku dikasih gemuk kyk ayam negri ... Aminnn... #RecehkanTwitter #kapangemuk",sedih menaikkan berat badan sukar tp turun mudah hebat cepat seminggu turun 6kg apalagi sekarang sudah cepat Seluar panjang kendur Ya Allah doa saya mudah-mudahan selesai hari raya nanti aku dikasih gemuk kyk ayam negri,0.8888980150222778,0,[0.9858 0.0013 0.0013 0.0079 0.0037],0,[0.9236 0.0034 0.0029 0.0612 0.009 ],"{'sedih': 'sedih', 'Celana': 'Seluar panjang', 'semoga': 'mudah-mudahan', 'lebaran': 'hari raya', 'susah': 'sukar', 'melorot': 'kendur', 'doaku': 'doa saya', 'puasa': 'cepat', 'naikin': 'menaikkan', 'bgt': 'hebat', 'turunnya': 'turun', 'udah': 'sudah', 'abis': 'selesai', 'tp': 'tp'}",0,0,7.0957,,,,,,,,
0,Siapa sih di dunia yg ngga punya hater? Rasul yg mulia aja punya. Budha aja punya. Nabi Isa aja punya. Nah apalagi eloh ama gueh .... ya kaaan,Siapa sih di dunia yg ngga punya hater? Rasul yg mulia aja punya. Budha aja punya. Nabi Isa aja punya. Nah apalagi eloh ama gueh .... ya kaaan,1.0,1,[2.900e-03 9.933e-01 6.000e-04 1.000e-03 2.200e-03],1,[2.900e-03 9.933e-01 6.000e-04 1.000e-03 2.200e-03],,1,1,0.05,,,,,,,,
1,saya ganteng tidak-suka mati saja kamu,saya ganteng tidak-suka mati saja kamu,1.0,2,[0.2269 0.1023 0.6074 0.0369 0.0265],2,[0.2269 0.1023 0.6074 0.0369 0.0265],,2,2,0.03,,,,,,,,
1,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,1.0,2,[0.0167 0.0053 0.9062 0.0077 0.0642],2,[0.0167 0.0053 0.9062 0.0077 0.0642],,2,2,0.06,,,,,,,,
0,"beli kaos banyak dengan ukuran yg udah downgrade, kucariin kok ngga ada ternyata masuk ke lemari Bapak, mbak ART ku kayaknya ga notice aku udah kurusan.",beli kaos banyak dengan saiz yg sudah saya sedang mencari kok tidak ada ternyata masuk ke lemari mbak SENI saya mungkin ga notis aku sudah,0.8887301683425903,0,[0.8856 0.0049 0.0014 0.0055 0.1026],0,[0.9002 0.0043 0.0014 0.0038 0.0903],"{'kayaknya': 'mungkin', 'ku': 'saya', 'ngga': 'tidak', 'ukuran': 'saiz', 'udah': 'sudah', 'kucariin': 'saya sedang mencari', 'notice': 'notis', 'ART': 'SENI'}",0,0,5.006,,,,,,,,
1,krn jujur ga lg2 dihina remehin hina sodaraw dari pihak mama gw..ada sepupu setan dengkii smua si lina gw sumpahin segera mampus sok kaya belagu merasa kaya bgt kali norak ga lama lg kebongkar dia tipu2annya mau liatin aja bakal seterusnya sukses dia ahahhah najisin tuh sepupu,krn jujur ga lg2 dihina meremehkan hina sodaraw dari pihak mama sepupu syaitan dengki semua orang si lina gw menyumpah segera mati sok kaya belagu merasa kaya hebat kali kurang ajar ga lama lg terdedah dia tipu2annya mau tengok aja bakal seterusnya sukses dia ahahahaha najis tuh sepupu,0.9417874813079834,1,[2.700e-03 9.942e-01 2.000e-04 9.000e-04 2.000e-03],1,[2.900e-03 9.932e-01 4.000e-04 9.000e-04 2.600e-03],"{'sumpahin': 'menyumpah', 'smua': 'semua orang', 'ahahhah': 'ahahahaha', 'najisin': 'najis', 'kebongkar': 'terdedah', 'lg': 'lg', 'norak': 'kurang ajar', 'mampus': 'mati', 'liatin': 'tengok', 'dengkii': 'dengki', 'krn': 'krn', 'remehin': 'meremehkan', 'sepupu': 'sepupu', 'dihina': 'dihina', 'bgt': 'hebat', 'belagu': 'belagu', 'setan': 'syaitan', 'lina': 'lina'}",1,1,13.7212,,,,,,,,
4,"Bahaha.. dia ke kasir after me. Sambil ngangkat keresek belanjaanku, masih sempet liat mas nya nyodorin barang belanjaannya",dia ke kasir selepas Sambil angkat berderak masih mempunyai masa liat mas nya berikannya barang membeli-belah,0.7345801591873169,4,[6.700e-03 7.000e-04 2.600e-03 6.000e-04 9.894e-01],4,[0.111  0.0022 0.052  0.0027 0.8321],"{'nyodorin': 'berikannya', 'sempet': 'mempunyai masa', 'belanjaannya': 'membeli-belah', 'keresek': 'berderak', 'after': 'selepas', 'ngangkat': 'angkat', 'mas': 'mas'}",4,0,6.2193,,,,,,,,
4,"Bahagia itu dekat, seperti I cinta the way you say Good Morning. So, say it every single day to me ya.. Cm mau ngingetin, jika satu org sdh mulai pudar kepeduliannya, jgn pernah takut, krna diluar sana akan ada org yg lbh peduli sama km, as long as you do something good jg.","Bahagia itu dekat, seperti I cinta the way you say Good Morning. So, say it every single day to me ya.. Cm mau ngingetin, jika satu org sdh mulai pudar kepeduliannya, jgn pernah takut, krna diluar sana akan ada org yg lbh peduli sama km, as long as you do something good jg.",1.0,2,[1.800e-03 3.000e-04 9.901e-01 1.500e-03 6.300e-03],2,[1.800e-03 3.000e-04 9.901e-01 1.500e-03 6.300e-03],,2,2,0.04,,,,,,,,
0,Hidup di jaman Naow ini kalau hanya pengen di panggil Ustadz aja Gampang. Berpakaian Muslim pakai kopyah Putih apalagi bersorban dg Rapih berani bicara dg sedikit menghafal ayat terjemahan sdh di Anggap penceramah dan du sebut ustadz Nggak perlu mondok bertahun2,Hidup di jaman Naow ini kalau hanya pengen di panggil Ustadz aja Gampang. Berpakaian Muslim pakai kopyah Putih apalagi bersorban dg Rapih berani bicara dg sedikit menghafal ayat terjemahan sdh di Anggap penceramah dan du sebut ustadz Nggak perlu mondok bertahun2,1.0,4,[0.0265 0.1291 0.0036 0.0052 0.8356],4,[0.0265 0.1291 0.0036 0.0052 0.8356],,4,4,0.05,,,,,,,,
2,Sampai saat seorang teman lelakimu datang kerumah dan meminta izin pada papa untuk mengambilmu darinya. Papa akan sangat berhati-hati memberikan izin karena papa tau bahwa lelaku itulah yang akan menggantikan posisinya nanti.,Sampai saat seorang teman lelakimu datang kerumah dan meminta izin pada papa untuk mengambilmu darinya. Papa akan sangat berhati-hati memberikan izin karena papa tau bahwa lelaku itulah yang akan menggantikan posisinya nanti.,1.0,3,[0.2306 0.0018 0.343  0.4169 0.0077],3,[0.2306 0.0018 0.343  0.4169 0.0077],,3,3,0.08,,,,,,,,
