text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat memenangi baru yang ada di dago atas gue kira aktivitas nya enak karena ganjaran nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9880330562591552,2,[0.012  0.0014 0.9866],2,[0.05   0.0032 0.9468],"{'mahal': 'mahal', 'deh': 'deh', 'banget': 'banget', 'nya': 'nya', 'harga': 'ganjaran', 'gue': 'gue', 'makan': 'memenangi', 'makanan': 'aktivitas'}",2,0,2.7846,0.916,0.858,0.9544929897785188,0.342198,0.928,0.05800000000000005,-0.07000000000000006,0.548,11.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih gue tidak akan mau balik lagi ke tempat itu pengembara ya gue enggak ngerti kenapa tempat nya dibiarkan mengubah sudah begitu kotor pula kalau mengubah panas kalau objek kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.989673376083374,2,[0.0073 0.0015 0.9912],2,[0.0142 0.002  0.9838],"{'gila': 'pengembara', 'dibiarkan': 'dibiarkan', 'panas': 'mengubah', 'nya': 'nya', 'ngerti': 'ngerti', 'gue': 'gue', 'sih': 'sih', 'ya': 'ya', 'hujan': 'objek', 'gitu': 'gitu', 'kepanasan': 'panas'}",2,0,0.4656,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin tertib kedua kerjaan nya selalu pencitraan ketiga dia tidak pro sukma sudahlah ku sudah terlanjur gagal,0.9780011177062988,2,[0.0038 0.0016 0.9946],2,[0.0051 0.0025 0.9924],"{'pro': 'pro', 'rakyat': 'sukma', 'ku': 'ku', 'nya': 'nya', 'ketiga': 'ketiga', 'janji': 'tertib', 'kecewa': 'gagal'}",2,0,0.4462,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru unit nya juga orang pertama kali ya baru ke bank gua menyanggupi semprot kelihatan banget tugas konsumen nya tidak bagaikan gua banyak bertanya padahal itu kan tugas mereka buat melontarkan gua,0.9791281819343568,2,[0.0041 0.0018 0.9941],2,[0.0385 0.0112 0.9503],"{'suka': 'bagaikan', 'semprot': 'semprot', 'banget': 'banget', 'nya': 'nya', 'pelayanan': 'tugas', 'kena': 'menyanggupi', 'ngurusin': 'ngurusin', 'gua': 'gua', 'melayangkan': 'melontarkan', 'pelanggan': 'konsumen', 'kalinya': 'kalinya', 'nama': 'unit', 'bank': 'bank', 'rekening': 'rekening'}",2,0,0.4752,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu penggarapan karate kata nya mengadakan gue bisa melawan penjahat kalau ada iseng tapi di hari pertama penggarapan pengukur gue ketepatan patologi jadilah sekarang trauma dan tidak mau buat penggarapan karate lagi,0.9662119746208192,2,[0.0086 0.0069 0.9846],2,[0.0237 0.0323 0.944 ],"{'trauma': 'trauma', 'langsung': 'ketepatan', 'cedera': 'patologi', 'latihan': 'penggarapan', 'gue': 'gue', 'biar': 'mengadakan', 'kaki': 'pengukur'}",2,0,0.4343,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di gedung salak bogor tidak sebagus yang gue membayangkan artifak nya juga biasa banget padahal kata nya gedung kehormatan lima hm gagal kayak nya sih tidak mau ke sana lagi,0.9265289306640624,2,[0.0119 0.0016 0.9865],2,[0.0151 0.0023 0.9826],"{'kecewa': 'gagal', 'hm': 'hm', 'hotel': 'gedung', 'nya': 'nya', 'banget': 'banget', 'bintang': 'kehormatan', 'sebagus': 'sebagus', 'sih': 'sih', 'fasilitas': 'artifak'}",2,0,0.4305,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus membekalkan tidak adalah kayak gitu memakan moral banget sumpah,0.9755290746688844,2,[0.0031 0.0022 0.9946],2,[0.0172 0.0028 0.98  ],"{'merusak': 'memakan', 'berfaedah': 'adalah', 'lex': 'lex', 'young': 'young', 'mengirim': 'membekalkan', 'gitu': 'gitu'}",2,2,0.357,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak perairan jadi menyerah kita mengubah sampah ke perairan tidak tega gue liat nya kadang tidak kenal juga sebenarnya yang ada itu pada mikirin enggak sih aktivitas penting hasrat gini he,0.9669727087020874,2,[0.0038 0.0017 0.9946],2,[0.0066 0.0024 0.9909],"{'gue': 'gue', 'korban': 'menyerah', 'mikirin': 'mikirin', 'sih': 'sih', 'mengerti': 'kenal', 'laut': 'perairan', 'nya': 'nya', 'kayak': 'hasrat', 'urusan': 'aktivitas', 'pesimis': 'pesimis', 'he': 'he', 'buang': 'mengubah'}",2,0,0.485,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya gagal karena pengeditan sejarah penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang tugas konsumen yang sudah dihubungi pun hanya seperti melambatkan waktu sampai produk ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9763375520706176,2,[0.0036 0.0016 0.9947],2,[0.0037 0.002  0.9943],"{'solusi': 'solusi', 'pelayanan': 'tugas', 'kecewa': 'gagal', 'dibiarkan': 'dibiarkan', 'pelanggan': 'konsumen', 'by': 'by', 'biodata': 'sejarah', 'dianggap': 'dianggap', 'dihubungi': 'dihubungi', 'permasalahan': 'permasalahan', 'detik': 'produk', 'mengulur': 'melambatkan'}",2,0,0.4981,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kembara saya memenangi padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan maklumat transfer tapi respon nya sangat angkat kaki dan tidak jelas,0.972122311592102,2,[0.0018 0.0033 0.9949],2,[0.0033 0.0072 0.9894],"{'lambat': 'angkat kaki', 'respon': 'respon', 'nya': 'nya', 'kunjung': 'kembara', 'menelpon': 'menelpon', 'bukti': 'maklumat', 'terima': 'memenangi', 'tiket': 'tiket'}",2,0,0.4164,,,,,,,,,
