text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,meski masa kampanye sudah selesai bukan berati habis pula kegiatan mengerek tingkat kedipilihan elektabilitas,0.9758654832839966,1,[0.0365 0.8362 0.1273],1,[0.0667 0.6514 0.2819],{'upaya': 'kegiatan'},2,1,6.45,0.9349206349206348,0.9031746031746032,0.9822827348633418,8.396214285714285,0.9126984126984127,0.03174603174603163,0.022222222222222143,0.8960317460317461
tidak enak,2,tidak enak,0.999999701976776,2,[0.0011 0.001  0.9979],2,[0.0011 0.001  0.9979],{'enak': 'enak'},2,2,3.99,,,,,,,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,gedung ini menawarkan pemerian sunda kami memesan ayam goreng kangkung sayur asam ikan gurame goreng ikan bakar nasi goreng karedok tahu tempe nasi putih nasi merah etc santapan yang mereka tawarkan juga cukup variatif rasa pemerian enak dan sah murah kami 9 binatang dan 5 anak kecil hanya menghabiskan,0.9848730564117432,0,[9.976e-01 1.600e-03 8.000e-04],0,[0.9758 0.0123 0.0119],"{'enak': 'enak', 'makanan': 'pemerian', 'variatif': 'variatif', 'harga': 'sah', 'restoran': 'gedung', 'dewasa': 'binatang', 'minuman': 'santapan'}",0,0,5.17,,,,,,,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,sebelah di alun alun masakan sawah ini cukup tokoh dengan kepala ikan kakap gule biasa saya pesan nasi bungkus sawah berisikan rendang ayam pop dan perkedel porsi banyak dan minum,0.9545758962631226,0,[9.982e-01 1.200e-03 5.000e-04],0,[0.9922 0.0068 0.001 ],"{'mengenyangkan': 'minum', 'lokasi': 'sebelah', 'terkenal': 'tokoh', 'padang': 'sawah'}",0,0,4.8,,,,,,,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,betapa bejad kader gerindra yang anggota dprd memusnahkan anak smp rakyat harus cerdas partai mana yang harus di tengelamkan di 2019,0.9911279678344728,2,[0.0045 0.0029 0.9926],2,[0.0073 0.003  0.9898],"{'bejad': 'bejad', 'mencabuli': 'memusnahkan'}",2,2,4.52,,,,,,,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,kampiun bistro berada di jalan kebon kawung sebelah kanan seberang stasiun kota bandung harga makanan dan minuman nya sangat terjangkau ada live suara juga dan kalau beruntung anda akan bertemu dengan yuke dewa19 di tempat ini,0.9920724034309388,0,[9.971e-01 2.500e-03 4.000e-04],0,[9.963e-01 3.200e-03 5.000e-04],"{'musik': 'suara', 'kampiun': 'kampiun', 'nya': 'nya', 'bistro': 'bistro'}",0,0,5.03,,,,,,,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,bidang nya sempit tidak ada tempat menyimpan barang malah menambah barang by the way ini kipas2 mau diletakkan mana mana uchiwa segede ini pula,0.9946633577346802,2,[0.0098 0.0017 0.9886],2,[0.0174 0.0023 0.9803],"{'sempit': 'sempit', 'kamar': 'bidang'}",2,2,4.68,,,,,,,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke restauran ini mungkin letak nya perancang pertama masuk dikasih senyuman manis sama mbak yang ramah di situ pun saya memesan chiken grill es thai tea dan super duper ice cream enak saya hendak,0.9904080629348756,0,[9.983e-01 1.300e-03 4.000e-04],0,[9.972e-01 2.100e-03 8.000e-04],"{'suka': 'hendak', 'enak': 'enak', 'super': 'super', 'strategis': 'perancang'}",0,0,5.11,,,,,,,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya tuhan agama sesat itu,1.0,2,[7.000e-04 1.100e-03 9.981e-01],2,[8.00e-04 1.20e-03 9.98e-01],{'sesat': 'sesat'},2,2,4.47,,,,,,,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat,0.9999999403953552,0,[0.9965 0.0024 0.0011],0,[9.978e-01 1.400e-03 8.000e-04],"{'lezat': 'lezat', 'goreng': 'goreng'}",0,0,4.93,,,,,,,,
yusri seorang ibu yang tidak tahu diri . sudah tidak punya uang mebel lagi . melihat muka ibu dikaca . sudah dibantu tidak terima kasih . dasar maling .,2,yusri seorang ibu yang tidak tahu diri sudah tidak punya uang mebel lagi melihat muka ibu dikaca sudah dibantu tidak terima kasih dalil bajul,0.9894022941589355,2,[8.000e-04 1.100e-03 9.982e-01],2,[0.0024 0.0036 0.9939],"{'maling': 'bajul', 'dasar': 'dalil'}",2,2,4.7,,,,,,,,
menemukan bocah-bocah sampai yang komentar di yutub pakai kata-kata kotor begitu . yang mengajarkan siapa dah ? sedih :,2,menemukan sampai yang komentar di yutub pakai menukar begitu yang mengajarkan siapa dah sedih,0.8827277421951294,2,[7.000e-04 3.600e-03 9.957e-01],2,[0.0022 0.0039 0.9939],{'kotor': 'menukar'},2,2,4.41,,,,,,,,
