text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat makan baru yang ada di dago atas gue kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak comodo banget terlalu sempit,0.9926727414131165,2,[4.500e-03 4.000e-04 9.951e-01],2,[4.700e-03 4.000e-04 9.949e-01],"{'nyaman': 'comodo', 'enak': 'enak', 'mahal': 'mahal'}",2,0,1.2755,0.936,0.896,0.9843477348685264,0.6475214000000001,0.956,0.040000000000000036,-0.05999999999999994,0.574,9.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih io tidak akan mau balik lagi ke tempat itu gila ya io enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9882051348686218,2,[5.60e-03 4.00e-04 9.94e-01],2,[6.700e-03 5.000e-04 9.927e-01],"{'nya': 'nya', 'gue': 'io', 'kotor': 'kotor', 'jual': 'jual'}",2,0,0.8992,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah ku sudah terlanjur kecewa,0.9936076402664183,2,[1.000e-03 2.000e-04 9.989e-01],2,[8.00e-04 2.00e-04 9.99e-01],"{'kecewa': 'kecewa', 'jokowi': 'jokowi'}",2,0,0.7417,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya io ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank io kena semprot kelihatan banget pelayanan pelanggan nya tidak suka io banyak bertanya padahal itu kan tugas mereka buat lancio io,0.921632707118988,2,[6.500e-03 6.000e-04 9.929e-01],2,[1.300e-03 6.000e-04 9.981e-01],"{'suka': 'suka', 'orang': 'orang', 'gua': 'io', 'melayangkan': 'lancio'}",2,0,0.8329,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan karate kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.995985209941864,2,[1.300e-03 4.000e-04 9.982e-01],2,[2.700e-03 7.000e-04 9.966e-01],"{'karate': 'karate', 'latihan': 'latihan', 'trauma': 'trauma'}",2,1,0.8101,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya hotel Stella lima hm kecewa kayak nya sih tidak mau ke sana lagi,0.9796584844589232,2,[6.50e-03 5.00e-04 9.93e-01],2,[4.50e-03 4.00e-04 9.95e-01],"{'hm': 'hm', 'sih': 'sih', 'bintang': 'Stella'}",2,0,0.7564,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak moral banget sumpah,0.9961702227592468,2,[4.000e-04 5.000e-04 9.991e-01],2,[5.000e-04 4.000e-04 9.992e-01],"{'sumpah': 'sumpah', 'berfaedah': 'berfaedah'}",2,2,0.6742,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,io pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega io liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affari penting kayak gini he,0.9769863486289978,2,[4.400e-03 4.000e-04 9.952e-01],2,[3.100e-03 4.000e-04 9.965e-01],"{'he': 'he', 'pesimis': 'pesimis', 'urusan': 'affari', 'gue': 'io'}",2,0,0.8244,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan soluzione permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada soluzione untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9859522581100464,2,[9.000e-04 2.000e-04 9.989e-01],2,[7.00e-04 3.00e-04 9.99e-01],"{'kecewa': 'kecewa', 'solusi': 'soluzione', 'detik': 'detik'}",2,2,0.9109,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,1.0,2,[8.000e-04 1.300e-03 9.979e-01],2,[0.0013 0.0039 0.9948],"{'terima': 'terima', 'pemesanan': 'pemesanan'}",2,1,0.7521,,,,,,,,,
