label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",Pixy ini kok gemesim Setelah jatuh benda sama lip cream kayak nya bakal jatih benda sama yang Huft,0.9175994396209716,2,[0.233  0.0029 0.6205 0.0076 0.1359],4,[0.025  0.0042 0.0145 0.0206 0.9357],"{'cinta': 'benda', 'gemesim': 'gemesim'}",0,0,2.9581,0.7772727272727272,0.615909090909091,0.9467451193793254,0.8456413636363637,0.6954545454545454,0.16136363636363626,-0.07954545454545447,0.775,3.0
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit hepatitis B 100x lebih infeksius dari Duhh Dan belum ada,0.9448561668395996,3,[1.000e-03 7.000e-04 9.000e-04 9.967e-01 7.000e-04],3,[0.0273 0.1973 0.002  0.7551 0.0183],{'hepatitis': 'hepatitis'},3,3,0.6853,,,,,,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi Nemo movement malah berbalik jd ikon punya Persis keadaan 212 yg jd panggung Jkw,0.8856998085975647,3,[2.600e-03 4.700e-03 5.000e-04 9.899e-01 2.200e-03],3,[4.200e-03 2.700e-03 7.000e-04 9.891e-01 3.300e-03],"{'kalo': 'kalo', 'kejadian': 'keadaan', 'Gw': 'Gw'}",3,3,0.7828,,,,,,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",Kemerdekaan adalah keizinan segala bangsa Kec Catalonia Koptik sbgmn kita menutup mata terhadap Penjajahan Yaman dan standart ganda,0.9585796594619752,1,[1.710e-02 9.791e-01 4.000e-04 1.100e-03 2.400e-03],1,[0.3882 0.549  0.0026 0.0183 0.0418],"{'standart': 'standart', 'hak': 'keizinan'}",1,1,0.7681,,,,,,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi sekedar saran sering sering si jagoan dikasih memafhumi lagu YNWA sama tonton pertandingan Biar ngerti sejarah dan kesetiaan haha,0.9311402440071106,4,[0.0139 0.0012 0.45   0.0028 0.5321],4,[2.020e-02 8.000e-04 9.980e-02 2.100e-03 8.772e-01],"{'ngerti': 'ngerti', 'dengar': 'memafhumi', 'haha': 'haha'}",4,4,0.7443,,,,,,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktip di ig merasa twitter ini tempat menyewat Pas lbh sering merasa ig itu aku butuh mau di pasar,0.945325255393982,0,[0.9511 0.019  0.0013 0.0135 0.0152],0,[0.8878 0.014  0.0048 0.017  0.0765],"{'melarikan': 'menyewat', 'ig': 'ig'}",0,0,0.9931,,,,,,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.0561 0.0017 0.0021 0.0028 0.9373],4,[0.0561 0.0017 0.0021 0.0028 0.9373],,0,0,0.23,,,,,,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",Bukan gw yang ga mau ikut tapi dompet yang pembantahan mulu besi gw ga di isi dompet badan besi kurusin jangan Oke sip besok ku lembur baghai qhuda,0.9370503425598145,0,[0.6124 0.3638 0.0007 0.003  0.0202],0,[0.519  0.4558 0.0009 0.0049 0.0195],"{'lu': 'besi', 'protes': 'pembantahan', 'Bukan': 'Bukan'}",0,1,0.9289,,,,,,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya kalo saya adat istiadat saya ga bisa bahagiain kalo punya anak nanti saya banding,0.9488471150398254,3,[1.000e-03 5.000e-04 1.100e-03 9.964e-01 1.000e-03],3,[1.200e-03 6.000e-04 6.000e-04 9.967e-01 1.000e-03],{'nikah': 'adat istiadat'},3,3,0.7579,,,,,,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua Well done,0.9728268384933472,4,[6.100e-03 7.000e-04 1.740e-02 4.000e-04 9.755e-01],4,[7.800e-03 2.300e-03 5.300e-03 7.000e-04 9.839e-01],"{'salut': 'salut', 'simple': 'simple', 'Well': 'Well'}",4,4,0.8047,,,,,,,,,
3,"Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp","Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp",1.0,0,[0.9532 0.0025 0.0046 0.0293 0.0105],0,[0.9532 0.0025 0.0046 0.0293 0.0105],,0,0,0.21,,,,,,,,,
3,"[USERNAME] [USERNAME] Tidak disemua tempat kita boleh melaksanakan sholat, salah satunya di bangunan yang didirikan untuk kekafiran (salah satunya gereja). Aku berlindung kepada ALLAAH SWT. dari godaan setan yang terkutuk. [URL]",Tidak disemua tempat kita boleh melaksanakan salah satunya di bangunan yang didirikan untuk kekafiran satunya Aku berlindung kepada ALLAAH dari godaan setan yang,0.916731059551239,3,[2.70e-03 7.00e-04 7.00e-04 9.95e-01 9.00e-04],3,[5.200e-03 8.000e-04 1.100e-03 9.915e-01 1.400e-03],"{'Aku': 'Aku', 'berlindung': 'berlindung'}",3,3,0.7525,,,,,,,,,
1,"Akhirnya jamaahnya tercuci otak, seakan-akan memilih paslon pilkada itu karena kewajiban dari imam besarnya. Bagi mereka program paslon ga penting, yg penting takbir terus milih.","Akhirnya jamaahnya tercuci otak, seakan-akan memilih paslon pilkada itu karena kewajiban dari imam besarnya. Bagi mereka program paslon ga penting, yg penting takbir terus milih.",1.0,0,[0.7627 0.0882 0.0029 0.0328 0.1135],0,[0.7627 0.0882 0.0029 0.0328 0.1135],,0,0,0.21,,,,,,,,,
0,"Sampe rumah masuk2 dijudesin bokap bilang gini kamu lama2 kayak artis ya! Terus gw bingung.. lah ngapa Perasaan tadi brgkt cuman bedakan plus gincu arab an, karna emg ganiat mau kemana2.. (fyi gincu arab itu ga menor samsek kek natural gt) terus gw ngaca ajg kok gw menor bgt",Sampe rumah masuk2 dijudesin bokap bilang gini kamu lama2 kayak penghibur melanjutkan gw lah ngapa cita tadi brgkt cuman bedakan plus gincu arab karna emg ganiat mau gincu arab itu ga menor samsek kek natural terus gw ngaca ajg kok gw menor bgt,0.9727768301963806,0,[0.8488 0.0239 0.0045 0.0956 0.0272],0,[0.8879 0.0403 0.004  0.0147 0.0532],"{'bokap': 'bokap', 'gini': 'gini', 'artis': 'penghibur', 'Perasaan': 'cita', 'Terus': 'melanjutkan', 'bedakan': 'bedakan'}",0,0,1.0042,,,,,,,,,
1,"Hai para penghujat KPOPers. Aku pikir musik itu selera, kaya makan mie instan, kamu suka mie sedap aku suka indomie. Aku suka korean, kalian suka pop, ada yg dandut, and more ~ simpel sekali ~ hanya masalah pilihan yg nyaman di telinga aja kok.","Hai para penghujat KPOPers. Aku pikir musik itu selera, kaya makan mie instan, kamu suka mie sedap aku suka indomie. Aku suka korean, kalian suka pop, ada yg dandut, and more ~ simpel sekali ~ hanya masalah pilihan yg nyaman di telinga aja kok.",1.0,4,[0.0898 0.2477 0.028  0.0034 0.6311],4,[0.0898 0.2477 0.028  0.0034 0.6311],,1,1,0.26,,,,,,,,,
2,"tiap kali baca kisah2 zaman nabi, rasa jatuh cinta dgn semuaaaaa. mlm ni baca saidina umar dlm hati... ya allah saidina umar ",tiap kali memafhumi kisah2 zaman rasa jatuh benda dgn mlm ni memafhumi saidina umar dlm ya allah saidina umar,0.9092559814453124,2,[2.400e-03 2.000e-04 9.921e-01 2.300e-03 3.000e-03],0,[0.6245 0.0008 0.2377 0.0135 0.1235],"{'baca': 'memafhumi', 'cinta': 'benda'}",0,2,0.8597,,,,,,,,,
0,"[USERNAME] [USERNAME] Anak sipil kuliah 4tahun buat lulus ada jerih payah tiap detiknya, cuma dinyirnyirin gak jelas gini, ya Allah ya Rabb, mulut netizen Maha Benar memang :""","[USERNAME] [USERNAME] Anak sipil kuliah 4tahun buat lulus ada jerih payah tiap detiknya, cuma dinyirnyirin gak jelas gini, ya Allah ya Rabb, mulut netizen Maha Benar memang :""",1.0,1,[1.089e-01 8.864e-01 5.000e-04 1.000e-03 3.300e-03],1,[1.089e-01 8.864e-01 5.000e-04 1.000e-03 3.300e-03],,1,1,0.21,,,,,,,,,
2,buat aku juga kan eh ada mas adi makasih :3 semangat ya buat kamu :,buat aku juga kan eh ada mas adi makasih :3 semangat ya buat kamu :,1.0,4,[5.500e-03 1.200e-03 7.100e-03 4.000e-04 9.858e-01],4,[5.500e-03 1.200e-03 7.100e-03 4.000e-04 9.858e-01],,4,4,0.22,,,,,,,,,
