label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Cette adalah hal yang paling membahagiakan saat biasku photo bersama ELFE,0.8037877082824707,4,[1.30e-03 6.00e-04 6.90e-03 2.00e-04 9.91e-01],4,[3.900e-03 9.000e-04 6.910e-02 8.000e-04 9.253e-01],"{'ELF': 'ELFE', 'biasku': 'biasku', 'Ini': 'Cette', 'foto': 'photo'}",1.2951,0.9724510082362965,0.7188298778756035,0.7646608920490173,1.4526971314967339
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",De pertama occuper siège jabatan personnes belum pernah ecouter dan melihat résultats travailler dan performance bobine yang anda berikan semasa occuper siège tanya Pourquoi Abdi personnes butuh seoran,0.6176005601882935,1,[8.300e-03 9.889e-01 7.000e-04 7.000e-04 1.300e-03],1,[1.78e-02 9.75e-01 5.00e-04 2.20e-03 4.40e-03],"{'Kenapa': 'Pourquoi', 'butuh': 'butuh', 'hasil': 'résultats', 'menduduki': 'occuper', 'Dari': 'De', 'rakyat': 'personnes', 'mendengar': 'ecouter', 'prestasi': 'performance', 'nyata': 'bobine', 'kerja': 'travailler', 'bangku': 'siège'}",0.7092,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah si emang belum berani couper Cheveu pendek oui juste si emang udah yakin dan bisa nyaman Heureux jangan lupa berdoa somnolent qui nyenyak rêver qui belle bon nuit cit,0.729972779750824,3,[0.2438 0.0056 0.0279 0.5297 0.193 ],4,[0.1657 0.0115 0.0201 0.1137 0.6891],"{'yg': 'qui', 'berani': 'berani', 'yaudah': 'yaudah', 'Tidur': 'somnolent', 'aja': 'juste', 'Selamat': 'Heureux', 'indah': 'belle', 'night': 'nuit', 'emang': 'emang', 'nyenyak': 'nyenyak', 'mimpi': 'rêver', 'Good': 'bon', 'ya': 'oui', 'potong': 'couper', 'kalo': 'si', 'cit': 'cit', 'rambut': 'Cheveu'}",1.6133,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.8    0.038  0.0036 0.1123 0.0461],0,[0.8    0.038  0.0036 0.1123 0.0461],,0.03,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned dehors trois Connard itu si dossier jadi ukhti2 émigré si garçon jadi serveur rasanya semua déclaration maman di sosmed pasti yang Nier orang2 gâteau parahnya lagi si mereka pacaran bâtard,0.8402659893035889,1,[1.424e-01 8.380e-01 6.000e-04 1.640e-02 2.500e-03],0,[0.9177 0.0579 0.0027 0.0104 0.0113],"{'asshole': 'Connard', 'bangsat': 'bâtard', 'statement': 'déclaration', 'hijrah': 'émigré', 'kek': 'gâteau', 'out': 'dehors', 'cewe': 'dossier', 'kalo': 'si', 'abdi': 'serveur', 'being': 'trois', 'parahnya': 'parahnya', 'sosmed': 'sosmed', 'cowo': 'garçon', 'menyangkal': 'Nier', 'ku': 'maman'}",1.8181,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",quelquefois apa yang kau dapati dan avoir saat ada personnes lain yang menginginkanya Apapun Auto gak semua fardeau bisa di tanggung oleh seorang dialogue Dini,0.8876577019691467,0,[9.866e-01 5.000e-04 1.400e-03 5.100e-03 6.400e-03],0,[0.7992 0.0015 0.0024 0.0049 0.192 ],"{'Apapun': 'Apapun', 'Terkadang': 'quelquefois', 'menginginkanya': 'menginginkanya', 'Dini': 'Dini', 'orang': 'personnes', 'beban': 'fardeau', 'Karena': 'Auto', 'tanggung': 'tanggung', 'miliki': 'avoir', 'Dialog': 'dialogue'}",0.8519,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",IMAGERIE ISLAM Auto que cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka que jadi takut setengah morte pada Mme frais yang Frais pun que blaireau dan que,0.862939715385437,3,[3.400e-03 6.000e-04 1.000e-03 9.945e-01 5.000e-04],3,[0.0033 0.0021 0.0016 0.9911 0.0019],"{'kau': 'que', 'mati': 'morte', 'semilir': 'frais', 'segar': 'Frais', 'ISLAM': 'ISLAM', 'Karena': 'Auto', 'TAMSIL': 'IMAGERIE', 'Bahkan': 'Mme', 'caci': 'blaireau', 'sore': 'sore', 'engkau': 'que', 'pangkalmu': 'pangkalmu'}",1.6327,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",cadeau gini Oui balik Bolehkah kah sy qui bukan Étudiant IHM ikut Entrer salon Kuliah dan mengerjakan Taché Kuliah sprt Mhs Non persoalan Exister interdire atau Mais apa Gunanya je ikut si je n,0.7380175590515137,1,[0.1272 0.808  0.0018 0.0576 0.0054],3,[0.2229 0.343  0.0045 0.3915 0.0381],"{'Bukan': 'Non', 'Ada': 'Exister', 'ruang': 'salon', 'n': 'n', 'Saya': 'je', 'Mahasiswa': 'Étudiant', 'Sy': 'Oui', 'kalo': 'si', 'larangan': 'interdire', 'kah': 'kah', 'masuk': 'Entrer', 'sprt': 'sprt', 'Tugas': 'Taché', 'Mhs': 'Mhs', 'Tapi': 'Mais', 'Skrg': 'cadeau', 'gini': 'gini', 'UMI': 'IHM', 'yg': 'qui'}",2.1697,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Si kamuu itu Cintanya juga Géorgie arbuste kok sama yang Auto réellement bagi aku kalian itu amour satu amour,0.8947775363922119,2,[1.100e-03 4.000e-04 9.965e-01 1.400e-03 6.000e-04],2,[2.600e-03 7.000e-04 9.941e-01 1.200e-03 1.400e-03],"{'kalah': 'arbuste', 'sebenernya': 'réellement', 'Karena': 'Auto', 'cinta': 'amour', 'Kalo': 'Si', 'ga': 'Géorgie'}",1.6828,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia terrible si porter lg Écoutez musique qui dehors slalu musiknya Bikin pengen joget wkwk Ce namanya autoréaction sih xD,0.6885823011398315,4,[0.0141 0.0015 0.002  0.0012 0.9812],4,[0.2765 0.0507 0.0048 0.0118 0.6562],"{'wkwk': 'wkwk', 'kalo': 'si', 'Itu': 'Ce', 'autoreaction': 'autoréaction', 'namanya': 'namanya', 'xD': 'xD', 'bilang': 'terrible', 'lg': 'lg', 'yg': 'qui', 'pake': 'porter', 'Bikin': 'Bikin', 'musik': 'musique', 'sih': 'sih', 'kluar': 'dehors', 'musiknya': 'musiknya', 'dengerin': 'Écoutez'}",1.1479,,,,
