label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",Pixy ini kok gemesim Setelah cadere amore sama lip cream kayak nya bakal jatih amore sama yang Huft,0.8885923624038696,2,[0.0079 0.005  0.964  0.0025 0.0205],0,[0.4409 0.3297 0.0335 0.0103 0.1856],"{'jatuh': 'cadere', 'cinta': 'amore'}",2,2,0.8057,0.7181818181818181,0.6204545454545455,0.9484679388729008,0.4394488636363636,0.7,0.09772727272727266,0.018181818181818188,0.6704545454545454
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit epatite B 100x lebih infeksius dari Duhh Dan belum ada,0.8424186110496521,3,[0.008  0.0035 0.0042 0.9802 0.004 ],3,[0.4317 0.0071 0.004  0.5478 0.0095],{'hepatitis': 'epatite'},3,3,0.3438,,,,,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg Se Ahok jd jurkamnya Jokowi Nemo movement malah berbalik jd ikon punya Persis kejadian 212 yg jd panggung Jkw,0.8696595430374146,3,[0.0048 0.0243 0.0036 0.9649 0.0024],3,[0.0066 0.1908 0.0072 0.7927 0.0026],"{'jurkamnya': 'jurkamnya', 'jkw': 'jkw', 'kalo': 'Se'}",3,3,0.3866,,,,,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...","Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",1.0,4,[0.0429 0.0288 0.0161 0.0055 0.9068],4,[0.0429 0.0288 0.0161 0.0055 0.9068],,4,4,0.1,,,,,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Biar ngerti sejarah dan kesetiaan haha,0.9467302560806274,4,[2.20e-03 1.60e-03 2.30e-03 9.00e-04 9.93e-01],4,[0.0038 0.0031 0.002  0.0017 0.9894],"{'haha': 'haha', 'ynwa': 'ynwa', 'jagoan': 'jagoan'}",4,4,1.7626,,,,,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktip di ig merasa twitter ini tempat melarikan Pas lbh sering merasa ig itu aku butuh mau di pasar,0.948068618774414,0,[0.6514 0.3173 0.0037 0.0265 0.0011],0,[0.8223 0.1577 0.005  0.0051 0.0098],"{'pas': 'pas', 'pasar': 'pasar'}",0,3,0.4829,,,,,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.1159 0.0134 0.004  0.0597 0.807 ],4,[0.1159 0.0134 0.004  0.0597 0.807 ],,3,3,0.15,,,,,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda","Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",1.0,1,[0.0409 0.9343 0.0019 0.0018 0.0211],1,[0.0409 0.9343 0.0019 0.0018 0.0211],,1,1,0.14,,,,,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya kalo saya nikah saya ga bisa bahagiain kalo punya anak nanti saya banding,0.9794464111328124,3,[0.0023 0.0038 0.0095 0.982  0.0023],3,[0.0048 0.0036 0.0058 0.9836 0.0021],{'bahagiain': 'bahagiain'},3,3,0.51,,,,,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",ciao dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua Well fatto,0.928129255771637,4,[0.0057 0.0019 0.0023 0.0013 0.9888],4,[0.006  0.0032 0.0032 0.0016 0.986 ],"{'salut': 'ciao', 'simple': 'simple', 'done': 'fatto'}",4,4,0.6301,,,,,,,,
