label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,the network mati No bisa dibuka mobile I mau ke puskesmes trus piye mau tunjukkan kartu,0.809714138507843,1,[0.0151 0.9116 0.0123 0.0499 0.0111],1,[0.0197 0.9345 0.0072 0.025  0.0137],"{'mobile': 'mobile', 'jaringannya': 'the network', 'Saya': 'I', 'Tidak': 'No'}",1,3,2.7612,0.6454545454545455,0.4772727272727273,0.8900439155372706,1.392994772727273,0.5727272727272728,0.1681818181818182,0.07272727272727275,0.5227272727272727
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.","It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",1.0,4,[0.0995 0.0994 0.0089 0.0277 0.7645],4,[0.0995 0.0994 0.0089 0.0277 0.7645],,4,4,0.02,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",Koq Ngabalin di sebut gak wrong his nose tambah big toko sorban kali,0.2821588218212127,1,[0.1002 0.7372 0.0062 0.1125 0.0439],1,[0.1834 0.5319 0.0126 0.0564 0.2157],"{'salah': 'wrong', 'hidungnya': 'his nose', 'gede': 'big'}",0,0,0.7906,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],Happy Afternoon Friend Kiriman tsb sudah diterima ya Accept kasih telah mempercayakan dan menggunakan layanan kami,0.6806847453117371,4,[0.0186 0.0157 0.0103 0.0062 0.9492],4,[0.021  0.0522 0.0137 0.0089 0.9042],"{'Selamat': 'Happy', 'Terima': 'Accept', 'Sahabat': 'Friend', 'Siang': 'Afternoon'}",4,4,1.5318,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari yap tepat di tanggal 23 juli where mungkin di hari ini cave merasa very very Thanks makasih makasih makasih,0.8239951133728027,4,[0.0999 0.0066 0.0238 0.0112 0.8586],4,[0.1155 0.0196 0.0161 0.0286 0.8202],"{'sangatsangat': 'very very', 'Makasih': 'Thanks', 'dimana': 'where', 'gua': 'cave'}",4,4,1.7207,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang shout shout change pulang kampung naik kereta kan stasiun the fire juga good ber AC 4 tahun yg copetnyaaahh byk calonyaaahh,0.8159376382827759,1,[0.0138 0.9443 0.0082 0.0168 0.0168],4,[0.1575 0.1847 0.03   0.1376 0.4902],"{'teriak': 'shout', 'ganti': 'change', 'bagus': 'good', 'apinya': 'the fire', 'byk': 'byk'}",3,4,2.4637,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar religion yg tuntas jd nga ngarang dalam Isa saja disebut2 dial quran then lu mau jelek2in Bisa baca alquran,0.8594873547554016,1,[0.0216 0.9109 0.0142 0.0184 0.0348],1,[0.1649 0.5384 0.0118 0.0326 0.2523],"{'dialquran': 'dial quran', 'trus': 'then', 'agama': 'religion', 'lu': 'lu', 'Isa': 'Isa'}",1,1,2.7874,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk panjang jadi personal yang jauh lebih semoga apa yang di terwujud dan langgeng sama,0.902062177658081,4,[0.0209 0.0213 0.0086 0.0066 0.9427],4,[0.0612 0.0604 0.0081 0.0107 0.8596],"{'canteeeekk': 'canteeeekk', 'pribadi': 'personal'}",4,4,1.4637,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[0.0704 0.6283 0.007  0.0207 0.2736],1,[0.0704 0.6283 0.007  0.0207 0.2736],,4,4,0.02,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,0,[0.653  0.1593 0.0231 0.0933 0.0713],0,[0.653  0.1593 0.0231 0.0933 0.0713],,0,0,0.02,,,,,,,,
