label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF,0.9768531918525696,4,[2.200e-03 1.000e-03 7.600e-03 8.000e-04 9.884e-01],4,[0.0324 0.0015 0.0508 0.0033 0.9119],{'foto': 'foto'},1.0345,0.9829593865379154,0.7551831865947174,0.9101483706883224,0.9978896904288553
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki bangku posizione persona belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku tanya Kenapa Abdi persona butuh seoran,0.7992351055145264,1,[0.0291 0.9664 0.0017 0.001  0.0019],0,[0.5637 0.0202 0.1319 0.0049 0.2793],"{'rakyat': 'persona', 'Dari': 'Dari', 'jabatan': 'posizione'}",0.9479,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah Se infatti belum coraggioso potong rambut pendek ya aja Se infatti udah yakin dan bisa comodo Selamat jangan lupa berdoa Tidur yg nyenyak mimpi yg indah Good night cit,0.9486660957336426,3,[0.0778 0.0068 0.0392 0.8185 0.0577],4,[0.0238 0.0067 0.0224 0.0157 0.9314],"{'kalo': 'Se', 'berani': 'coraggioso', 'emang': 'infatti', 'yaudah': 'yaudah', 'nyaman': 'comodo'}",0.7843,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.5191 0.1326 0.0039 0.3374 0.007 ],0,[0.5191 0.1326 0.0039 0.3374 0.007 ],,0.03,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi rasanya semua dichiarazione ku di sosmed pasti yang nazione orang2 kek parahnya lagi kalo mereka pacaran bastardo,0.9807589650154114,1,[1.560e-02 9.741e-01 1.000e-03 8.600e-03 7.000e-04],1,[0.3639 0.5184 0.0041 0.1076 0.0059],"{'bangsat': 'bastardo', 'statement': 'dichiarazione', 'menyangkal': 'nazione'}",0.7101,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena gak semua fardello bisa di tanggung oleh seorang Dialog Dini,0.960309624671936,0,[9.866e-01 6.000e-04 6.600e-03 4.000e-03 2.200e-03],0,[0.9719 0.001  0.0172 0.0041 0.0058],"{'Terkadang': 'Terkadang', 'beban': 'fardello'}",0.4054,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",IMMAGINAZIONE ISLAM Karena kau cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah mati pada Persino semilir yang affrescare pun kau caci dan kau,0.9718282222747803,3,[0.0125 0.007  0.0095 0.9696 0.0014],3,[0.0347 0.1831 0.0163 0.7608 0.0051],"{'TAMSIL': 'IMMAGINAZIONE', 'segar': 'affrescare', 'Bahkan': 'Persino'}",1.0913,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs No persoalan Ada larangan atau Tapi apa Gunanya io ikut kalo io n,0.943619966506958,1,[0.0412 0.9088 0.0017 0.0463 0.0019],1,[0.1122 0.679  0.0027 0.2013 0.0048],"{'Bukan': 'No', 'gini': 'gini', 'Saya': 'io'}",1.0674,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo voi itu Cintanya juga ga kalah kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9721579551696777,2,[1.100e-03 9.000e-04 9.944e-01 2.300e-03 1.300e-03],2,[0.0035 0.0022 0.9851 0.0062 0.0031],{'kamuu': 'voi'},0.651,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo indossare lg dengerin musik quale kluar slalu musiknya Bikin pengen joget sett Itu namanya autoreaction sih xD,0.9242370128631592,4,[0.0041 0.0021 0.0906 0.0052 0.8981],4,[0.0117 0.0046 0.0697 0.0075 0.9064],"{'pake': 'indossare', 'yg': 'quale', 'wkwk': 'sett', 'xD': 'xD'}",0.9197,,,,
0,[USERNAME] Gua kelas 1sd bawa hp karna buat hubungin mama. Tau tau dicolong temen. Gua diem aja bego emg. Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta maaf. Eh beberapa hari kemudian anaknya pindah sklh. Ya,Gua kelas 1sd portare cellulare karna buat hubungin Tau sapere dicolong Gua diem appena bego Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta Eh beberapa hari kemudian anaknya pindah Ya,0.900726854801178,0,[0.97   0.014  0.0026 0.0054 0.008 ],0,[0.7688 0.1086 0.0142 0.0604 0.048 ],"{'tau': 'sapere', 'hp': 'cellulare', 'aja': 'appena', 'diem': 'diem', 'bawa': 'portare'}",1.2253,,,,
2,"[USERNAME] ""Cinta tak butuh pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."" Ini wejangan dari mbah [USERNAME]",tak butuh Pada saat kau merasa pada saat itu cintamu mulai Questo wejangan dari mbah,0.862352728843689,2,[2.120e-02 9.000e-04 9.692e-01 3.900e-03 4.800e-03],2,[0.2274 0.004  0.7278 0.0131 0.0277],{'Ini': 'Questo'},0.2865,,,,
2,Romantis itu MANIS lebih manis lagi kalo dilakuin orang tg kita SAYANG. Semua bakal terasa seneng dan berbunga bunga wkwk. Seperti ada ribuan kupu kupu terbang yg ada dii perut kalo lagi ada yg ngeromantisin gitu.,Romantis itu DOLCE lebih manis lagi Se dilakuin orang tg kita Semua bakal terasa seneng dan fioritura bunga Venire ada ribuan kupu kupu terbang yg ada dii perut Se lagi ada yg ngeromantisin,0.9707589149475098,2,[0.0026 0.0029 0.9538 0.0057 0.0349],4,[0.0036 0.004  0.0879 0.0019 0.9026],"{'kalo': 'Se', 'Seperti': 'Venire', 'berbunga': 'fioritura', 'MANIS': 'DOLCE'}",1.2507,,,,
3,tapi ngeri sih ya emang akun gede dengan followers ribuan tuh kalo ngetweet yg jelek atau salah dikit yg hujat langsung banyak AKU TAKUT KALIAN UNFOLLOW AKU AJA PLEASE,tapi allarmante sih S emang akun grande dengan followers ribuan tuh kalo ngetweet yg jelek atau sbagliato dikit yg hujat langsung banyak AKU PAURA KALIAN UNFOLLOW AKU AJA PLEASE,0.9618604183197021,3,[1.400e-03 4.900e-03 3.400e-03 9.893e-01 9.000e-04],1,[7.800e-03 9.868e-01 8.000e-04 4.100e-03 5.000e-04],"{'ngeri': 'allarmante', 'TAKUT': 'PAURA', 'salah': 'sbagliato', 'gede': 'grande', 'ya': 'S'}",1.4506,,,,
0,Kapan bandara [USERNAME] 1 di Ambon ada perbaikan dan mungkin renofasi. Melihat ada banyak perkembangan bandara di daerah lain rasanya sudah amat ketinggalan sebagai bandara internasional . [URL],Kapan bandara 1 di Ambon ada perbaikan dan mungkin Melihat ada banyak perkembangan bandara di daerah lain rasanya sudah amat ketinggalan sebagai bandara internazionale,0.9334671497344971,0,[0.9228 0.0193 0.0025 0.0511 0.0043],0,[0.8207 0.063  0.007  0.102  0.0073],"{'internasional': 'internazionale', 'ketinggalan': 'ketinggalan'}",0.3945,,,,
2,pantesan ada notif di FB. hari ini 4 thn yg lalu video ini bikin gw makin yakin jatuh cinta pada pandangan pertama sama doi an awal adekgemas fever melanda,pantesan ada notif di hari ini 4 thn yg lalu video ini bikin gw makin yakin cade amore pada Visualizzare pertama sama doi an awal adekgemas fever melanda,0.9546349048614502,2,[0.0037 0.0011 0.9865 0.0065 0.0022],4,[0.0041 0.0011 0.033  0.0054 0.9563],"{'jatuh': 'cade', 'cinta': 'amore', 'pandangan': 'Visualizzare'}",1.1734,,,,
