text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat makan baru yang ada di dago atas gue kira makanan miliknya enak karena harga miliknya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat miliknya juga tidak selesa banget terlalu sempit,0.9776344895362854,2,[6.60e-03 4.00e-04 9.93e-01],2,[6.700e-03 4.000e-04 9.928e-01],"{'nyaman': 'selesa', 'nya': 'miliknya', 'makan': 'makan', 'deh': 'deh', 'banget': 'banget', 'harga': 'harga'}",2,0,1.3548,0.934,0.912,0.9884763053655624,0.5218324,0.96,0.02200000000000002,-0.04799999999999993,0.92,4.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak miliknya neraka saya tidak akan mau balik lagi ke tempat itu gila ya saya enggak ngerti kenapa tempat miliknya ditinggalkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus miliknya neraka tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9736493825912476,2,[2.800e-03 3.000e-04 9.969e-01],2,[1.900e-03 2.000e-04 9.978e-01],"{'gila': 'gila', 'sih': 'neraka', 'panas': 'panas', 'gue': 'saya', 'kayak': 'kayak', 'dibiarkan': 'ditinggalkan', 'nya': 'miliknya', 'ya': 'ya'}",2,2,0.9612,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan miliknya selalu pencitraan ketiga dia tidak pro rakyat sudahlah ku sudah terlanjur kecewa,0.9863624572753906,2,[1.200e-03 4.000e-04 9.985e-01],2,[1.000e-03 3.000e-04 9.987e-01],"{'kecewa': 'kecewa', 'nya': 'miliknya', 'pro': 'pro', 'ku': 'ku', 'rakyat': 'rakyat'}",2,2,0.9024,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya saya ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank saya kena semprot kelihatan banget pelayanan pelanggan nya tidak suka saya banyak bertanya padahal itu kan tugas mereka buat melayangkan saya,0.9585594534873962,2,[9.000e-04 4.000e-04 9.987e-01],2,[1.500e-03 7.000e-04 9.978e-01],"{'suka': 'suka', 'pelayanan': 'pelayanan', 'kena': 'kena', 'gua': 'saya', 'pelanggan': 'pelanggan', 'semprot': 'semprot', 'banget': 'banget', 'nama': 'nama', 'bank': 'bank'}",2,2,0.8911,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan karate kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.995985209941864,2,[1.000e-03 5.000e-04 9.985e-01],2,[1.000e-03 8.000e-04 9.983e-01],"{'trauma': 'trauma', 'karate': 'karate', 'latihan': 'latihan', 'disuruh': 'disuruh', 'kaki': 'kaki'}",2,2,0.8189,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hm kecewa kayak nya neraka tidak mau ke sana lagi,0.994739294052124,2,[7.40e-03 6.00e-04 9.92e-01],2,[3.500e-03 4.000e-04 9.961e-01],"{'kayak': 'kayak', 'sih': 'neraka', 'kecewa': 'kecewa', 'bogor': 'bogor', 'hotel': 'hotel', 'salak': 'salak', 'fasilitas': 'fasilitas'}",2,2,0.7653,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak moral banget sumpah,0.9961702227592468,2,[5.00e-04 6.00e-04 9.99e-01],2,[5.000e-04 5.000e-04 9.991e-01],"{'berfaedah': 'berfaedah', 'young': 'young', 'banget': 'banget', 'lex': 'lex'}",2,2,0.7256,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,saya pesimis sama lelaki terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega saya liat miliknya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting kayak gini he,0.9818562865257264,2,[1.800e-03 3.000e-04 9.979e-01],2,[8.000e-04 4.000e-04 9.988e-01],"{'pesimis': 'pesimis', 'sampah': 'sampah', 'manusia': 'lelaki', 'gini': 'gini', 'mengerti': 'mengerti', 'gue': 'saya', 'nya': 'miliknya', 'liat': 'liat'}",2,2,0.8486,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan miliknya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan miliknya sendiri bukan dari pihak saya,0.9901596903800964,2,[1.400e-03 7.000e-04 9.979e-01],2,[1.000e-03 7.000e-04 9.983e-01],"{'kecewa': 'kecewa', 'solusi': 'solusi', 'konfirmasi': 'konfirmasi', 'nya': 'miliknya', 'permasalahan': 'permasalahan', 'kesalahan': 'kesalahan'}",2,2,1.0272,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon miliknya sangat lambat dan tidak jelas,0.9918009042739868,2,[7.000e-04 1.200e-03 9.981e-01],2,[0.001  0.0022 0.9968],"{'lambat': 'lambat', 'respon': 'respon', 'terima': 'terima', 'nya': 'miliknya', 'pemesanan': 'pemesanan'}",2,2,0.8331,,,,,,,,,
