label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF,0.9768531918525696,4,[0.0631 0.0124 0.0158 0.007  0.9017],0,[0.6971 0.0611 0.047  0.0226 0.1722],{'biasku': 'biasku'},0.9345,0.8543027548991764,0.6486793524566884,0.9146255243064937,0.4425400170406134
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki bangku jabatan people belum pernah hear dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku tanya Kenapa servant people butuh seoran,0.7953206896781921,1,[0.0192 0.9417 0.0093 0.014  0.0159],1,[0.1892 0.4872 0.0205 0.0182 0.2849],"{'rakyat': 'people', 'mendengar': 'hear', 'Abdi': 'servant'}",0.5881,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ","yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",1.0,0,[0.4269 0.0084 0.1154 0.0348 0.4146],0,[0.4269 0.0084 0.1154 0.0348 0.4146],,0.02,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.7016 0.0274 0.0119 0.2043 0.0547],0,[0.7016 0.0274 0.0119 0.2043 0.0547],,0.02,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu if cewe jadi ukhti2 hijrah if cowo jadi abdi rasanya semua statement ku di sosmed pasti yang deny orang2 kek parahnya lagi if mereka pacaran bastard,0.9164964556694031,1,[0.0684 0.879  0.0097 0.034  0.0089],1,[0.2067 0.7125 0.0099 0.0435 0.0274],"{'kalo': 'if', 'bangsat': 'bastard', 'menyangkal': 'deny'}",0.3632,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Sometimes apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena gak semua beban bisa di tanggung oleh seorang Dialog Dini,0.9410077333450317,0,[0.7453 0.0616 0.0211 0.0234 0.1486],0,[0.7026 0.1865 0.03   0.0466 0.0343],"{'Dialog': 'Dialog', 'Terkadang': 'Sometimes'}",0.9934,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Karena kau cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka you jadi takut setengah mati pada Bahkan semilir yang segar pun kau badger dan kau,0.9614049792289734,3,[0.0457 0.0122 0.0169 0.9127 0.0125],3,[0.0411 0.0165 0.0157 0.9162 0.0105],"{'caci': 'badger', 'ISLAM': 'ISLAM', 'engkau': 'you'}",0.5511,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy which bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs Bukan persoalan Ada larangan atau Tapi apa Gunanya Saya ikut kalo Saya n,0.9712507724761963,1,[0.105  0.8352 0.0102 0.038  0.0115],1,[0.205  0.6847 0.0141 0.0833 0.0128],"{'n': 'n', 'Mahasiswa': 'Mahasiswa', 'Sy': 'Sy', 'sy': 'sy', 'yg': 'which'}",0.3042,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",if kamuu itu Cintanya juga ga kalah kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9563224911689758,2,[0.0608 0.0322 0.8203 0.0352 0.0514],2,[0.0625 0.0329 0.8183 0.036  0.0503],{'Kalo': 'if'},0.5634,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo pake lg dengerin music yg kluar slalu musiknya Bikin pengen joget wkwk Itu namanya autoreaction sih xD,0.9560383558273315,4,[0.0232 0.0107 0.0167 0.0076 0.9417],4,[0.0213 0.0142 0.0202 0.0089 0.9354],"{'wkwk': 'wkwk', 'autoreaction': 'autoreaction', 'musik': 'music', 'namanya': 'namanya'}",0.7218,,,,
0,[USERNAME] Gua kelas 1sd bawa hp karna buat hubungin mama. Tau tau dicolong temen. Gua diem aja bego emg. Bibi kantin ngabarin nyokap gua dan lgsg datang lah mama trs bapanya minta maaf. Eh beberapa hari kemudian anaknya pindah sklh. Ya,I kelas 1sd bawa hp karna buat hubungin Tau tau dicolong I diem aja bego Bibi kantin ngabarin Mother cave dan lgsg datang lah mama trs bapanya minta Eh beberapa hari kemudian anaknya pindah Ya,0.9417453408241272,0,[0.6649 0.1586 0.0277 0.0736 0.0753],0,[0.4684 0.0281 0.1188 0.0333 0.3514],"{'Gua': 'I', 'gua': 'cave', 'diem': 'diem', 'nyokap': 'Mother'}",0.7846,,,,
2,"[USERNAME] ""Cinta tak butuh pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."" Ini wejangan dari mbah [USERNAME]",tak butuh Pada saat you merasa pada saat itu cintamu mulai Ini wejangan dari mbah,0.8766661882400513,2,[0.0654 0.031  0.8157 0.0372 0.0506],2,[0.0639 0.0312 0.8176 0.036  0.0514],{'kau': 'you'},0.49,,,,
2,Romantis itu MANIS lebih manis lagi kalo dilakuin orang tg kita SAYANG. Semua bakal terasa seneng dan berbunga bunga wkwk. Seperti ada ribuan kupu kupu terbang yg ada dii perut kalo lagi ada yg ngeromantisin gitu.,romantic itu MANIS lebih manis lagi if dilakuin orang tg kita Semua bakal terasa happy dan berbunga bunga Seperti ada ribuan kupu kupu terbang yg ada dii stomach if lagi ada yg ngeromantisin,0.9481062293052673,2,[0.0632 0.0305 0.8176 0.0349 0.0539],2,[0.0935 0.0243 0.7468 0.0327 0.1027],"{'perut': 'stomach', 'seneng': 'happy', 'Romantis': 'romantic', 'kalo': 'if'}",0.5554,,,,
3,tapi ngeri sih ya emang akun gede dengan followers ribuan tuh kalo ngetweet yg jelek atau salah dikit yg hujat langsung banyak AKU TAKUT KALIAN UNFOLLOW AKU AJA PLEASE,tapi ngeri sih ya emang akun gede dengan followers ribuan tuh kalo ngetweet which jelek atau salah dikit which hujat direct banyak I AFRAID KALIAN UNFOLLOW I AJA PLEASE,0.9097057580947876,3,[0.0384 0.0237 0.0142 0.9107 0.013 ],1,[0.0607 0.8295 0.0069 0.0907 0.0122],"{'TAKUT': 'AFRAID', 'AKU': 'I', 'yg': 'which', 'langsung': 'direct'}",0.2862,,,,
0,Kapan bandara [USERNAME] 1 di Ambon ada perbaikan dan mungkin renofasi. Melihat ada banyak perkembangan bandara di daerah lain rasanya sudah amat ketinggalan sebagai bandara internasional . [URL],Kapan bandara [USERNAME] 1 di Ambon ada perbaikan dan mungkin renofasi. Melihat ada banyak perkembangan bandara di daerah lain rasanya sudah amat ketinggalan sebagai bandara internasional . [URL],1.0,4,[0.2852 0.2496 0.0096 0.0645 0.3911],4,[0.2852 0.2496 0.0096 0.0645 0.3911],,0.02,,,,
2,pantesan ada notif di FB. hari ini 4 thn yg lalu video ini bikin gw makin yakin jatuh cinta pada pandangan pertama sama doi an awal adekgemas fever melanda,pantesan ada notif di hari ini 4 thn yg lalu videos ini bikin gw makin yakin fall cinta pada pandangan pertama sama doi an awal adekgemas fever melanda,0.9582189917564392,2,[0.0644 0.0306 0.8139 0.0359 0.0552],2,[0.0675 0.0281 0.8049 0.0344 0.065 ],"{'jatuh': 'fall', 'video': 'videos'}",0.5243,,,,
4,"Jadi sejauh ini, udah ada 6 barang yang ku beli hasil flash salenya bukalapak. OMG dari harga yang Ratusan Ribu yang bahkan aku sbg sahabat misqin tak mampu beli, sekarang kebeli semua wkwkwkwk. Dan masih ada flash sale jam 6 sore, jam 8 malam dan jam 12 malam",Jadi sejauh udah ada 6 barang yang ku beli hasil flash salenya OMG dari price yang Ratusan Ribu yang bahkan aku sbg sahabat poor tak mampu sekarang kebeli semua Dan masih ada flash sale jam 6 jam 8 night dan jam 12 night,0.963927686214447,4,[0.0798 0.019  0.0064 0.0125 0.8822],4,[0.3857 0.1493 0.0157 0.0293 0.42  ],"{'misqin': 'poor', 'salenya': 'salenya', 'malam': 'night', 'flash': 'flash', 'harga': 'price'}",0.6249,,,,
2,"Semoga sehat selalu, dan yg terpenting selalu sayang dan cinta ama [USERNAME], walaupun gw itu followers baru tp kita bisa saling kenal krn kita keluarga we are family I love you",Semoga sehat dan yg terpenting selalu sayang dan love ama walaupun gw itu followers baru tp kita bisa saling kenal krn kita family we are family I love you,0.9725139141082764,2,[0.0601 0.0326 0.8201 0.0353 0.0519],2,[0.0604 0.0326 0.8197 0.0353 0.052 ],"{'cinta': 'love', 'we': 'we', 'keluarga': 'family'}",0.2966,,,,
1,si gendut kalau saya yang suruh ogah jalan! dasar kebo!,si gendut kalau saya yang suruh reluctant dasar,0.8736250400543213,1,[0.022  0.9368 0.0102 0.0123 0.0187],4,[0.0698 0.0602 0.0149 0.0089 0.8461],{'ogah': 'reluctant'},0.4901,,,,
3,"gue yg dulu bingung knp org bisa trauma berkepanjangan skrg baru sadar setelah ngerasain sendiri, kita ga speak up kdg krn takut dibilang lebay lah boong lah bla bla. ngatasin traumanya aja udh susah tmbh lg di judge org lain jd mending diem.",gue yg dulu bingung knp org bisa trauma prolonged skrg baru sadar setelah feel kita ga speak up kdg krn afraid dibilang lebay lah Boong lah bla ngatasin traumanya aja udh susah tmbh lg di judge org lain jd mending,0.976080596446991,3,[0.0468 0.0273 0.0108 0.9076 0.0075],3,[0.2351 0.0759 0.0156 0.6587 0.0147],"{'takut': 'afraid', 'berkepanjangan': 'prolonged', 'kdg': 'kdg', 'boong': 'Boong', 'traumanya': 'traumanya', 'ngerasain': 'feel'}",0.5703,,,,
