label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,jaringannya mati Tidak bisa ha aperto mobile io mau ke puskesmes trus piè mau mostrare carta,0.8068461418151855,1,[0.2056 0.7813 0.0016 0.0096 0.0019],1,[0.1032 0.8759 0.0019 0.0153 0.0037],"{'kartu': 'carta', 'piye': 'piè', 'tunjukkan': 'mostrare', 'Saya': 'io', 'mobile': 'mobile', 'dibuka': 'ha aperto'}",1,1,4.0622,0.759090909090909,0.4772727272727273,0.8324681368063797,2.7897790909090907,0.5772727272727273,0.28181818181818175,0.18181818181818177,0.6522727272727272
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",like un circle di atleta No duitnya buat pulire ini itu permettere atleta yang venire dari luar nazione bisa nyaman disini tp atleta sendiri kurang Non ancora beres pulire ehm sbagliato satu stadion manomesso perché timnya giocare a che cosa un,0.6987970471382141,1,[5.730e-02 9.372e-01 9.000e-04 3.100e-03 1.500e-03],0,[0.5996 0.3537 0.0053 0.0156 0.0258],"{'gak': 'No', 'dirusak': 'manomesso', 'Belum': 'Non ancora', 'atlit': 'atleta', 'Atlit': 'atleta', 'eh': 'ehm', 'biar': 'permettere', 'main': 'giocare a', 'of': 'di', 'What': 'che cosa', 'karna': 'perché', 'dateng': 'venire', 'negri': 'nazione', 'a': 'un', 'bebenah': 'pulire', 'salah': 'sbagliato'}",1,1,7.5892,,,,,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",Koq Risposta di sebut gak salah Il suo naso tambah gede negozio sorban tempo,0.2974615693092346,1,[0.0124 0.9455 0.0029 0.0225 0.0167],1,[0.0324 0.9367 0.0042 0.0056 0.0211],"{'Koq': 'Koq', 'Ngabalin': 'Risposta', 'kali': 'tempo', 'toko': 'negozio', 'hidungnya': 'Il suo naso'}",1,1,3.9941,,,,,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],Selamat Siang amico Messaggi tsb sudah accettato sì Accettare amore telah mempercayakan dan menggunakan layanan kami,0.6863731741905212,4,[2.100e-03 1.100e-03 6.500e-03 9.000e-04 9.893e-01],4,[0.0081 0.0055 0.0062 0.001  0.9793],"{'Sahabat': 'amico', 'Kiriman': 'Messaggi', 'diterima': 'accettato', 'ya': 'sì', 'kasih': 'amore', 'Terima': 'Accettare'}",4,4,4.4046,,,,,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari yap tepat di tanggal 23 Luglio dove mungkin di hari ini grotta merasa molto molto Grazie Grazie Grazie Grazie,0.6382790207862854,4,[0.0301 0.002  0.2149 0.002  0.751 ],0,[0.6873 0.0091 0.0593 0.0053 0.239 ],"{'makasih': 'Grazie', 'juli': 'Luglio', 'gua': 'grotta', 'sangatsangat': 'molto molto', 'Makasih': 'Grazie', 'dimana': 'dove'}",4,2,1.9889,,,,,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Per yang teriak teriak modificare andare a casa villaggio naik kereta kan stasiun il fuoco juga bagus ber AC 4 tahun quale copetnyaaahh byk candidato,0.6648992896080017,1,[0.0127 0.9234 0.0035 0.0239 0.0365],1,[0.0047 0.979  0.0022 0.0074 0.0068],"{'calonyaaahh': 'candidato', 'Buat': 'Per', 'ganti': 'modificare', 'ber': 'ber', 'yg': 'quale', 'apinya': 'il fuoco', 'kampung': 'villaggio', 'pulang': 'andare a casa'}",1,1,2.2393,,,,,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],studio religione quale tuntas jd nga trucco dalam Isa saja disebut2 dialquran poi l mau jelek2in Bisa baca Al-Corano,0.7542417049407959,1,[1.400e-03 9.935e-01 4.000e-04 4.200e-03 5.000e-04],1,[1.800e-03 9.918e-01 5.000e-04 4.800e-03 1.200e-03],"{'lu': 'l', 'ngarang': 'trucco', 'trus': 'poi', 'yg': 'quale', 'alquran': 'Al-Corano', 'belajar': 'studio', 'agama': 'religione'}",1,1,2.736,,,,,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk panjang jadi personale yang jauh lebih fiduciosamente apa yang di terwujud dan langgeng sama,0.9025852084159852,4,[0.0028 0.0024 0.0351 0.0019 0.9578],4,[0.003  0.0022 0.0184 0.0012 0.9752],"{'pribadi': 'personale', 'Hepibesdey': 'Hepibesdey', 'semoga': 'fiduciosamente'}",4,4,0.597,,,,,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[0.1227 0.8385 0.0021 0.0334 0.0033],1,[0.1227 0.8385 0.0021 0.0334 0.0033],,1,1,0.03,,,,,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ","Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",1.0,3,[0.0104 0.1056 0.0283 0.8459 0.0098],3,[0.0104 0.1056 0.0283 0.8459 0.0098],,3,3,0.03,,,,,,,,
