text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig
"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1,"meski masa kampanye sudah selesai , bukan berati habis pula upaya mengerek tingkat kedipilihan elektabilitas .",1.0,2,[0.1605 0.3947 0.4448],2,[0.1605 0.3947 0.4448],,1,1,0.05,0.8920634920634921,0.8317460317460318,0.956121358890382,8.740984126984127,0.8904761904761904,0.060317460317460325,0.0015873015873016927,0.8793650793650793
tidak enak,2,tidak Bello,0.6394853591918945,2,[0.0839 0.023  0.8931],2,[0.2726 0.0085 0.719 ],{'enak': 'Bello'},2,2,4.48,,,,,,,,
"restoran ini menawarkan makanan sunda . kami memesan ayam goreng , kangkung , sayur asam , ikan gurame goreng , ikan bakar , nasi goreng , karedok , tahu tempe , nasi putih , nasi merah etc minuman yang mereka tawarkan juga cukup variatif . rasa makanan enak dan harga murah . kami 9 dewasa dan 5 anak kecil , hanya menghabiskan 800,000",0,restoran ini menawarkan makanan sunda kami memesan ayam goreng kangkung sayur asam ikan gurame goreng ikan bakar nasi goreng karedok tahu tempe nasi putih nasi rosso etc minuman yang mereka tawarkan juga cukup variatif rasa makanan Bello dan prezzo poco costoso kami 9 maturo dan 5 anak kecil hanya menghabiskan,0.9724564552307128,0,[0.9935 0.0026 0.0039],0,[0.9487 0.0051 0.0461],"{'murah': 'poco costoso', 'enak': 'Bello', '9': '9', 'harga': 'prezzo', 'merah': 'rosso', 'dewasa': 'maturo', '5': '5'}",0,0,7.29,,,,,,,,
"lokasi di alun alun masakan padang ini cukup terkenal dengan kepala ikan kakap gule , biasa saya pesan nasi bungkus padang berisikan rendang , ayam pop dan perkedel . porsi banyak dan mengenyangkan",0,lokasi di alun alun masakan padang ini cukup famoso dengan kepala ikan kakap rosso biasa saya pesan nasi bungkus padang berisikan rendang ayam pop dan perkedel porsi banyak dan mengenyangkan,0.9739845991134644,0,[0.9895 0.0069 0.0036],0,[0.9906 0.0057 0.0037],"{'rendang': 'rendang', 'gule': 'rosso', 'terkenal': 'famoso', 'pop': 'pop'}",0,0,5.78,,,,,,,,
"betapa bejad kader gerindra yang anggota dprd mencabuli anak smp , rakyat harus cerdas partai mana yang harus di tengelamkan di 2019",2,betapa bejad kader gerindra yang anggota dprd mencabuli anak smp le persone harus cerdas partai mana yang harus di annegare di 2019,0.963762640953064,2,[0.0199 0.1562 0.8239],1,[0.0171 0.5576 0.4254],"{'rakyat': 'le persone', 'tengelamkan': 'annegare'}",2,2,5.2,,,,,,,,
"kampiun bistro berada di jalan . kebon kawung , sebelah kanan seberang stasiun kota bandung . harga makanan dan minuman nya sangat terjangkau . ada live musik juga . dan kalau beruntung , anda akan bertemu dengan yuke dewa19 di tempat ini .",0,kampiun bistro berada di jalan kebon kawung sebelah kanan seberang stasiun kota bandung harga makanan dan bere nya sangat conveniente ada live musik juga dan kalau fortunato anda akan bertemu dengan che schiffo dewa19 di tempat ini,0.9684662818908693,0,[0.9895 0.008  0.0026],0,[0.9905 0.0063 0.0031],"{'terjangkau': 'conveniente', 'yuke': 'che schiffo', 'beruntung': 'fortunato', 'minuman': 'bere'}",0,0,6.26,,,,,,,,
kamar nya sempit tidak ada tempat menyimpan barang malah menambah barang . by the way ini kipas2 mau diletakkan mana . mana uchiwa segede ini pula .,2,kamar nya limitato tidak ada tempat menyimpan merce malah menambah merce by the way ini kipas2 mau diletakkan mana mana uchiwa segede ini pula,0.9717295169830322,2,[0.0289 0.031  0.9401],2,[0.0273 0.1405 0.8321],"{'sempit': 'limitato', 'barang': 'merce'}",2,2,5.47,,,,,,,,
"saya tadi mampir ke restauran ini , mungkin letak nya strategis , pertama masuk dikasih senyuman manis sama mbak yang ramah , di situ pun saya memesan chiken grill , es thai tea dan super duper ice cream . enak . saya suka .",0,saya tadi mampir ke restauran ini mungkin letak nya strategico pertama masuk dikasih senyuman manis sama mbak yang amichevole di situ pun saya memesan chiken grill es thai tea dan super duper ice cream Bello saya piace,0.9639480113983154,0,[0.9952 0.0025 0.0023],0,[0.99   0.0059 0.0041],"{'enak': 'Bello', 'strategis': 'strategico', 'suka': 'piace', 'ramah': 'amichevole'}",0,0,6.15,,,,,,,,
jangan percaya dengan agama buddha . agama itu saja tidak punya tuhan . agama sesat itu .,2,jangan percaya dengan agama buddha agama itu saja tidak punya tuhan agama pervertito itu,0.9958333373069764,2,[0.0114 0.0065 0.9821],2,[0.0101 0.0065 0.9834],{'sesat': 'pervertito'},2,0,4.75,,,,,,,,
kafe ini menawarkan sesuatu hal yang sebelumnya saya tak suka tapi akhirnya saya bisa rekomendasi karena enak rasanya yaitu terong goreng ! di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat :,0,kafe ini menawarkan sesuatu hal yang sebelumnya saya tak piace tapi akhirnya saya bisa rekomendasi karena Bello rasanya yaitu terong goreng di sini saya baru bisa menikmati terong yang diolah sehingga terasa lezat,0.973839521408081,0,[0.9908 0.0047 0.0044],0,[0.9911 0.0044 0.0045],"{'suka': 'piace', 'enak': 'Bello'}",0,0,5.75,,,,,,,,
yusri seorang ibu yang tidak tahu diri . sudah tidak punya uang mebel lagi . melihat muka ibu dikaca . sudah dibantu tidak terima kasih . dasar maling .,2,yusri seorang ibu yang tidak tahu diri sudah tidak punya i soldi mebel lagi melihat progredire ibu dikaca sudah dibantu tidak terima kasih dasar maling,0.9767451286315918,2,[0.0137 0.0051 0.9812],2,[0.0132 0.0108 0.976 ],"{'muka': 'progredire', 'uang': 'i soldi'}",2,0,5.49,,,,,,,,
menemukan bocah-bocah sampai yang komentar di yutub pakai kata-kata kotor begitu . yang mengajarkan siapa dah ? sedih :,2,menemukan sampai yang komentar di yutub pakai sporco begitu yang mengajarkan siapa dah sedih,0.8645657300949097,2,[0.007  0.0245 0.9685],1,[0.1129 0.6541 0.233 ],{'kotor': 'sporco'},1,2,4.97,,,,,,,,
indomaret adalah penjahat anyar dalam dunia perdagangan,2,indomaret adalah penjahat nuovo dalam dunia perdagangan,0.8190451860427856,2,[0.036  0.0623 0.9017],2,[0.1918 0.1651 0.643 ],{'anyar': 'nuovo'},2,2,4.44,,,,,,,,
"malah .. !!! tren si tukang fitnah bicara iman , dasar akun sapi yang takut kehilangan kursi cawapres prabowo makanya busukkan nama ahy dan say",2,malah tren si tukang calunnia bicara iman dasar akun sapi yang takut kehilangan kursi cawapres prabowo makanya marcire nama ahy dan say,0.9649335741996764,2,[0.0079 0.0135 0.9786],2,[0.0122 0.1972 0.7906],"{'fitnah': 'calunnia', 'si': 'si', 'busukkan': 'marcire'}",2,2,6.51,,,,,,,,
"tahun 2018 , bri ingin akuisisi 2 bank cilik",1,tahun 2018 bri ingin acquisizione 2 bank cilik,0.940487504005432,1,[0.0068 0.9889 0.0043],1,[0.0115 0.9834 0.0051],{'akuisisi': 'acquisizione'},1,1,4.87,,,,,,,,
pilihan bakso nya sangat beragam dan kelebihan nya adalah kita bebas memilih jenis dan jumlah bakso yang kita inginkan,0,pilihan bakso nya sangat varietà dan vantaggi nya adalah kita bebas memilih jenis dan jumlah bakso yang kita inginkan,0.9842575192451476,0,[0.9577 0.0313 0.0109],0,[0.9255 0.0562 0.0183],"{'kelebihan': 'vantaggi', 'beragam': 'varietà'}",0,0,5.11,,,,,,,,
"dulu mau modalin , sediakan tempat , dan carikan pembeli . kok sekarang sindir warga zaman now bergantung pada pemerintah . tidak jelas banget .",2,dulu mau modalin sediakan tempat dan carikan pembeli kok sekarang scherzare warga zaman now bergantung pada governo tidak jelas banget,0.9797977209091188,2,[0.0127 0.006  0.9814],2,[0.0609 0.0098 0.9294],"{'pemerintah': 'governo', 'sindir': 'scherzare'}",2,2,5.43,,,,,,,,
"tempa nya sangat memanjakan pengunjung . dengan suasana pedesaan , banyak nya pohon-pohon menambang kesejukan di tempat ini . tapi , pengunjung memang harus siap dengan harga makanan dan minuman yang diperjualbelikan di sini",0,tempa nya sangat memanjakan pengunjung dengan suasana pedesaan banyak nya menambang freschezza di tempat ini tapi pengunjung memang harus siap dengan prezzo makanan dan minuman yang diperjualbelikan di sini,0.9819930791854858,0,[0.9936 0.0036 0.0029],0,[0.9936 0.0039 0.0025],"{'harga': 'prezzo', 'kesejukan': 'freschezza'}",0,0,5.49,,,,,,,,
"musnahkan lgbt , gay , homo , dan lesbian dari muka bumi ini . ancaman terbesar untuk umat manusia dibumi . jika dibiarkan manusia akan punah .",2,distruggere lgbt gay homo dan lesbian dari muka bumi ini ancaman terbesar untuk umat uomo dibumi jika dibiarkan uomo akan estinto,0.9539005160331726,2,[0.0168 0.008  0.9752],2,[0.0589 0.1086 0.8326],"{'punah': 'estinto', 'manusia': 'uomo', 'musnahkan': 'distruggere'}",2,1,5.52,,,,,,,,
"banyak pilihan menu khas bakso , bakso rawit dan bakso granat yang pedas , dan sop iga nya mantap , dengan banyak pilihan minuman , yang saya suka adalah rainbow jely",0,banyak scelta menu khas bakso bakso rawit dan bakso granat yang pedas dan sop iga nya costante dengan banyak scelta minuman yang saya piace adalah rainbow jely,0.9495643973350524,0,[0.9944 0.0035 0.0022],0,[0.9942 0.0034 0.0025],"{'mantap': 'costante', 'suka': 'piace', 'pilihan': 'scelta'}",0,0,5.71,,,,,,,,
"piring kaleng , gelas kaleng , makanan rumahan , es cincau , dan yang terpenting , cumi masak hitam yang tak terkalahkan oleh rumah makan di mana pun . makan ala prasmanan dengan pilihan nasi merah yang cocok bagi pelaku diet , barisan lauk pauk yang bisa kita pilih semau nya , pilihan sambal dan lalapan yang bisa diambil sebanyak kita mau , dan harga yang sangat ramah kantong .",0,piring kaleng gelas kaleng makanan rumahan es cincau dan yang più importante cumi masak hitam yang tak terkalahkan oleh rumah makan di mana pun makan ala prasmanan dengan pilihan nasi merah yang adatto bagi pelaku diet barisan lauk pauk yang bisa kita pilih semau la sua pilihan salsa al peperoncino dan verdure fresche yang bisa diambil sebanyak kita mau dan prezzo yang sangat amichevole kantong,0.9638315439224244,0,[0.9947 0.0025 0.0028],0,[0.9942 0.0022 0.0036],"{'harga': 'prezzo', 'ramah': 'amichevole', 'cocok': 'adatto', 'sambal': 'salsa al peperoncino', 'terpenting': 'più importante', 'lalapan': 'verdure fresche', 'nya': 'la sua'}",0,0,7.72,,,,,,,,
"pertama datang ke sini karena rekomendasi dari medsos . tertarik melihat minuman dengan aromanis diatas nya dan kue cantik lainnya . tempat nya di lantai 3 mayfair building . jangan sampai kelewat ya , karena pertama ke sana cukup kesulitan . begitu masuk ke tempat nya kata yang terlintas adalah manis . mulai dari dekorasi dan konsep yang diterapkan sampai menu makanan nya .",0,pertama datang ke sini karena raccomandazione dari medsos interessato melihat minuman dengan aromanis diatas la sua dan kue cantik lainnya tempat la sua di lantai 3 mayfair building jangan sampai kelewat ya karena pertama ke sana cukup kesulitan begitu masuk ke tempat la sua kata yang terlintas adalah dolce mulai dari arredamento dan konsep yang diterapkan sampai menu makanan la sua,0.9171012043952942,0,[0.9915 0.0023 0.0062],0,[0.9378 0.0293 0.0329],"{'tertarik': 'interessato', 'rekomendasi': 'raccomandazione', 'dekorasi': 'arredamento', 'manis': 'dolce', 'nya': 'la sua'}",0,0,7.71,,,,,,,,
senang nya pakai kartu,0,senang nya pakai kartu,1.0,2,[0.3054 0.0283 0.6663],2,[0.3054 0.0283 0.6663],,2,2,0.02,,,,,,,,
trans corp kembali berniat membuka transmart,1,trans corp kembali berniat membuka trasferire,0.9515128135681152,1,[0.0076 0.9836 0.0088],1,[0.0059 0.9876 0.0065],{'transmart': 'trasferire'},1,1,5.31,,,,,,,,
: kalau subscriber youtube netmediatama mencapai 1 juta .,1,kalau iscritti youtube netmediatama mencapai 1 juta,0.8563863039016724,1,[0.0055 0.9852 0.0093],1,[0.0293 0.9595 0.0112],{'subscriber': 'iscritti'},1,1,5.02,,,,,,,,
gue bingung sama pemerintahan jokowi . banyak orang yang muji dia padahal dia cuma bisa merusak negara kita saja . aneh,2,io bingung sama pemerintahan jokowi banyak orang yang muji dia padahal dia cuma bisa merusak negara kita saja aneh,0.9842032194137572,2,[0.0136 0.0045 0.9819],2,[0.0272 0.0065 0.9663],{'gue': 'io'},2,2,4.95,,,,,,,,
"kalau melihat desain nya pixel 3 sih biasa saja , tapi iklan nya ini bagus banget sampai bikin barang nya jadi terlihat wah banget",0,kalau melihat design nya pixel 3 sih biasa saja tapi annuncio nya ini bagus banget sampai bikin barang nya jadi terlihat wah banget,0.9780994653701782,0,[0.9668 0.0037 0.0295],0,[0.9639 0.0038 0.0323],"{'iklan': 'annuncio', 'desain': 'design'}",0,0,5.52,,,,,,,,
"menu-menu tradisional sunda dengan tempat dan wadah yang unik makanan nya banyak ragam minuman dan makanan khas sunda yang jarang dijumpai di luar , ternyata ada di sini .",0,tradisional sunda dengan tempat dan wadah yang unico makanan nya banyak varietà minuman dan makanan khas sunda yang jarang dijumpai di luar ternyata ada di sini,0.9811699390411376,0,[0.9881 0.007  0.0049],0,[0.9755 0.0124 0.0121],"{'ragam': 'varietà', 'unik': 'unico'}",0,0,5.89,,,,,,,,
"ampera benhil . pegawai judes , banyak asap rokok , kotor . ini cabang ampera yang paling mengecewakan .",2,ampera benhil pegawai judes banyak asap rokok sporco ini cabang ampera yang paling deludente,0.819240391254425,2,[0.0121 0.0095 0.9785],2,[0.0763 0.1079 0.8158],"{'mengecewakan': 'deludente', 'kotor': 'sporco'}",2,2,5.61,,,,,,,,
salut,0,salut,1.0,2,[0.4833 0.0201 0.4966],2,[0.4833 0.0201 0.4966],,0,0,0.02,,,,,,,,
"makanan nya enak , porsi nya lumayan banyak , suasana nya juga enak , di tengah nya ada taman dan bergaya zaman dulu , pada waktu datang dikasih roti untuk makanan pembuka",0,makanan nya Bello porzione nya lumayan banyak suasana nya juga Bello di tengah nya ada Parco dan bergaya zaman dulu pada waktu datang dikasih roti untuk makanan pembuka,0.9416983127593994,0,[0.995  0.0023 0.0026],0,[0.9927 0.0031 0.0043],"{'enak': 'Bello', 'taman': 'Parco', 'porsi': 'porzione'}",0,0,6.42,,,,,,,,
sangat tidak profesional institusi . hanya membuat kecewa dan sangat tidak rapi anda bermain . kalau mau main rapi jangan ada kotor sedikit pun,2,sangat tidak profesional istituzione hanya membuat kecewa dan sangat tidak rapi anda bermain kalau mau main rapi jangan ada kotor sedikit pun,0.9898945093154908,2,[0.0114 0.0046 0.984 ],2,[0.0143 0.0047 0.981 ],{'institusi': 'istituzione'},2,2,5.18,,,,,,,,
