label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,This adalah hal yang paling happy saat biasku photo bersama ELF,0.8296806812286377,4,[7.100e-03 3.000e-04 1.780e-02 1.900e-03 9.728e-01],4,[1.050e-02 5.000e-04 1.550e-02 2.100e-03 9.714e-01],"{'membahagiakan': 'happy', 'Ini': 'This', 'foto': 'photo'}",1.2655,0.9801192842942346,0.6921329167850042,0.791805443225666,0.8795881283726215
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",from pertama occupy seat position people belum pernah mendengar dan melihat hasil work dan prestasi nyata yang anda berikan semasa occupy seat tanya Why servant people butuh seoran,0.6515283584594727,1,[0.0071 0.985  0.0032 0.0029 0.0017],1,[0.0822 0.8643 0.0168 0.0108 0.0259],"{'Kenapa': 'Why', 'rakyat': 'people', 'jabatan': 'position', 'menduduki': 'occupy', 'bangku': 'seat', 'kerja': 'work', 'Abdi': 'servant', 'Dari': 'from'}",0.9286,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah if indeed belum berani cut hair short ya aja if indeed udah yakin dan bisa comfortable Selamat jangan forget berdoa sleep which nyenyak mimpi which beautiful good night cit,0.6865831613540649,3,[0.0963 0.003  0.1005 0.7403 0.0598],0,[0.537  0.081  0.013  0.3499 0.0191],"{'Good': 'good', 'yaudah': 'yaudah', 'potong': 'cut', 'kalo': 'if', 'indah': 'beautiful', 'Tidur': 'sleep', 'nyaman': 'comfortable', 'rambut': 'hair', 'lupa': 'forget', 'yg': 'which', 'nyenyak': 'nyenyak', 'pendek': 'short', 'emang': 'indeed'}",0.5587,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,1,[0.129  0.8436 0.002  0.0122 0.0133],1,[0.129  0.8436 0.002  0.0122 0.0133],,0.09,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu if girl jadi ukhti2 migrate if cowo jadi servant rasanya semua statement ku di sosmed pasti yang deny orang2 cake severity lagi if mereka pacaran bastard,0.8118308186531067,1,[0.0713 0.9075 0.0021 0.0174 0.0017],1,[0.2564 0.7106 0.0085 0.0131 0.0115],"{'menyangkal': 'deny', 'abdi': 'servant', 'kek': 'cake', 'asshole': 'asshole', 'kalo': 'if', 'cewe': 'girl', 'out': 'out', 'bangsat': 'bastard', 'parahnya': 'severity', 'hijrah': 'migrate'}",0.9819,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Sometimes apa yang you find dan have saat ada orang lain yang menginginkanya Apapun Karena gak semua burden bisa di tanggung oleh seorang Dialog early,0.8787935972213745,0,[9.764e-01 8.000e-04 4.800e-03 1.410e-02 4.000e-03],0,[0.63   0.3358 0.0083 0.0154 0.0105],"{'Terkadang': 'Sometimes', 'kau': 'you', 'Dini': 'early', 'beban': 'burden', 'Dialog': 'Dialog', 'miliki': 'have', 'dapati': 'find'}",1.2659,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",IMAGERY ISLAM because you cuma tiang yang stake yesterday afternoon dan pangkalmu cuma saja maka engkau jadi takut setengah dead pada Even breezy yang segar pun you caci dan you,0.8441876173019409,3,[1.180e-02 3.250e-02 7.300e-03 9.475e-01 8.000e-04],3,[0.0146 0.2398 0.0105 0.7336 0.0016],"{'semilir': 'breezy', 'dipancang': 'stake', 'Karena': 'because', 'sore': 'afternoon', 'pangkalmu': 'pangkalmu', 'mati': 'dead', 'Bahkan': 'Even', 'TAMSIL': 'IMAGERY', 'kau': 'you', 'kemarin': 'yesterday'}",0.809,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy which bukan Mahasiswa UMI ikut enter room Studying dan mengerjakan Tugas Studying sprt Mhs No persoalan Exist larangan atau But apa Gunanya I ikut kalo I n,0.7879193425178528,1,[0.0761 0.6151 0.0035 0.3003 0.005 ],1,[0.2006 0.6146 0.0042 0.1696 0.0109],"{'kah': 'kah', 'Gunanya': 'Gunanya', 'Saya': 'I', 'sy': 'sy', 'Mahasiswa': 'Mahasiswa', 'Bolehkah': 'Bolehkah', 'Kuliah': 'Studying', 'ruang': 'room', 'Sy': 'Sy', 'masuk': 'enter', 'Tapi': 'But', 'Bukan': 'No', 'gini': 'gini', 'Ada': 'Exist', 'yg': 'which'}",1.3591,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo you itu Cintanya juga ga lost kok sama yang because sebenernya bagi aku kalian itu love satu love,0.9142161011695862,2,[0.001  0.0017 0.9909 0.0019 0.0046],2,[0.0026 0.0019 0.9911 0.0013 0.003 ],"{'kalah': 'lost', 'Cintanya': 'Cintanya', 'kamuu': 'you', 'cinta': 'love', 'Karena': 'because'}",0.8224,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo wear lg listen music yg out always musiknya Make pengen dance wkwk that namanya autoreaction sih xD,0.7071653604507446,4,[0.0034 0.002  0.0149 0.002  0.9777],4,[0.2487 0.0102 0.0162 0.005  0.7199],"{'joget': 'dance', 'xD': 'xD', 'Bikin': 'Make', 'autoreaction': 'autoreaction', 'slalu': 'always', 'musiknya': 'musiknya', 'pengen': 'pengen', 'kluar': 'out', 'musik': 'music', 'Itu': 'that', 'dengerin': 'listen', 'pake': 'wear'}",0.7689,,,,
