text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat makan baru yang ada di dago atas gue kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9986563920974731,2,[9.400e-03 4.000e-04 9.903e-01],2,[9.900e-03 3.000e-04 9.898e-01],"{'nyaman': 'nyaman', 'banget': 'banget', 'gue': 'gue'}",2,2,3.0075,0.948,0.9,0.9839695408344268,0.6731409999999999,0.936,0.04799999999999993,-0.03600000000000003,0.958,1.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih gue tidak akan mau balik lagi ke tempat itu gila ya gue enggak ngerti kenapa tempat nya dibiarkan meminda sudah begitu kotor pula kalau meminda paras kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.9926007986068726,2,[1.100e-03 3.000e-04 9.986e-01],2,[1.000e-03 2.000e-04 9.988e-01],"{'panas': 'meminda', 'kehujanan': 'kehujanan', 'kepanasan': 'paras'}",2,2,0.8544,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro sukma sudahlah ku sudah keguguran kecewa,0.986633598804474,2,[1.100e-03 3.000e-04 9.986e-01],2,[1.000e-03 3.000e-04 9.987e-01],"{'rakyat': 'sukma', 'terlanjur': 'keguguran'}",2,2,0.7366,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank gua kena semprot kelihatan banget kerja pelanggan nya tidak menggemari gua banyak bertanya padahal itu kan tugas mereka buat mematikan gua,0.9910258054733276,2,[9.000e-04 6.000e-04 9.986e-01],2,[6.000e-04 5.000e-04 9.989e-01],"{'suka': 'menggemari', 'melayangkan': 'mematikan', 'pelayanan': 'kerja', 'semprot': 'semprot'}",2,2,0.8494,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan kungfu kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan kungfu lagi,0.9614508152008056,2,[8.000e-04 7.000e-04 9.985e-01],2,[6.000e-04 6.000e-04 9.987e-01],"{'disuruh': 'disuruh', 'karate': 'kungfu'}",2,2,0.7803,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan tinggalan nya juga biasa banget padahal kata nya hotel bintang lima hm kecewa perahu nya sih tidak mau ke sana lagi,0.977270483970642,2,[2.500e-03 3.000e-04 9.972e-01],2,[1.600e-03 3.000e-04 9.981e-01],"{'kayak': 'perahu', 'fasilitas': 'tinggalan', 'bogor': 'bogor'}",2,2,0.7459,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak manusia kayak gitu merusak moral banget komitmen,0.9753906726837158,2,[7.000e-04 5.000e-04 9.988e-01],2,[7.000e-04 4.000e-04 9.989e-01],"{'berfaedah': 'manusia', 'sumpah': 'komitmen'}",2,2,0.6736,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak perairan jadi korban kita buang sampah ke perairan tidak tega gue liat nya kadang tidak menafsirkan juga sebenarnya yang ada itu pada mikirin enggak sih kesibukan penting perahu gini he,0.9701895713806152,2,[1.300e-03 4.000e-04 9.983e-01],2,[7.00e-04 3.00e-04 9.99e-01],"{'laut': 'perairan', 'urusan': 'kesibukan', 'kayak': 'perahu', 'mengerti': 'menafsirkan'}",2,2,0.8311,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya menegah karena pengeditan biodata pelancong dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9908116459846495,2,[1.400e-03 7.000e-04 9.979e-01],2,[1.400e-03 5.000e-04 9.981e-01],"{'kecewa': 'menegah', 'penumpang': 'pelancong', 'nya': 'nya', 'konfirmasi': 'konfirmasi'}",2,2,0.931,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat pulang dan tidak jelas,0.9954485893249512,2,[0.0015 0.002  0.9965],2,[9.000e-04 2.500e-03 9.966e-01],"{'menelpon': 'menelpon', 'lambat': 'pulang'}",2,2,0.809,,,,,,,,,
