text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin gue datang ke tempat makan baru yang ada di dago atas gue kira makanan nya enak karena harga nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9986563920974731,2,[0.0448 0.0016 0.9536],2,[0.0882 0.0026 0.9092],"{'mahal': 'mahal', 'deh': 'deh', 'harga': 'harga', 'nya': 'nya', 'banget': 'banget', 'gue': 'gue', 'dago': 'dago'}",2,2,0.5476,0.914,0.894,0.9801565272808076,0.3667566,0.93,0.020000000000000018,-0.03600000000000003,0.936,4.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak nya sih gue tidak akan mau balik lagi ke tempat itu gila ya gue enggak ngerti kenapa tempat nya dibiarkan panas sudah begitu kotor pula kalau panas hot kalau hujan kehujanan harus nya sih tidak ada restoran yang kayak gitu tidak tahu deh apa yang mereka jual,0.996829867362976,2,[0.0166 0.0011 0.9823],2,[0.0314 0.0021 0.9664],"{'gila': 'gila', 'dibiarkan': 'dibiarkan', 'kepanasan': 'hot', 'panas': 'panas', 'gitu': 'gitu', 'kotor': 'kotor', 'ngerti': 'ngerti', 'gue': 'gue', 'hujan': 'hujan', 'kehujanan': 'kehujanan', 'jual': 'jual', 'nya': 'nya', 'deh': 'deh'}",2,2,0.4471,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan nya selalu pencitraan ketiga dia tidak pro rakyat sudahlah my sudah terlanjur kecewa,0.973101794719696,2,[0.0075 0.0012 0.9913],2,[0.0093 0.0016 0.9891],"{'rakyat': 'rakyat', 'ketiga': 'ketiga', 'janji': 'janji', 'pro': 'pro', 'nya': 'nya', 'ku': 'my', 'pencitraan': 'pencitraan'}",2,2,0.37,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya I ke bank buat ngurusin pembuatan rekening baru nama nya juga orang pertama kali ya baru ke bank I kena semprot kelihatan banget pelayanan pelanggan nya tidak suka I banyak bertanya padahal itu kan tugas mereka buat melayangkan I,0.9669351577758788,2,[0.0077 0.0012 0.9911],2,[0.0152 0.0022 0.9826],"{'semprot': 'semprot', 'suka': 'suka', 'ngurusin': 'ngurusin', 'kena': 'kena', 'nya': 'nya', 'banget': 'banget', 'pelayanan': 'pelayanan', 'nama': 'nama', 'gua': 'I', 'melayangkan': 'melayangkan', 'kalinya': 'kalinya', 'bank': 'bank', 'ya': 'ya', 'kali': 'kali'}",2,2,0.3874,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu latihan karate kata nya biar gue bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki gue langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.995985209941864,2,[0.0102 0.005  0.9848],2,[0.0275 0.0378 0.9347],"{'trauma': 'trauma', 'langsung': 'langsung', 'cedera': 'cedera', 'karate': 'karate', 'gue': 'gue', 'iseng': 'iseng', 'penjahat': 'penjahat', 'latihan': 'latihan'}",2,2,0.4283,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya hotel bintang lima hm kecewa kayak nya sih tidak mau ke sana lagi,0.9976797699928284,2,[0.0389 0.0014 0.9597],2,[0.032  0.0018 0.9662],"{'kecewa': 'kecewa', 'hotel': 'hotel', 'banget': 'banget', 'nya': 'nya', 'hm': 'hm', 'bintang': 'bintang', 'fasilitas': 'fasilitas', 'bogor': 'bogor', 'kayak': 'kayak'}",2,2,0.4473,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak berfaedah kayak gitu merusak moral banget sumpah,0.9961702227592468,2,[0.0055 0.0016 0.9929],2,[0.0093 0.0027 0.988 ],"{'merusak': 'merusak', 'berfaedah': 'berfaedah', 'gitu': 'gitu', 'lex': 'lex', 'young': 'young', 'kayak': 'kayak'}",2,2,0.4013,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama man terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega gue liat nya kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak sih affairs penting kayak gini he,0.9863727688789368,2,[0.0056 0.001  0.9934],2,[0.0103 0.0019 0.9878],"{'korban': 'korban', 'gue': 'gue', 'pesimis': 'pesimis', 'liat': 'liat', 'manusia': 'man', 'laut': 'laut', 'nya': 'nya', 'mengerti': 'mengerti', 'mikirin': 'mikirin', 'urusan': 'affairs', 'tega': 'tega'}",2,2,0.4773,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solutions permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solutions untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya,0.9665329456329346,2,[4.900e-03 9.000e-04 9.943e-01],2,[0.0053 0.001  0.9937],"{'solusi': 'solutions', 'kecewa': 'kecewa', 'dihubungi': 'dihubungi', 'dibiarkan': 'dibiarkan', 'biodata': 'biodata', 'pelanggan': 'pelanggan', 'detik': 'detik', 'pengeditan': 'pengeditan', 'nya': 'nya', 'permasalahan': 'permasalahan', 'by': 'by'}",2,2,0.5103,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas,1.0,2,[0.0029 0.0026 0.9945],2,[0.0051 0.0068 0.9881],"{'respon': 'respon', 'menelpon': 'menelpon', 'lambat': 'lambat', 'nya': 'nya', 'bukti': 'bukti', 'kunjung': 'kunjung', 'tiket': 'tiket', 'terima': 'terima'}",2,2,0.3845,,,,,,,,,
