label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling heureux saat biasku foto bersama ELFE,0.9213039875030518,4,[2.200e-03 9.000e-04 7.300e-03 1.100e-03 9.886e-01],4,[0.1033 0.0045 0.281  0.0144 0.5969],"{'ELF': 'ELFE', 'membahagiakan': 'heureux'}",1.3871,0.9875035501278046,0.6901448452144278,0.8595348695899844,1.2145323203635332
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki siège position personnes belum pernah ecouter dan melihat résultats kerja dan prestasi bobine yang anda berikan semasa menduduki siège tanya Kenapa Abdi personnes butuh seoran,0.7285762429237366,1,[3.480e-02 9.615e-01 1.100e-03 1.600e-03 9.000e-04],1,[0.4035 0.44   0.0215 0.0242 0.1107],"{'rakyat': 'personnes', 'jabatan': 'position', 'bangku': 'siège', 'mendengar': 'ecouter', 'hasil': 'résultats', 'nyata': 'bobine'}",0.4114,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah kalo emang belum berani potong rambut pendek oui aja kalo emang udah yakin dan bisa nyaman Selamat jangan Oubliez prier somnolent qui nyenyak mimpi qui belle bon night cit,0.8826134204864502,3,[0.0646 0.0088 0.0487 0.7725 0.1053],4,[0.088  0.0369 0.1033 0.0445 0.7273],"{'berdoa': 'prier', 'Good': 'bon', 'emang': 'emang', 'lupa': 'Oubliez', 'nyenyak': 'nyenyak', 'Tidur': 'somnolent', 'yg': 'qui', 'indah': 'belle', 'ya': 'oui'}",1.8952,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",Jadi w euh intinya yg w usahain kerja ternyata zéro Presentasi heures maman baru grasak grusuk heures Jiaaaaaaann,0.6626154184341431,3,[0.2761 0.0939 0.0042 0.6215 0.0043],0,[0.7231 0.1774 0.0032 0.0877 0.0087],"{'jam': 'heures', 'eh': 'euh', 'gw': 'w', 'intinya': 'intinya', 'zero': 'zéro', 'ku': 'maman'}",2.562,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang tourner out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi serveur rasanya semua déclaration ku di sosmed pasti yang Nier orang2 gâteau parahnya lagi kalo mereka pacaran bâtard,0.9371899962425232,1,[2.350e-02 9.643e-01 4.000e-04 1.080e-02 1.000e-03],3,[0.1369 0.1136 0.0024 0.7435 0.0037],"{'bangsat': 'bâtard', 'statement': 'déclaration', 'menyangkal': 'Nier', 'turned': 'tourner', 'abdi': 'serveur', 'kek': 'gâteau'}",1.454,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",quelquefois apa yang kau trouver dan miliki saat ada orang lain yang menginginkanya Apapun Auto gak semua fardeau bisa di tanggung oleh seorang Dialog Dini,0.9195250272750854,0,[9.819e-01 8.000e-04 1.060e-02 4.100e-03 2.600e-03],0,[0.861  0.0147 0.0674 0.0158 0.0411],"{'Terkadang': 'quelquefois', 'beban': 'fardeau', 'Apapun': 'Apapun', 'Karena': 'Auto', 'dapati': 'trouver'}",1.0575,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",IMAGERIE ISLAM Auto que cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah mati pada Mme frais yang Frais pun que caci dan que,0.900148332118988,3,[0.0151 0.0045 0.0052 0.9736 0.0016],3,[0.0472 0.1341 0.0066 0.8077 0.0044],"{'semilir': 'frais', 'kau': 'que', 'segar': 'Frais', 'TAMSIL': 'IMAGERIE', 'Karena': 'Auto', 'Bahkan': 'Mme'}",1.1629,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",cadeau gini Oui balik Bolehkah kah sy yg bukan Étudiant IHM ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs Non persoalan Ada larangan atau Tapi apa Gunanya je ikut kalo je n,0.9346888661384583,1,[1.260e-02 9.552e-01 8.000e-04 3.050e-02 9.000e-04],1,[0.0372 0.6563 0.0024 0.3017 0.0025],"{'Bukan': 'Non', 'gini': 'gini', 'Skrg': 'cadeau', 'Saya': 'je', 'UMI': 'IHM', 'sprt': 'sprt', 'Sy': 'Oui', 'Mhs': 'Mhs', 'Mahasiswa': 'Étudiant'}",1.2324,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo que itu Cintanya juga Géorgie kalah kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9528884291648865,2,[7.000e-04 4.000e-04 9.954e-01 1.300e-03 2.200e-03],2,[1.600e-03 7.000e-04 9.934e-01 2.200e-03 2.100e-03],"{'kamuu': 'que', 'Cintanya': 'Cintanya', 'ga': 'Géorgie'}",1.9621,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo porter lg dengerin musik qui kluar slalu musiknya Bikin pengen joget wkwk Itu namanya autoreaction sih xD,0.9247016310691833,4,[0.0036 0.0013 0.0391 0.0064 0.9495],4,[0.0047 0.0033 0.0137 0.0108 0.9675],"{'wkwk': 'wkwk', 'xD': 'xD', 'pake': 'porter', 'yg': 'qui', 'Bikin': 'Bikin', 'musiknya': 'musiknya', 'namanya': 'namanya', 'sih': 'sih'}",1.1871,,,,
