label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
1,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,USERNAME jaringannya mati ya Tidak bisa dibuka mobile jkn Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya kecewa,1.0,1,[0.0214 0.9689 0.0018 0.0068 0.001 ],1,[9.400e-03 9.838e-01 1.600e-03 4.300e-03 9.000e-04],"{'piye': 'piye', 'USERNAME': 'USERNAME', 'tunjukkan': 'tunjukkan'}",6.42,0.7295454545454545,0.6613636363636364,0.985925294187936,3.721045454545455
1,"It's like a circle of stupidity. Atlit gak diurusin, duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi. Belum beres bebenah eh salah satu stadion dirusak ""supporter"" karna timnya (atlit) main jelek. What a moron.",It like golongan darah circle of stupidity Atlit gak diurusin duitnya buat bebenah ini itu biar atlit yang dateng dari luar negri bisa nyaman disini tp atlit sendiri kurang gizi Belum beres bebenah eh salah satu stadion dirusak supporter karna timnya atlit main jelek What golongan darah moron,0.9804207682609558,1,[0.4638 0.5067 0.0041 0.0095 0.016 ],1,[0.4658 0.4933 0.0033 0.0257 0.0119],"{'What': 'What', 'jelek': 'jelek', 'gak': 'gak', 'a': 'golongan darah', 'Atlit': 'Atlit', 'circle': 'circle', 'diurusin': 'diurusin'}",5.41,,,,
1,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Koq Ngabalin di sebut tokoh, gak salah tuh, hidungnya tambah gede ntar, toko sorban kali ya.",USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME USERNAME Koq Ngabalin di sebut lambang gak salah tuh hidungnya tambah gede ntar toko sorban kali ya,0.9958095550537109,1,[0.0018 0.9943 0.0012 0.0013 0.0014],1,[0.0011 0.9949 0.0012 0.0016 0.0012],"{'Koq': 'Koq', 'Ngabalin': 'Ngabalin', 'ntar': 'ntar', 'tokoh': 'lambang'}",4.17,,,,
4,[USERNAME] Selamat Siang Sahabat Pos. Kiriman tsb sudah diterima ya sahabat. Terima kasih telah mempercayakan dan menggunakan layanan kami :) ^FD [URL],USERNAME Selamat Siang Sahabat Pos Kiriman tsb sudah diterima ya sahabat Terima kasih telah mempercayakan dan menggunakan layanan kami URL,0.9924114942550659,4,[0.006  0.0028 0.0021 0.0015 0.9876],4,[0.009  0.0173 0.0043 0.003  0.9664],"{'mempercayakan': 'mempercayakan', 'diterima': 'diterima', 'URL': 'URL'}",4.19,,,,
4,"Di hari ini, yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special.. Makasih mamih, makasih uwa, makasih kakek, makasih [URL]",Di hari ini yap tepat di tanggal 23 juli dimana mungkin di hari ini gua merasa sangatsangat special Makasih mamih makasih uwa makasih kakek makasih URL,1.0,4,[3.700e-03 9.000e-04 5.180e-02 1.900e-03 9.418e-01],4,[0.0023 0.0022 0.1157 0.0029 0.8769],"{'juli': 'juli', 'URL': 'URL', 'dimana': 'dimana'}",4.38,,,,
1,Buat yang teriak teriak ganti presiden...gimana pulang kampung naik kereta api...bagus kan stasiun kereta....kereta apinya juga bagus ber AC semua...coba 4 tahun yg lalu...banyak copetnyaaahh byk calonyaaahh,Buat yang bersabda bersabda ganti kepala negara gimana pulang kampung naik kereta api berkembang kan stasiun kereta kereta apinya juga berkembang ber AC semua coba 4 tahun yg lalu banyak copetnyaaahh byk calonyaaahh,0.8896446228027344,1,[0.0033 0.9812 0.002  0.0011 0.0123],1,[0.0036 0.9731 0.0021 0.0017 0.0196],"{'copetnyaaahh': 'copetnyaaahh', 'teriak': 'bersabda', 'presiden': 'kepala negara', 'bagus': 'berkembang'}",4.56,,,,
1,belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],belajar agama yg tuntas jd nga ngarang dalam hidup Isa saja disebut2 dialquran trus besi mau jelek2in Isa Bisa baca alquran ga URL,0.9884002804756165,1,[0.0042 0.9896 0.002  0.0032 0.001 ],1,[0.0171 0.9309 0.0039 0.0453 0.0029],"{'lu': 'besi', 'jelek2in': 'jelek2in', 'disebut2': 'disebut2', 'Isa': 'Isa'}",4.22,,,,
4,"Hepibesdey canteeeekk [USERNAME] panjang umur, jadi pribadi yang jauh lebih baik, semoga apa yang di cita-citakan terwujud dan langgeng sama [USERNAME]",Hepibesdey canteeeekk USERNAME panjang umur jadi pribadi yang jauh lebih baik semoga apa yang di terwujud dan langgeng sama USERNAME,0.9961297512054443,4,[7.000e-04 1.100e-03 4.400e-03 1.500e-03 9.922e-01],4,[0.0011 0.0019 0.0038 0.0018 0.9914],{'Hepibesdey': 'Hepibesdey'},4.23,,,,
3,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,Kok banyak yaa di kabupaten w anak muda yg mendaftar caleg apa mereka bisa mewakili aspirasi rakyat padahal tempat nongkrongnya di cafe/restoran mewah bukan warung di tengah kampung,1.0,1,[0.0596 0.928  0.0022 0.006  0.0042],1,[0.0596 0.928  0.0022 0.006  0.0042],,0.02,,,,
1,"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",Gue emang cuek sih bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya menahan sampe gue ajak nongkrong breng,0.9966939687728882,1,[0.0116 0.8962 0.0154 0.0755 0.0014],1,[0.0252 0.8233 0.0261 0.1232 0.0022],"{'cuek': 'cuek', 'yg': 'yg', 'Jangan': 'menahan', 'kl': 'kl'}",4.23,,,,
3,"Berlajar prosedur bedah sekalian makan sahur ah *buka youtube* *nonton proses bedah dentoalveolar* *ga sanggup makan* *nutup laptop* ""Udahlah makan aja dulu"" *makan sambil deg deg an*",Berlajar prosedur bedah sekalian makan sahur ah buka youtube nonton proses bedah dentoalveolar ga sanggup makan nutup laptop Udahlah makan aja dulu makan sambil deg deg an,1.0,3,[0.4083 0.007  0.006  0.5695 0.0092],3,[0.0868 0.0132 0.0077 0.8897 0.0026],"{'deg': 'deg', 'sahur': 'sahur', 'dentoalveolar': 'dentoalveolar'}",4.35,,,,
4,"Gue kenal org yang lulus lama, kenal yg lulus cepet, lulus b aja, mereka punya waktu dan permasalahan sendiri. Jadi gue gak perlu buru-buru ketika semua yg ada di dalam diri dan di rumah masih messed up. Wol kusut aja masih bisa diusut. KALEM WE ATUH",Gue kenal org yang lulus lama kenal yg lulus cepet lulus b aja mereka punya waktu dan permasalahan sendiri Jadi gue gak perlu ketika semua yg ada di dalam diri dan di rumah masih messed up Wol kusut aja masih bisa diusut KALEM WE ATUH,0.9988551735877991,4,[0.0549 0.2597 0.0713 0.0056 0.6084],1,[0.0537 0.887  0.0144 0.0037 0.0412],"{'gak': 'gak', 'diusut': 'diusut'}",5.51,,,,
2,"Yaudah pokoknya makasih kamu udh mau pilih aku jadi kapel kamu, makasih udh percaya,sayang, dan sabar sm aku. Aku sayang sama kamu, semoga kita langgeng sampe tgl 25 di bulan2 berikutnya & seterusnya yaa. Maaf aku belom bisa jadi apa yang kamu idamkan, but i'll try it",Yaudah pokoknya makasih kamu udh mau pilih aku jadi kapel kamu makasih udh percaya bercinta dan sabar sm aku Aku bercinta sama kamu semoga kita langgeng sampe tgl 25 di bulan2 berikutnya seterusnya yaa Maaf aku belom bisa jadi apa yang kamu idamkan but i try it,0.9887404441833496,2,[0.0032 0.003  0.9677 0.0025 0.0236],2,[0.0084 0.0127 0.7644 0.0063 0.2083],"{'sayang': 'bercinta', 'it': 'it', 'makasih': 'makasih', 'i': 'i', 'Aku': 'Aku'}",5.55,,,,
0,"[USERNAME] reply1988, im not robot, fight for my way, its okay thats cinta, goblin itu yg inget kayaknya gua demen mewek terutama drama yg ditinggal meninggal gitu. emang cengeng:')",USERNAME reply1988 im not robot fight for my way its okay thats cinta goblin itu yg inget kayaknya gua demen mewek terutama acara yg ditinggal meninggal gitu emang cengeng,0.9733876585960388,0,[0.5442 0.0166 0.2715 0.0088 0.1589],0,[0.3031 0.175  0.2239 0.0127 0.2852],"{'its': 'its', 'yg': 'yg', 'my': 'my', 'im': 'im', 'drama': 'acara'}",4.56,,,,
1,"Isu Kristenisasi itu sama saja dgn isu kebangkitan PKI. Tanpa data, minim fakta dan bilapun ada tak lebih dari oembingkaian di kuar konteks! Isu yg dibuat untuk membangkitkan hantu demi keuntungan politis dan ekonomis.",Isu Kristenisasi itu sama saja dgn isu kebangkitan PKI Tanpa data minim konsep dan bilapun ada tak lebih dari oembingkaian di kuar konteks Isu yg dibuat untuk membangkitkan bayang bayang demi keuntungan politis dan ekonomis,0.9848040342330933,1,[0.0521 0.9089 0.0016 0.0332 0.0042],1,[0.0482 0.9153 0.002  0.0287 0.0059],"{'Tanpa': 'Tanpa', 'fakta': 'konsep', 'politis': 'politis', 'hantu': 'bayang bayang'}",4.76,,,,
3,"Ngeri banget! Nenek ini mendengar ada suara di dalam lantainya, dan waktu dibuka bener-bener bikin kaget nenek dan petugas yang membukanya.. [URL]",membuayai banget Nenek ini mendengar ada suara di dalam lantainya dan waktu dibuka bikin kaget nenek dan petugas yang membukanya URL,0.9873507618904114,3,[0.0051 0.0025 0.0054 0.9839 0.0031],4,[0.0527 0.0121 0.0905 0.403  0.4416],"{'Ngeri': 'membuayai', 'dibuka': 'dibuka'}",4.44,,,,
4,[USERNAME] Lah.. hahahaha.. namany villa salse tp dia hotel trs ada warungnya gt menurut aku bagus sih kak nyaman gt trs nanti naik ke atas ada bird park..,USERNAME Lah hahahaha namany villa salse tp dia hotel trs ada warungnya gt menurut aku berkembang sih kak nyaman gt trs nanti naik ke atas ada bird park,0.9912620782852173,4,[0.0034 0.0018 0.0035 0.0018 0.9895],4,[0.0044 0.0023 0.0025 0.0019 0.9889],"{'bagus': 'berkembang', 'hahahaha': 'hahahaha', 'trs': 'trs'}",4.9,,,,
3,"Kepastian libur krn ikut tanggalan Bank Indonesia. Jd kalo BI libur, yaa ikut libur. Kalo dipaksain masuk nanti bingung sendiri kerjanya gimana","Kepastian libur krn ikut tanggalan Bank Indonesia. Jd kalo BI libur, yaa ikut libur. Kalo dipaksain masuk nanti bingung sendiri kerjanya gimana",1.0,1,[0.0776 0.7129 0.0057 0.2019 0.0019],1,[0.0776 0.7129 0.0057 0.2019 0.0019],,0.02,,,,
4,"The best of ""dongeng sebelum tidur"" mksh teh. Me purple you. Gbu. Mksh dah bikin kobam n baper malem2. Mksh udh bikin aku cinta lg sm couple ini disaat aku dah mau move on. Mksh dh bikin keinginan punya pacarku muncul lagi. Makasih. May Allah always bless you. Aamiin. [USERNAME] [URL]","The best of ""dongeng sebelum tidur"" mksh teh. Me purple you. Gbu. Mksh dah bikin kobam n baper malem2. Mksh udh bikin aku cinta lg sm couple ini disaat aku dah mau move on. Mksh dh bikin keinginan punya pacarku muncul lagi. Makasih. May Allah always bless you. Aamiin. [USERNAME] [URL]",1.0,2,[0.0015 0.0035 0.8594 0.004  0.1316],2,[0.0015 0.0035 0.8594 0.004  0.1316],,0.02,,,,
0,"Duh...kok sedih yah, naikin berat badan susah tp turunnya mudah bgt puasa seminggu turun 6kg lebih, apalagi sekarang udah puasa ke20an. Celana melorot semua. Ya Allah doaku semoga abis lebaran nanti aku dikasih gemuk kyk ayam negri ... Aminnn... #RecehkanTwitter #kapangemuk",Duh kok sedih yah naikin berat badan susah tp turunnya mudah bgt puasa seminggu turun 6kg lebih apalagi sekarang udah puasa ke20an Celana melorot semua Ya Allah doaku semoga abis lebaran nanti aku dikasih gemuk kyk ayam negri Aminnn RecehkanTwitter kapangemuk,0.9855786561965942,0,[0.9449 0.0032 0.0018 0.0032 0.0469],4,[0.1893 0.0062 0.0037 0.0038 0.7969],{'doaku': 'doaku'},4.78,,,,
0,Siapa sih di dunia yg ngga punya hater? Rasul yg mulia aja punya. Budha aja punya. Nabi Isa aja punya. Nah apalagi eloh ama gueh .... ya kaaan,Siapa sih di dunia yg ngga punya hater? Rasul yg mulia aja punya. Budha aja punya. Nabi Isa aja punya. Nah apalagi eloh ama gueh .... ya kaaan,1.0,1,[0.0074 0.9748 0.0056 0.002  0.0102],1,[0.0074 0.9748 0.0056 0.002  0.0102],,0.02,,,,
1,saya ganteng tidak-suka mati saja kamu,saya ganteng memegat saja kamu,0.9167022705078125,1,[0.0731 0.8908 0.0128 0.0057 0.0176],1,[0.0603 0.8922 0.019  0.0036 0.025 ],{'mati': 'memegat'},4.01,,,,
1,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,1.0,4,[0.0239 0.0031 0.0192 0.0025 0.9512],4,[0.0239 0.0031 0.0192 0.0025 0.9512],,0.06,,,,
0,"beli kaos banyak dengan ukuran yg udah downgrade, kucariin kok ngga ada ternyata masuk ke lemari Bapak, mbak ART ku kayaknya ga notice aku udah kurusan.",beli kaos banyak dengan ukuran yg udah downgrade kucariin kok ngga ada ternyata masuk ke lemari Bapak mbak ART ku kayaknya ga notice aku udah kurusan,1.0,0,[9.859e-01 6.000e-03 7.000e-04 2.500e-03 4.800e-03],0,[0.9662 0.0201 0.001  0.0064 0.0063],"{'kurusan': 'kurusan', 'udah': 'udah', 'ngga': 'ngga'}",4.81,,,,
1,krn jujur ga lg2 dihina remehin hina sodaraw dari pihak mama gw..ada sepupu setan dengkii smua si lina gw sumpahin segera mampus sok kaya belagu merasa kaya bgt kali norak ga lama lg kebongkar dia tipu2annya mau liatin aja bakal seterusnya sukses dia ahahhah najisin tuh sepupu,krn jujur ga lg2 dihina remehin menekel sodaraw dari pihak mama gw ada sepupu setan dengkii smua si lina gw sumpahin segera mampus sok kaya belagu merasa kaya bgt kali norak ga lama lg kebongkar dia tipu2annya mau liatin aja bakal seterusnya peristiwa dia ahahhah najisin tuh sepupu,0.958189845085144,1,[2.500e-03 9.904e-01 2.800e-03 3.600e-03 8.000e-04],1,[2.600e-03 9.908e-01 2.400e-03 3.500e-03 6.000e-04],"{'ga': 'ga', 'najisin': 'najisin', 'sok': 'sok', 'hina': 'menekel', 'sodaraw': 'sodaraw', 'lg2': 'lg2', 'sukses': 'peristiwa'}",6.9,,,,
4,"Bahaha.. dia ke kasir after me. Sambil ngangkat keresek belanjaanku, masih sempet liat mas nya nyodorin barang belanjaannya",Bahaha dia ke kasir after me Sambil ngangkat keresek belanjaanku masih sempet liat mas nya nyodorin barang belanjaannya,0.9999997615814209,4,[0.1181 0.0022 0.0068 0.0026 0.8703],4,[0.1914 0.0025 0.0058 0.0048 0.7955],"{'liat': 'liat', 'Bahaha': 'Bahaha', 'after': 'after'}",4.27,,,,
