text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,hari gue datang ke tempat bertingkah baru yang ada di dago atas gue kira membagi nya enak karena biaya nya mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat nya juga tidak nyaman banget terlalu sempit,0.9847153425216676,2,[4.500e-03 7.000e-04 9.948e-01],2,[0.0274 0.0015 0.9711],"{'mahal': 'mahal', 'harga': 'biaya', 'nya': 'nya', 'gue': 'gue', 'makan': 'bertingkah', 'kemarin': 'hari', 'makanan': 'membagi', 'dago': 'dago', 'deh': 'deh'}",2,0,2.7603,0.91,0.81,0.9340904214382172,0.3640132,0.872,0.09999999999999998,-0.061999999999999944,0.384,4.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,berangan angan nya sih gue tidak akan mau balik lagi ke tempat itu petualang ya gue enggak ngerti kenapa tempat nya dibiarkan memermak sudah begitu memermak pula kalau memermak suhu kalau penyerbuan kehujanan harus nya sih tidak ada restoran yang berangan angan gitu tidak tahu deh apa yang mereka jual,0.9410470724105836,2,[4.100e-03 8.000e-04 9.951e-01],2,[0.0098 0.0016 0.9887],"{'ngerti': 'ngerti', 'gila': 'petualang', 'gue': 'gue', 'ya': 'ya', 'kotor': 'memermak', 'hujan': 'penyerbuan', 'dibiarkan': 'dibiarkan', 'deh': 'deh', 'panas': 'memermak', 'nya': 'nya', 'kayak': 'berangan angan', 'kepanasan': 'suhu', 'sih': 'sih', 'gitu': 'gitu'}",2,0,0.4436,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin susunan kedua kerjaan nya selalu pencitraan ketiga dia tidak pro seseorang sudahlah ku sudah salah kecewa,0.9696433544158936,2,[3.700e-03 7.000e-04 9.956e-01],2,[5.500e-03 8.000e-04 9.938e-01],"{'ku': 'ku', 'jokowi': 'jokowi', 'pro': 'pro', 'rakyat': 'seseorang', 'janji': 'susunan', 'pencitraan': 'pencitraan', 'terlanjur': 'salah', 'kerjaan': 'kerjaan', 'nya': 'nya', 'ketiga': 'ketiga'}",2,1,0.3046,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin pengeluaran rekening baru unit nya juga lelaki pertama zaman ya baru ke bank gua mencederakan semprot kelihatan banget pelayanan pembeli nya tidak berangan angan gua banyak bertanya padahal itu kan tugas mereka buat melemparkan gua,0.9497722387313844,2,[0.0136 0.0015 0.9849],2,[0.0225 0.0019 0.9756],"{'suka': 'berangan angan', 'kena': 'mencederakan', 'gua': 'gua', 'melayangkan': 'melemparkan', 'nya': 'nya', 'semprot': 'semprot', 'ngurusin': 'ngurusin', 'orang': 'lelaki', 'bank': 'bank', 'kali': 'zaman', 'pelanggan': 'pembeli', 'ya': 'ya', 'nama': 'unit', 'rekening': 'rekening', 'pembuatan': 'pengeluaran'}",2,0,0.4028,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan gue pernah disuruh ibu pelatihan kungfu kata nya mendapati gue bisa melawan anak kalau ada iseng tapi di hari pertama pelatihan kaki gue ketepatan mencederakan jadilah sekarang trauma dan tidak mau buat pelatihan kungfu lagi,0.9384998083114624,2,[0.0032 0.0021 0.9947],2,[0.0061 0.0021 0.9918],"{'trauma': 'trauma', 'latihan': 'pelatihan', 'penjahat': 'anak', 'langsung': 'ketepatan', 'gue': 'gue', 'karate': 'kungfu', 'disuruh': 'disuruh', 'biar': 'mendapati', 'iseng': 'iseng', 'cedera': 'mencederakan'}",2,1,0.5415,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pekerjaan di perumahan kuing bogor tidak sebagus yang gue membayangkan fasilitas nya juga biasa banget padahal kata nya perumahan artis lima hm menjelajahi berangan angan nya sih tidak mau ke sana lagi,0.8799706101417542,2,[1.600e-03 6.000e-04 9.977e-01],2,[0.0074 0.0013 0.9913],"{'kecewa': 'menjelajahi', 'hm': 'hm', 'kayak': 'berangan angan', 'bintang': 'artis', 'sih': 'sih', 'nya': 'nya', 'banget': 'banget', 'hotel': 'perumahan', 'salak': 'kuing', 'pelayanan': 'pekerjaan', 'gue': 'gue', 'sebagus': 'sebagus', 'bogor': 'bogor'}",2,0,0.3979,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mendapati tidak orang berangan angan gitu melondong falsafah banget mengarih,0.925121545791626,2,[1.400e-03 8.000e-04 9.978e-01],2,[0.0929 0.0121 0.895 ],"{'merusak': 'melondong', 'moral': 'falsafah', 'berfaedah': 'orang', 'sumpah': 'mengarih', 'gitu': 'gitu', 'mengirim': 'mendapati', 'lex': 'lex', 'kayak': 'berangan angan'}",2,2,0.3594,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,gue pesimis sama lelaki terutama dalam ngurusin murahan sudah berapa banyak air jadi bunuh kita melemparkan murahan ke air tidak tega gue liat nya kadang tidak mengorek juga sebenarnya yang ada itu pada mikirin enggak sih urusan penting berangan angan gini he,0.94746071100235,2,[0.0036 0.001  0.9954],2,[0.0043 0.001  0.9947],"{'pesimis': 'pesimis', 'korban': 'bunuh', 'mikirin': 'mikirin', 'gue': 'gue', 'mengerti': 'mengorek', 'laut': 'air', 'tega': 'tega', 'sampah': 'murahan', 'buang': 'melemparkan', 'kayak': 'berangan angan', 'nya': 'nya', 'manusia': 'lelaki', 'gini': 'gini', 'ngurusin': 'ngurusin'}",2,0,0.4328,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya menjelajahi karena pengeditan biodata wisatawan dilakukan by pesawat tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pekerjaan pembeli yang sudah dihubungi pun hanya seperti merentangkan waktu sampai zaman ini belum ada solusi untuk masalah saya yang kekhilafan nya sendiri bukan dari pihak saya,0.9733226895332336,2,[0.0019 0.0014 0.9967],2,[0.0103 0.0068 0.9828],"{'kecewa': 'menjelajahi', 'pelayanan': 'pekerjaan', 'solusi': 'solusi', 'dibiarkan': 'dibiarkan', 'by': 'by', 'pengeditan': 'pengeditan', 'mengulur': 'merentangkan', 'kesalahan': 'kekhilafan', 'sistem': 'pesawat', 'penumpang': 'wisatawan', 'pelanggan': 'pembeli', 'detik': 'zaman', 'permasalahan': 'permasalahan', 'sepele': 'sepele', 'nya': 'nya', 'dianggap': 'dianggap'}",2,0,0.5946,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan kesepakatan dan tiket saya tidak kunjung saya mendapati padahal saya sudah menelpon pekerjaan pembeli sudah mendapati email dengan benar transfer tapi respon nya sangat lambat dan tidak jelas,0.965958297252655,2,[0.0015 0.0029 0.9956],2,[0.0023 0.0044 0.9934],"{'pelayanan': 'pekerjaan', 'terima': 'mendapati', 'bukti': 'benar', 'respon': 'respon', 'pemesanan': 'kesepakatan', 'pelanggan': 'pembeli', 'email': 'email', 'tiket': 'tiket', 'menelpon': 'menelpon', 'mengirimkan': 'mendapati', 'nya': 'nya'}",2,1,0.4759,,,,,,,,,
