text,sentiment,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
"kemarin gue datang ke tempat makan baru yang ada di dago atas . gue kira makanan nya enak karena harga nya mahal . ternyata , boro-boro . tidak mau lagi deh ke tempat itu . sudah mana tempat nya juga tidak nyaman banget , terlalu sempit .",2,kemarin hamba datang ke tempat makan baru yang ada di dago atas hamba kira makanan milik enak karena harga milik mahal ternyata tidak mau lagi deh ke tempat itu sudah mana tempat milik juga tidak nyaman banget terlalu sempit,0.957801342010498,2,[4.500e-03 4.000e-04 9.951e-01],2,[3.100e-03 4.000e-04 9.965e-01],"{'nyaman': 'nyaman', 'enak': 'enak', 'mahal': 'mahal', 'sempit': 'sempit', 'gue': 'hamba', 'makanan': 'makanan', 'harga': 'harga', 'nya': 'milik', 'banget': 'banget', 'deh': 'deh'}",2,2,1.2473,0.936,0.908,0.9657084242105484,0.6420047999999999,0.934,0.028000000000000025,-0.026000000000000023,0.952,5.0
"kayak nya sih gue tidak akan mau balik lagi ke tempat itu . gila , ya , gue enggak ngerti kenapa tempat nya dibiarkan panas . sudah begitu kotor pula . kalau panas kepanasan , kalau hujan kehujanan . harus nya sih tidak ada restoran yang kayak gitu . tidak tahu deh apa yang mereka jual .",2,kayak milik naraka hamba tidak akan mau balik lagi ke tempat itu gila enya hamba enggak ngerti kenapa tempat milik dibiarkan panas sudah begitu kotor pula kalau panas kepanasan kalau hujan kehujanan harus milik naraka tidak ada réstoran yang kayak gugah tidak tahu deh apa yang mereka jual,0.9524776339530944,2,[5.60e-03 4.00e-04 9.94e-01],2,[5.400e-03 4.000e-04 9.942e-01],"{'nya': 'milik', 'gue': 'hamba', 'kotor': 'kotor', 'jual': 'jual', 'sih': 'naraka', 'kayak': 'kayak', 'deh': 'deh', 'kehujanan': 'kehujanan', 'dibiarkan': 'dibiarkan', 'panas': 'panas', 'gila': 'gila', 'kepanasan': 'kepanasan', 'hujan': 'hujan', 'gitu': 'gugah', 'restoran': 'réstoran', 'ya': 'enya'}",2,2,0.8581,,,,,,,,,
"kalau dipikir-pikir , sebenarnya tidak ada yang bisa dibanggakan dari jokowi . pertama , dia tidak bisa nepatin janji . kedua , kerjaan nya selalu pencitraan . ketiga , dia tidak pro rakyat . sudahlah . ku sudah terlanjur kecewa .",2,kalau sebenarnya tidak ada yang bisa dibanggakan dari jokowi pertama dia tidak bisa nepatin janji kedua kerjaan milik selalu pencitraan ketiga dia tidak pro mahluk sudahlah hamba sudah geus kecewa,0.9666775465011596,2,[1.000e-03 2.000e-04 9.989e-01],2,[9.000e-04 2.000e-04 9.989e-01],"{'kecewa': 'kecewa', 'jokowi': 'jokowi', 'ku': 'hamba', 'janji': 'janji', 'nya': 'milik', 'nepatin': 'nepatin', 'pencitraan': 'pencitraan', 'terlanjur': 'geus', 'kerjaan': 'kerjaan', 'rakyat': 'mahluk'}",2,2,0.74,,,,,,,,,
"ini pertama kalinya gua ke bank buat ngurusin pembuatan rekening baru . nama nya juga orang pertama kali ya baru ke bank , gua kena semprot . kelihatan banget pelayanan pelanggan - nya tidak suka gua banyak bertanya . amit-amit . padahal itu kan tugas mereka buat melayangkan gua !",2,ini pertama kalinya gua ke bank buat ngurusin nyieun rekening baru fabrikasi milik juga mahluk pertama kali ya baru ke bank gua kena semprot kelihatan banget pelayanan pelanggan milik tidak suka gua banyak bertanya padahal itu kan tugas mereka buat melayangkan gua,0.9682835340499878,2,[6.500e-03 6.000e-04 9.929e-01],2,[1.500e-03 5.000e-04 9.979e-01],"{'suka': 'suka', 'orang': 'mahluk', 'gua': 'gua', 'melayangkan': 'melayangkan', 'kena': 'kena', 'nama': 'fabrikasi', 'pelayanan': 'pelayanan', 'semprot': 'semprot', 'bank': 'bank', 'pelanggan': 'pelanggan', 'rekening': 'rekening', 'nya': 'milik', 'kali': 'kali', 'pembuatan': 'nyieun'}",2,2,0.8446,,,,,,,,,
"waktu sampai dengan gue pernah disuruh ibu latihan karate . kata nya biar gue bisa melawan penjahat kalau ada laki-laki iseng , tapi di hari pertama latihan , kaki gue langsung cedera . jadilah sekarang trauma dan tidak mau sekali-sekali buat latihan karate lagi .",2,waktu sampai dengan hamba pernah disuruh ibu latihan karate kata nya biar hamba bisa melawan penjahat kalau ada iseng tapi di hari pertama latihan kaki hamba langsung cedera jadilah sekarang trauma dan tidak mau buat latihan karate lagi,0.9761815071105956,2,[1.300e-03 4.000e-04 9.982e-01],2,[0.0057 0.001  0.9933],"{'karate': 'karate', 'latihan': 'latihan', 'trauma': 'trauma', 'gue': 'hamba', 'biar': 'biar', 'penjahat': 'penjahat', 'iseng': 'iseng', 'cedera': 'cedera', 'kaki': 'kaki', 'langsung': 'langsung'}",2,2,0.8146,,,,,,,,,
pelayanan di hotel salak bogor tidak sebagus yang gue membayangkan . fasilitas nya juga biasa banget padahal kata nya hotel bintang lima . hm . kecewa . kayak nya sih nanti-nanti tidak mau ke sana lagi .,2,pelayanan di hotel salak bogor tidak saalus yang hamba membayangkan fasilitas milik juga biasa banget padahal kata milik hotel bentang lima hm kecewa kayak milik naraka tidak mau ke sana lagi,0.8786047101020813,2,[6.50e-03 5.00e-04 9.93e-01],2,[2.100e-03 2.000e-04 9.976e-01],"{'hm': 'hm', 'sih': 'naraka', 'bintang': 'bentang', 'gue': 'hamba', 'bogor': 'bogor', 'kecewa': 'kecewa', 'sebagus': 'saalus', 'pelayanan': 'pelayanan', 'fasilitas': 'fasilitas', 'nya': 'milik', 'membayangkan': 'membayangkan', 'salak': 'salak'}",2,2,0.7488,,,,,,,,,
ada apa dengan young lex ? kenapa dia harus mengirim hal-hal tidak berfaedah kayak gitu . merusak moral banget sumpah !,2,ada apa dengan young lex kenapa dia harus mengirim tidak Tulung kayak gitu merusak moral banget sumpah,0.9905147552490234,2,[4.000e-04 5.000e-04 9.991e-01],2,[4.000e-04 5.000e-04 9.991e-01],"{'sumpah': 'sumpah', 'berfaedah': 'Tulung', 'young': 'young', 'merusak': 'merusak', 'banget': 'banget', 'mengirim': 'mengirim', 'lex': 'lex', 'kayak': 'kayak'}",2,2,0.6602,,,,,,,,,
"gue pesimis sama manusia , terutama dalam ngurusin sampah . sudah berapa banyak hewan-hewan laut jadi korban gara-gara kita buang sampah ke laut . tidak tega gue liat nya . kadang tidak mengerti juga sebenarnya pemimpin-pemimpin yang ada itu pada mikirin enggak sih urusan penting kayak gini . he .",2,hamba pesimis sama manusia terutama dalam ngurusin sampah sudah berapa banyak laut jadi korban kita buang sampah ke laut tidak tega hamba liat milik kadang tidak mengerti juga sebenarnya yang ada itu pada mikirin enggak naraka urusan penting kayak gini anjeunna,0.9706132411956788,2,[4.400e-03 4.000e-04 9.952e-01],2,[9.000e-04 2.000e-04 9.989e-01],"{'he': 'anjeunna', 'pesimis': 'pesimis', 'urusan': 'urusan', 'gue': 'hamba', 'manusia': 'manusia', 'gini': 'gini', 'mikirin': 'mikirin', 'ngurusin': 'ngurusin', 'laut': 'laut', 'sampah': 'sampah', 'sih': 'naraka', 'korban': 'korban', 'buang': 'buang', 'kayak': 'kayak', 'tega': 'tega', 'nya': 'milik'}",2,2,0.8073,,,,,,,,,
saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan nya pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah berkali-berkali dihubungi pun hanya seperti mengulur waktu . sampai detik ini belum ada solusi untuk masalah saya yang kesalahan nya sendiri bukan dari pihak saya .,2,saya kecewa karena pengeditan biodata penumpang dilakukan by sistem tanpa konfirmasi dan solusi permasalahan milik pun dianggap sepele karena dibiarkan begitu saja sedang pelayanan pelanggan yang sudah dihubungi pun hanya seperti mengulur waktu sampai detik ini belum ada solusi untuk masalah saya yang kesalahan milik sendiri bukan dari pihak saya,0.979973316192627,2,[9.000e-04 2.000e-04 9.989e-01],2,[7.000e-04 2.000e-04 9.991e-01],"{'kecewa': 'kecewa', 'solusi': 'solusi', 'detik': 'detik', 'permasalahan': 'permasalahan', 'pelanggan': 'pelanggan', 'dihubungi': 'dihubungi', 'sepele': 'sepele', 'pengeditan': 'pengeditan', 'mengulur': 'mengulur', 'konfirmasi': 'konfirmasi', 'dianggap': 'dianggap', 'nya': 'milik', 'dibiarkan': 'dibiarkan', 'by': 'by'}",2,2,0.9611,,,,,,,,,
"saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya terima . padahal saya sudah menelpon pelayanan pelanggan , sudah mengirimkan email dengan bukti transfer tapi respon nya sangat lambat dan tidak jelas .",2,saya hari ini melakukan pemesanan dan tiket saya tidak kunjung saya narima padahal saya sudah menelpon pelayanan pelanggan sudah mengirimkan email dengan bukti transfer tapi respon milik sangat lambat dan tidak jelas,0.9855100512504578,2,[8.000e-04 1.300e-03 9.979e-01],2,[0.0021 0.0088 0.9891],"{'terima': 'narima', 'pemesanan': 'pemesanan', 'tiket': 'tiket', 'nya': 'milik', 'respon': 'respon', 'mengirimkan': 'mengirimkan', 'pelayanan': 'pelayanan', 'bukti': 'bukti', 'pelanggan': 'pelanggan', 'kunjung': 'kunjung', 'lambat': 'lambat'}",2,2,0.7479,,,,,,,,,
