label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]","Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",1.0,0,[0.6383 0.0075 0.069  0.2493 0.036 ],0,[0.6383 0.0075 0.069  0.2493 0.036 ],,2,2,0.29,0.7818181818181819,0.5681818181818182,0.9213102189654654,0.3705652272727273,0.6681818181818182,0.21363636363636362,-0.09999999999999998,0.7477272727272727,4.0
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,keadaan hepatitis B 100x lebih infeksius dari Duhh Dan belum ada,0.9264976978302002,3,[1.100e-03 6.000e-04 7.000e-04 9.968e-01 8.000e-04],3,[0.1592 0.019  0.0022 0.803  0.0166],"{'B': 'B', 'Penyakit': 'keadaan', 'infeksius': 'infeksius', 'Dan': 'Dan'}",3,3,2.6116,,,,,,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi Nemo movement malah berolak jd ikon punya Persis keadaan 212 yg jd perumahan Jkw,0.8681113719940186,3,[3.400e-03 2.100e-03 8.000e-04 9.923e-01 1.400e-03],3,[3.000e-03 1.200e-03 5.000e-04 9.943e-01 9.000e-04],"{'jurkamnya': 'jurkamnya', 'Jkw': 'Jkw', 'lg': 'lg', 'berbalik': 'berolak', 'panggung': 'perumahan', 'jd': 'jd', 'Gw': 'Gw', 'yg': 'yg', 'Jokowi': 'Jokowi', 'movement': 'movement', 'Persis': 'Persis', 'Nemo': 'Nemo', 'kejadian': 'keadaan', 'Ahok': 'Ahok'}",3,3,0.3881,,,,,,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",keadaan adalah hak segala serikat Kec Catalonia Koptik sbgmn kita mengerubungi lubang terhadap pertubuhan Yaman dan standart ganda,0.8782715797424316,1,[0.0057 0.9867 0.0012 0.0034 0.003 ],1,[1.280e-02 9.814e-01 5.000e-04 2.100e-03 3.300e-03],"{'Koptik': 'Koptik', 'Kemerdekaan': 'keadaan', 'Penjajahan': 'pertubuhan', 'mata': 'lubang', 'menutup': 'mengerubungi', 'Catalonia': 'Catalonia', 'Kec': 'Kec', 'bangsa': 'serikat'}",1,1,0.417,,,,,,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",sabar pak sifat jadi sekedar saran sering sering si lelaki dikasih fokus dinasti YNWA sama tonton pesaing memaksa ngerti babad dan kesetiaan haha,0.8889329433441162,4,[0.0071 0.0023 0.0416 0.003  0.9461],3,[0.3352 0.0132 0.0116 0.5857 0.0543],"{'Selamat': 'sabar', 'ngerti': 'ngerti', 'sejarah': 'babad', 'haha': 'haha', 'dengar': 'fokus', 'pertandingan': 'pesaing', 'Biar': 'memaksa', 'YNWA': 'YNWA', 'lagu': 'dinasti', 'sekedar': 'sekedar', 'jagoan': 'lelaki', 'resmi': 'sifat', 'si': 'si'}",4,4,0.4148,,,,,,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",osilasi aktip di ig merasa twitter ini tempat melarikan osilasi lbh sering merasa ig itu aku makhluk mau di pasar,0.9062944650650024,0,[9.872e-01 5.700e-03 3.000e-04 4.100e-03 2.700e-03],0,[9.398e-01 1.790e-02 9.000e-04 3.320e-02 8.200e-03],"{'twitter': 'twitter', 'butuh': 'makhluk', 'ig': 'ig', 'Pas': 'osilasi', 'aktip': 'aktip'}",0,0,0.4002,,,,,,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,0,[0.4837 0.0354 0.0066 0.22   0.2543],0,[0.4837 0.0354 0.0066 0.22   0.2543],,3,3,0.11,,,,,,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda","Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",1.0,1,[0.3127 0.6257 0.0015 0.0109 0.0492],1,[0.3127 0.6257 0.0015 0.0109 0.0492],,1,1,0.08,,,,,,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya kalo saya kemanunggalan saya ga bisa bahagiain kalo punya individu nanti saya banding,0.9321938753128052,3,[1.100e-03 4.000e-04 8.000e-04 9.971e-01 6.000e-04],3,[1.400e-03 6.000e-04 7.000e-04 9.967e-01 6.000e-04],"{'kalo': 'kalo', 'anak': 'individu', 'nikah': 'kemanunggalan', 'ga': 'ga'}",3,3,0.3698,,,,,,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",salut dengan siapapun yang bikin ad Tokopedia yang bohong masa lalu seseorang tentang nabung buat memagari Dengan kandungan yang cukup simple tapi bisa ketepatan ngena ke gua Well done,0.956382930278778,4,[0.03   0.0019 0.0317 0.0031 0.9333],4,[3.700e-03 7.100e-03 1.100e-03 4.000e-04 9.877e-01],"{'Tokopedia': 'Tokopedia', 'bikin': 'bikin', 'ngena': 'ngena', 'nabung': 'nabung', 'ad': 'ad', 'cerita': 'bohong', 'gua': 'gua', 'Well': 'Well', 'narasi': 'kandungan', 'simple': 'simple', 'langsung': 'ketepatan', 'makan': 'memagari'}",4,4,0.4429,,,,,,,,,
3,"Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp","Pagi ini Surabaya mendungnya rata banget, jangan biarin rasa meger menguasai jiwa &amp",1.0,0,[0.7187 0.0023 0.0054 0.2637 0.01  ],0,[0.7187 0.0023 0.0054 0.2637 0.01  ],,3,3,0.08,,,,,,,,,
