label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),adv_pred,adv_pred_on_orig,running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s),adv_training,delta_acc,delta_adv,acc_adv_training_on_orig,best_epoch
2,"Pixy ini kok lama-lama gemesim yaaaa. Setelah jatuh cinta sama lip cream nya, kayak nya bakal jatih cinta sama yang lain. Huft [URL]",Pixy ini kok gemesim Setelah cadere amore sama lip cream kayak nya bakal Jatih amore sama yang Huft,0.8885923624038696,2,[9.900e-03 7.000e-04 9.767e-01 8.800e-03 3.900e-03],4,[0.0087 0.0023 0.0573 0.0054 0.9263],"{'gemesim': 'gemesim', 'cinta': 'amore', 'jatuh': 'cadere', 'cream': 'cream', 'huft': 'huft', 'kayak': 'kayak', 'jatih': 'Jatih', 'setelah': 'setelah'}",2,2,0.8089,0.7613636363636364,0.634090909090909,0.9099200716072864,0.4885775,0.6590909090909091,0.12727272727272732,-0.025000000000000022,0.7522727272727273,2.0
3,Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit epatite B 100x lebih infeksius dari Duhh Dan belum ada,0.8424186110496521,3,[0.0039 0.0035 0.0034 0.9881 0.0013],3,[0.1976 0.0602 0.0275 0.6833 0.0315],"{'infeksius': 'infeksius', 'hepatitis': 'epatite', 'penyakit': 'penyakit', 'duhh': 'duhh'}",3,3,0.4058,,,,,,,,,
3,[USERNAME] [USERNAME] [USERNAME] Gw lebih khawatir lg kalo Ahok jd jurkamnya Jokowi bro. Nemo movement malah berbalik jd ikon punya Jokowi. Persis kejadian 212 yg jd panggung Jkw,Gw lebih khawatir lg Se Ahok jd jurkamnya Jokowi Nemo mozione malah berbalik jd icona punya Persis kejadian 212 quale jd panggung Jkw,0.822746753692627,3,[0.0044 0.0154 0.0026 0.9762 0.0014],3,[0.0152 0.1877 0.0058 0.7853 0.006 ],"{'jd': 'jd', 'jokowi': 'jokowi', 'ikon': 'icona', 'yg': 'quale', 'kejadian': 'kejadian', 'nemo': 'nemo', 'kalo': 'Se', 'movement': 'mozione', 'panggung': 'panggung', 'persis': 'persis', 'ahok': 'ahok', 'berbalik': 'berbalik'}",3,3,0.8926,,,,,,,,,
1,"Kemerdekaan adalah hak segala bangsa ...( Kec Yahudi,Kurdi , Catalonia , Koptik ) sbgmn kita menutup mata terhadap Penjajahan Yaman dan Qatar.Artinya standart ganda ...",Kemerdekaan adalah hak segala nazione Kec Catalonia Koptik asma kita chiudere occhio terhadap Penjajahan Yaman dan standart ganda,0.8425140976905823,1,[0.115  0.8392 0.003  0.0375 0.0053],0,[0.4299 0.3909 0.0509 0.0742 0.0541],"{'yaman': 'Yemen', 'kec': 'kec', 'catalonia': 'catalonia', 'penjajahan': 'penjajahan', 'koptik': 'copto', 'kemerdekaan': 'indipendente', 'sbgmn': 'asma', 'mata': 'occhio', 'bangsa': 'nazione', 'menutup': 'chiudere'}",0,1,0.8194,,,,,,,,,
4,"Selamat pak [USERNAME] resmi jadi bapak, sekedar saran sering sering si jagoan dikasih dengar lagu YNWA sama tonton pertandingan Liverpool... Biar ngerti sejarah dan kesetiaan haha",Selamat pak resmi jadi appena saran sering sering si jagoan dati dengar lagu YNWA sama tonton concorrenza Biar ngerti sejarah dan kesetiaan haha,0.9335587620735168,4,[0.0035 0.0016 0.0225 0.0011 0.9713],4,[3.800e-03 1.700e-03 8.200e-03 9.000e-04 9.855e-01],"{'selamat': 'selamat', 'haha': 'haha', 'sekedar': 'appena', 'saran': 'saran', 'sejarah': 'sejarah', 'pertandingan': 'concorrenza', 'resmi': 'resmi', 'tonton': 'tonton', 'jagoan': 'jagoan', 'lagu': 'lagu', 'biar': 'biar', 'dikasih': 'dati', 'si': 'si'}",4,4,0.4358,,,,,,,,,
0,"Pas aktip di ig merasa twitter ini tempat melarikan diri. Pas lbh sering mencuit, merasa ig itu mall... aku dangkal, butuh hingar, mau di pasar",Pas aktip di ig merasa twitter ini tempat melarikan Pas lbh sering merasa ig itu aku butuh mau di pasar,0.948068618774414,0,[9.858e-01 8.600e-03 8.000e-04 2.900e-03 1.800e-03],0,[0.9712 0.0019 0.0089 0.0039 0.0141],"{'ig': 'ig', 'lbh': 'lbh', 'pas': 'pas', 'pasar': 'pasar', 'melarikan': 'melarikan', 'twitter': 'twitter'}",0,0,0.3754,,,,,,,,,
1,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya gak ketolong..,1.0,4,[0.0077 0.0024 0.0071 0.002  0.9809],4,[0.0077 0.0024 0.0071 0.002  0.9809],,4,4,0.16,,,,,,,,,
0,"Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda","Bukan gw yang ga mau ikut bukber, tapi dompet yang protes ""bukber mulu lu gw ga di isi isi, dompet gendutin, badan lu kurusin jangan kebalik"" Oke sip besok ku lembur baghai qhuda",1.0,1,[0.0574 0.9365 0.0016 0.0022 0.0023],1,[0.0574 0.9365 0.0016 0.0022 0.0023],,1,1,0.06,,,,,,,,,
3,jadi takut buat nikah...buat punya anak...takut kalo saya nikah saya ga bisa bahagiain pasangan...takut kalo punya anak nanti saya banding bandingin...,jadi takut buat punya Se saya nikah saya ga bisa bahagiain Se punya anak nanti saya appello,0.9565058946609496,3,[1.700e-03 2.600e-03 3.100e-03 9.917e-01 9.000e-04],3,[0.0062 0.0126 0.0075 0.9715 0.0022],"{'ga': 'ga', 'kalo': 'Se', 'banding': 'appello', 'nikah': 'nikah'}",3,3,0.1244,,,,,,,,,
4,"BTW, salut dengan siapapun yang bikin ad Tokopedia yang cerita masa lalu seseorang tentang nabung buat makan udang. Dengan narasi yang cukup simple tapi bisa langsung ngena ke gua emotionally. Well done",ciao dengan siapapun yang bikin ad Tokopedia yang storia masa lalu seseorang tentang nabung buat mangiare Dengan narrazione yang cukup simple tapi bisa langsung ngena ke io Well fatto,0.8707069754600525,4,[9.300e-03 1.200e-03 1.350e-02 8.000e-04 9.753e-01],4,[4.400e-03 1.700e-03 3.900e-03 8.000e-04 9.892e-01],"{'done': 'fatto', 'simple': 'simple', 'salut': 'ciao', 'gua': 'io', 'cerita': 'storia', 'tokopedia': 'tokopedia', 'makan': 'mangiare', 'ad': 'ad', 'dengan': 'dengan', 'well': 'bene', 'narasi': 'narrazione', 'langsung': 'langsung'}",4,4,0.1765,,,,,,,,,
