label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF,0.9768531918525696,4,[1.30e-03 6.00e-04 6.90e-03 2.00e-04 9.91e-01],4,[4.300e-03 9.000e-04 3.350e-02 6.000e-04 9.608e-01],{'ELF': 'ELF'},1.2126,0.9724510082362965,0.7884123828457824,0.92369574659235,0.7117813121272365
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki bangku jabatan rakyat belum pernah mendengar dan melihat hasilna kerja dan prestasi nyata yang anda berikan semasa menduduki bangku tanya Nah Abdi rakyat peryogi seoran,0.8086897730827332,1,[8.300e-03 9.889e-01 7.000e-04 7.000e-04 1.300e-03],1,[5.060e-02 9.398e-01 8.000e-04 1.300e-03 7.400e-03],"{'Kenapa': 'Nah', 'butuh': 'peryogi', 'hasil': 'hasilna'}",0.6765,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",yaudah kalo emang belum gagah potong rambut pendek ya ngan kalo emang udah yakin dan bisa nyaman Selamat jangan lupa berdoa Saré heueuh nyenyak mimpi heueuh indah Good night cit,0.916249692440033,3,[0.2438 0.0056 0.0279 0.5297 0.193 ],4,[0.1169 0.0105 0.0229 0.1694 0.6804],"{'yg': 'heueuh', 'berani': 'gagah', 'yaudah': 'yaudah', 'Tidur': 'Saré', 'aja': 'ngan'}",0.7291,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.8    0.038  0.0036 0.1123 0.0461],0,[0.8    0.038  0.0036 0.1123 0.0461],,0.18,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being Bajingan itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi rasanya semua pernyataan ku di sosmed pasti yang menyangkal orang2 kek parahnya lagi kalo mereka pacaran Bajingan,0.9709067940711975,1,[1.424e-01 8.380e-01 6.000e-04 1.640e-02 2.500e-03],1,[1.921e-01 7.937e-01 7.000e-04 1.070e-02 2.700e-03],"{'asshole': 'Bajingan', 'bangsat': 'Bajingan', 'statement': 'pernyataan'}",0.7906,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Sakapeung apa yang kau dapati dan miliki saat ada orang lain yang menginginkanya Apapun Karena gak semua beban bisa di tanggung oleh seorang Dialog Dini,0.9582581520080566,0,[9.866e-01 5.000e-04 1.400e-03 5.100e-03 6.400e-03],0,[9.85e-01 2.20e-03 7.00e-04 1.80e-03 1.03e-02],"{'Apapun': 'Apapun', 'Terkadang': 'Sakapeung'}",0.7098,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM Karena anjeun cuma tiang yang dipancang kemarin sore dan pangkalmu cuma saja maka engkau jadi takut setengah maot pada Bahkan semilir yang segar pun anjeun caci dan anjeun,0.9460088610649109,3,[3.400e-03 6.000e-04 1.000e-03 9.945e-01 5.000e-04],3,[0.0357 0.0444 0.0029 0.9142 0.0029],"{'kau': 'anjeun', 'mati': 'maot', 'semilir': 'semilir'}",0.3669,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk kamar Kuliah dan mengerjakan Tugas Kuliah sprt Mhs No persoalan Aya larangan atau Tapi apa Gunanya hamba ikut kalo hamba n,0.9322188496589661,1,[0.1272 0.808  0.0018 0.0576 0.0054],3,[0.0745 0.2255 0.0057 0.6846 0.0097],"{'Bukan': 'No', 'Ada': 'Aya', 'ruang': 'kamar', 'n': 'n', 'Saya': 'hamba'}",0.7585,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga leungit kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9660539627075195,2,[1.100e-03 4.000e-04 9.965e-01 1.400e-03 6.000e-04],2,[0.0064 0.0011 0.9895 0.0018 0.001 ],{'kalah': 'leungit'},1.2123,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Bikin pengen joget wkwk Anu namanya autoréaksi sih xD,0.9253320097923279,4,[0.0141 0.0015 0.002  0.0012 0.9812],4,[0.0602 0.0085 0.0028 0.0052 0.9233],"{'wkwk': 'wkwk', 'kalo': 'kalo', 'Itu': 'Anu', 'autoreaction': 'autoréaksi'}",0.9199,,,,
