label,tweet,perturbed_text,perturbed_semantic_sim,pred_label,pred_proba,perturbed_label,perturbed_proba,translated_word(s),running_time(s),before_attack_acc,after_attack_acc,avg_semantic_sim,avg_running_time(s)
4,Ini adalah hal yang paling membahagiakan saat biasku foto bersama ELF #ReturnOfTheLittlePrince #HappyHeeChulDay,Ini adalah hal yang paling happy saat biasku foto bersama ELF,0.9481952786445618,4,[0.0159 0.0027 0.0284 0.0045 0.9485],4,[0.0168 0.0032 0.0249 0.0042 0.9509],{'membahagiakan': 'happy'},0.8592,0.8909400738426584,0.7367225220107924,0.9128338924967,0.4173436523714854
1,"[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda, rakyat belum pernah mendengar dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki bangku jabatan.Coba tanya Kenapa [USERNAME] ? Abdi rakyat butuh seoran",Dari pertama menduduki seat jabatan rakyat belum pernah hear dan melihat hasil kerja dan prestasi nyata yang anda berikan semasa menduduki seat tanya Why Abdi rakyat butuh seoran,0.7574109435081482,1,[0.0526 0.9253 0.0036 0.0107 0.0077],1,[0.308  0.6469 0.0061 0.0215 0.0176],"{'bangku': 'seat', 'Kenapa': 'Why', 'mendengar': 'hear'}",0.4666,,,,
3,"yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ","yaudah kalo emang belum berani potong rambut pendek ya nanti"" aja kalo emang udah yakin dan bisa nyaman  Selamat beristirahat, jangan lupa berdoa Tidur yg nyenyak & mimpi yg indah Good night cit ",1.0,4,[0.0565 0.0068 0.0193 0.0184 0.899 ],4,[0.0565 0.0068 0.0193 0.0184 0.899 ],,0.02,,,,
3,"Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann","Jadi semalam, gw rekap, eh intinya yg gw usahain kerja ternyata zero samsek.. Presentasi jam 16.00, ku baru grasak grusuk jam 13.23. Jiaaaaaaann",1.0,0,[0.8945 0.0161 0.0038 0.0391 0.0466],0,[0.8945 0.0161 0.0038 0.0391 0.0466],,0.02,,,,
1,"temen2 masa kecil yang turned out being asshole itu kalo cewe jadi ukhti2 hijrah kalo cowo jadi abdi negara, rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek gitu, parahnya lagi kalo mereka pacaran bangsat",temen2 masa kecil yang turned out being asshole itu if cewe jadi ukhti2 hijrah if cowo jadi servant rasanya semua statement ku di sosmed pasti yang menyangkal orang2 kek parahnya lagi if mereka pacaran bangsat,0.9265336990356445,1,[0.1234 0.4705 0.0038 0.3957 0.0065],1,[0.0973 0.8061 0.0027 0.0874 0.0065],"{'abdi': 'servant', 'statement': 'statement', 'kalo': 'if'}",0.3045,,,,
0,"Terkadang apa yang kau dapati dan miliki saat ini, ada orang lain yang menginginkanya juga. Apapun itu. Karena gak semua beban bisa di tanggung oleh seorang gantleman. Dialog Dini Hari.",Terkadang apa yang kau dapati dan have saat ada orang lain yang menginginkanya Apapun Karena no semua beban bisa di tanggung oleh seorang Dialog Dini,0.9421917200088501,0,[0.9468 0.0068 0.0111 0.0287 0.0066],0,[0.9406 0.014  0.0124 0.0248 0.0082],"{'gak': 'no', 'miliki': 'have'}",0.6151,,,,
3,"TAMSIL ISLAM NUSANTARA. Karena kau cuma tiang yang dipancang tergesa-gesa kemarin sore dan pangkalmu cuma dangkal-dangkal saja ditanam, maka engkau jadi takut setengah mati pada angin. Bahkan semilir yang segar pun kau caci dan kau kutuki.",TAMSIL ISLAM because kau cuma tiang yang dipancang kemarin afternoon dan pangkalmu cuma saja maka engkau jadi takut setengah dead pada Bahkan semilir yang segar pun kau caci dan kau,0.9364451169967651,3,[0.0081 0.0064 0.0056 0.9775 0.0024],3,[0.0099 0.0095 0.0046 0.9736 0.0023],"{'mati': 'dead', 'sore': 'afternoon', 'Karena': 'because'}",0.5412,,,,
1,"[USERNAME] Skrg gini saja. Sy balik pertanyaannya. Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs lainnya? Bukan persoalan Ada larangan atau tidak. Tapi apa Gunanya Saya ikut Perkuliahan, kalo Saya n",Skrg gini Sy balik Bolehkah kah sy yg bukan Mahasiswa UMI ikut masuk ruang Kuliah dan mengerjakan Tugas Kuliah sprt Mhs Bukan persoalan Ada tire atau But apa Gunanya I ikut if I n,0.9354408383369446,1,[0.1926 0.6656 0.0023 0.1265 0.0129],0,[0.5604 0.0466 0.0047 0.0871 0.3013],"{'larangan': 'tire', 'kalo': 'if', 'Saya': 'I', 'Tapi': 'But', 'sprt': 'sprt'}",0.3569,,,,
2,"Kalo kamuuuuuu, kamuu itu specialll. Cintanya juga ga kalah kok sama yang lain. Karena sebenernya bagi aku kalian itu satu. Jadi, cinta satu cinta semua. [URL]",Kalo kamuu itu Cintanya juga ga lost kok sama yang Karena sebenernya bagi aku kalian itu cinta satu cinta,0.9587482810020447,2,[0.0078 0.0016 0.9787 0.0039 0.0079],2,[0.0094 0.0019 0.9782 0.0038 0.0067],{'kalah': 'lost'},0.4424,,,,
4,Kasarnya dia bilang kalo pake lg dengerin musik yg kluar slalu musiknya Shinhwa. Bikin pengen joget wkwk xD. Itu namanya autoreaction sih xD [URL],Kasarnya dia say kalo pake lg dengerin musik yg kluar slalu musiknya Bikin pengen joget wkwk Itu namanya autoreaction sih xD,0.9569031596183777,4,[0.0282 0.0038 0.0297 0.005  0.9334],4,[0.0482 0.007  0.0206 0.0075 0.9167],"{'bilang': 'say', 'musiknya': 'musiknya'}",0.467,,,,
